time,Actual Movement,Predictions,Predicted
2021-02-18,-1,0.50179875,-1
2021-02-19,1,0.9908627,1
2021-02-22,-1,0.97775567,1
2021-02-23,1,0.9993782,1
2021-02-24,1,0.9985875,1
2021-02-25,-1,0.042307343,-1
2021-02-26,-1,0.12656567,-1
2021-03-01,1,0.9958788,1
2021-03-02,-1,0.7521388,1
2021-03-03,1,0.95505476,1
2021-03-04,1,0.9901779,1
2021-03-05,1,0.98307323,1
2021-03-08,1,0.99131244,1
2021-03-09,-1,0.07419764,-1
2021-03-10,1,0.92333066,1
2021-03-11,1,0.82960343,1
2021-03-12,1,0.98689854,1
2021-03-15,-1,0.8226295,1
2021-03-16,-1,0.8745266,1
2021-03-17,1,0.94763327,1
2021-03-18,-1,0.6718425,1
2021-03-19,1,0.86080205,1
2021-03-22,-1,0.0073527563,-1
2021-03-23,1,0.8813289,1
2021-03-24,1,0.798607,1
2021-03-25,1,0.8965918,1
2021-03-26,1,0.9204873,1
2021-03-29,-1,0.5862988,1
2021-03-30,1,0.81664187,1
2021-03-31,1,0.9931165,1
2021-04-01,-1,0.8053746,1
2021-04-02,-1,0.32573956,-1
2021-04-05,-1,0.18696065,-1
2021-04-06,-1,0.0063082404,-1
2021-04-07,-1,0.019619355,-1
2021-04-08,-1,0.04083142,-1
2021-04-09,1,0.80299205,1
2021-04-12,-1,0.044180263,-1
2021-04-13,1,0.4169028,-1
2021-04-14,1,0.9778177,1
2021-04-15,-1,0.42323598,-1
2021-04-16,1,0.8835712,1
2021-04-19,-1,0.043819398,-1
2021-04-20,-1,0.03457228,-1
2021-04-21,1,0.9981,1
2021-04-22,-1,0.9381761,1
2021-04-23,-1,0.7863965,1
2021-04-26,1,0.9902637,1
2021-04-27,-1,0.61173105,1
2021-04-28,1,0.69089246,1
2021-04-29,1,0.85196114,1
2021-04-30,1,0.9554395,1
2021-05-03,-1,0.82450074,1
2021-05-04,1,0.909196,1
2021-05-05,1,0.9783172,1
2021-05-06,1,0.9883378,1
2021-05-07,-1,0.033021215,-1
2021-05-10,1,0.69394183,1
2021-05-11,1,0.8536474,1
2021-05-12,1,0.946979,1
2021-05-13,-1,0.043178666,-1
2021-05-14,-1,0.43262017,-1
2021-05-17,1,0.9618962,1
2021-05-18,-1,0.06750766,-1
2021-05-19,1,0.64308304,1
2021-05-20,-1,0.73864317,1
2021-05-21,-1,0.7480363,1
2021-05-24,1,0.9162048,1
2021-05-25,-1,0.17725407,-1
2021-05-26,-1,0.10725507,-1
2021-05-27,1,0.9923968,1
2021-05-28,1,0.9944317,1
2021-05-31,-1,0.9611234,1
2021-06-01,-1,0.51406837,-1
2021-06-02,1,0.98497516,1
2021-06-03,-1,0.93268573,1
2021-06-04,-1,0.2526956,-1
2021-06-07,-1,0.059012108,-1
2021-06-08,-1,0.038552616,-1
2021-06-09,-1,0.13457033,-1
2021-06-10,-1,0.27685302,-1
2021-06-11,-1,0.06452133,-1
2021-06-14,1,0.98865116,1
2021-06-15,-1,0.10974907,-1
2021-06-16,1,0.9782929,1
2021-06-17,1,0.9943703,1
2021-06-18,-1,0.5915133,1
2021-06-21,1,0.96395034,1
2021-06-22,1,0.98936,1
2021-06-23,-1,0.8844721,1
2021-06-24,-1,0.3985084,-1
2021-06-25,1,0.7334476,1
2021-06-28,-1,0.73708993,1
2021-06-29,-1,0.027320938,-1
2021-06-30,1,0.91566163,1
2021-07-01,-1,0.08312289,-1
2021-07-02,1,0.7683067,1
2021-07-05,1,0.5454623,-1
2021-07-06,-1,0.011944125,-1
2021-07-07,-1,0.06650799,-1
2021-07-08,-1,0.005386767,-1
2021-07-09,1,0.84805644,1
2021-07-12,1,0.42246938,-1
2021-07-13,-1,0.12167797,-1
2021-07-14,-1,0.038511798,-1
2021-07-15,-1,0.06662185,-1
2021-07-16,-1,0.16435513,-1
2021-07-19,-1,0.010192089,-1
2021-07-20,1,0.98763186,1
2021-07-21,1,0.96172446,1
2021-07-22,1,0.90987235,1
2021-07-23,1,0.87873256,1
2021-07-26,-1,0.4258214,-1
2021-07-27,-1,0.050327227,-1
2021-07-28,1,0.40743384,-1
2021-07-29,1,0.51152587,-1
2021-07-30,-1,0.06763441,-1
2021-08-02,-1,0.033903204,-1
2021-08-03,-1,0.02205689,-1
2021-08-04,1,0.32099658,-1
2021-08-05,1,0.8947631,1
2021-08-06,1,0.9700714,1
2021-08-09,1,0.97503,1
2021-08-10,1,0.98892725,1
2021-08-11,0,0.94104004,1
2021-08-12,1,0.96808887,1
2021-08-13,-1,0.01841884,-1
2021-08-16,-1,0.012625401,-1
2021-08-17,-1,0.049494945,-1
2021-08-18,-1,0.056233384,-1
2021-08-19,-1,0.008098643,-1
2021-08-20,-1,0.02450372,-1
2021-08-23,1,0.9691525,1
2021-08-24,1,0.92517346,1
2021-08-25,1,0.79272604,1
2021-08-26,-1,0.34539106,-1
2021-08-27,-1,0.21945156,-1
2021-08-30,1,0.97823983,1
2021-08-31,-1,0.43952927,-1
2021-09-01,1,0.6326151,1
2021-09-02,1,0.9277103,1
2021-09-03,1,0.8149402,1
2021-09-06,1,0.690035,1
2021-09-07,-1,0.0280469,-1
2021-09-08,-1,0.03323931,-1
2021-09-09,-1,0.009720357,-1
2021-09-10,-1,0.026173316,-1
2021-09-13,1,0.9859613,1
2021-09-14,-1,0.08287086,-1
2021-09-15,1,0.87728924,1
2021-09-16,1,0.93394554,1
2021-09-17,-1,0.3348963,-1
2021-09-20,-1,0.0180006,-1
2021-09-21,-1,0.06705204,-1
2021-09-22,1,0.9638062,1
2021-09-23,1,0.9760942,1
2021-09-24,-1,0.526725,-1
2021-09-27,1,0.8704726,1
2021-09-28,-1,0.68347657,1
2021-09-29,-1,0.72325087,1
2021-09-30,1,0.9591217,1
2021-10-01,1,0.9783504,1
2021-10-04,-1,0.44987783,-1
2021-10-05,1,0.97217596,1
2021-10-06,-1,0.4452896,-1
2021-10-07,1,0.95934397,1
2021-10-08,1,0.97771114,1
2021-10-11,1,0.9562882,1
2021-10-12,1,0.9919314,1
2021-10-13,-1,0.096975796,-1
2021-10-14,1,0.94303167,1
2021-10-15,0,0.8015434,1
2021-10-18,-1,0.67708683,1
2021-10-19,1,0.7953286,1
2021-10-20,-1,0.5651779,-1
2021-10-21,-1,0.0108383475,-1
2021-10-22,-1,0.012449542,-1
2021-10-25,1,0.5913242,1
2021-10-26,-1,0.18820646,-1
2021-10-27,1,0.5394406,-1
2021-10-28,-1,0.017772347,-1
2021-10-29,1,0.19608666,-1
2021-11-01,-1,0.016958635,-1
2021-11-02,1,0.8226959,1
2021-11-03,-1,0.14704004,-1
2021-11-04,-1,0.022939565,-1
2021-11-05,-1,0.06957037,-1
2021-11-08,1,0.95426285,1
2021-11-09,-1,0.27468494,-1
2021-11-10,1,0.9879639,1
2021-11-11,-1,0.35735384,-1
2021-11-12,1,0.98274094,1
2021-11-15,1,0.9986305,1
2021-11-16,1,0.9880213,1
2021-11-17,-1,0.1048962,-1
2021-11-18,-1,0.2325991,-1
2021-11-19,0,0.6418756,1
2021-11-22,1,0.6861491,1
2021-11-23,1,0.97281826,1
2021-11-24,1,0.963714,1
2021-11-25,1,0.9823246,1
2021-11-26,-1,0.001120666,-1
2021-11-29,1,0.6799632,1
2021-11-30,-1,0.0412318,-1
2021-12-01,-1,0.2017196,-1
2021-12-02,1,0.27306792,-1
2021-12-03,-1,0.03415178,-1
2021-12-06,1,0.9989573,1
2021-12-07,1,0.99161506,1
2021-12-08,-1,0.35746217,-1
2021-12-09,-1,0.69674456,1
2021-12-10,-1,0.32869437,-1
2021-12-13,-1,0.17606027,-1
2021-12-14,-1,0.27363825,-1
2021-12-15,1,0.9097266,1
2021-12-16,-1,0.5349169,-1
2021-12-17,-1,0.086038135,-1
2021-12-20,-1,0.025653675,-1
2021-12-21,1,0.94187796,1
2021-12-22,1,0.81557655,1
2021-12-23,1,0.78250873,1
2021-12-24,-1,0.4320753,-1
2021-12-27,1,0.95323586,1
2021-12-28,-1,0.33747348,-1
2021-12-29,-1,0.320442,-1
2021-12-30,1,0.95593286,1
2021-12-31,1,0.9909135,1
2022-01-03,-1,0.8970656,1
2022-01-04,1,0.9181416,1
2022-01-05,-1,0.072664864,-1
2022-01-06,1,0.9792331,1
2022-01-07,1,0.9639777,1
2022-01-10,1,0.9922389,1
2022-01-11,1,0.991499,1
2022-01-12,-1,0.48284394,-1
2022-01-13,-1,0.1427645,-1
2022-01-14,1,0.69495195,1
2022-01-17,1,0.8989568,1
2022-01-18,1,0.96940124,1
2022-01-19,-1,0.5193262,-1
2022-01-20,1,0.9272414,1
2022-01-21,-1,0.005038078,-1
2022-01-24,-1,0.03087529,-1
2022-01-25,1,0.87743896,1
2022-01-26,1,0.93205297,1
2022-01-27,1,0.85867304,1
2022-01-28,-1,0.3744723,-1
2022-01-31,1,0.64583063,1
2022-02-01,-1,0.034405112,-1
2022-02-02,-1,0.051540237,-1
2022-02-03,1,0.36330244,-1
2022-02-04,-1,0.08928814,-1
2022-02-07,1,0.9837373,1
2022-02-08,-1,0.7568895,1
2022-02-09,1,0.9295105,1
2022-02-10,-1,0.14552915,-1
2022-02-11,-1,0.08403156,-1
2022-02-14,1,0.7112059,1
2022-02-15,1,0.95819235,1
2022-02-16,-1,0.503175,-1
2022-02-17,-1,0.028885838,-1
2022-02-18,-1,0.030556198,-1
2022-02-21,-1,0.0129426215,-1
2022-02-22,1,0.9754826,1
2022-02-23,-1,0.27876842,-1
2022-02-24,1,0.81449294,1
2022-02-25,1,0.9979709,1
2022-02-28,-1,0.084281035,-1
2022-03-01,-1,0.13742726,-1
2022-03-02,1,0.99188995,1
2022-03-03,-1,0.08052658,-1
2022-03-04,-1,0.07354861,-1
2022-03-07,1,0.9250532,1
2022-03-08,-1,0.6769362,1
2022-03-09,1,0.9599697,1
2022-03-10,1,0.98676026,1
2022-03-11,1,0.9828168,1
2022-03-14,-1,0.6125706,1
2022-03-15,1,0.9845596,1
2022-03-16,1,0.979886,1
2022-03-17,1,0.9542544,1
2022-03-18,-1,0.34837264,-1
2022-03-21,1,0.92075205,1
2022-03-22,1,0.8956198,1
2022-03-23,-1,0.31971115,-1
2022-03-24,1,0.8193025,1
2022-03-25,1,0.9664354,1
2022-03-28,1,0.961964,1
2022-03-29,-1,0.39017892,-1
2022-03-30,-1,0.016073346,-1
2022-03-31,-1,0.027109902,-1
2022-04-01,1,0.5783816,1
2022-04-04,1,0.9562164,1
2022-04-05,1,0.9801278,1
2022-04-06,-1,0.96025544,1
2022-04-07,-1,0.5836818,1
2022-04-08,1,0.9444686,1
2022-04-11,-1,0.02227974,-1
2022-04-12,1,0.8047943,1
2022-04-13,1,0.998226,1
2022-04-14,1,0.99297523,1
2022-04-15,-1,0.8868386,1
2022-04-18,1,0.91976476,1
2022-04-19,1,0.9868751,1
2022-04-20,1,0.9845541,1
2022-04-21,-1,0.894997,1
2022-04-22,-1,0.06302413,-1
2022-04-25,1,0.77475667,1
2022-04-26,-1,0.08124265,-1
2022-04-27,1,0.9643935,1
2022-04-28,1,0.9467629,1
2022-04-29,-1,0.32845047,-1
2022-05-02,1,0.86750954,1
2022-05-03,1,0.9564052,1
2022-05-04,1,0.95431864,1
2022-05-05,1,0.9884992,1
2022-05-06,-1,0.91684836,1
2022-05-09,-1,0.43754575,-1
2022-05-10,1,0.85982156,1
2022-05-11,1,0.8957715,1
2022-05-12,1,0.9852293,1
2022-05-13,1,0.9944096,1
