,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-01-07,1,0.87513494,1,75.34,
1,2021-01-08,-1,0.70756197,1,75.254,75.34
2,2021-01-11,-1,0.030863905,-1,74.645,75.254
3,2021-01-12,1,0.6144727,-1,74.995,74.645
4,2021-01-13,-1,0.036474615,-1,74.561,74.995
5,2021-01-14,1,0.7206305,1,74.969,74.561
6,2021-01-15,-1,0.018844804,-1,74.057,74.969
7,2021-01-18,-1,0.08005584,-1,73.719,74.057
8,2021-01-19,1,0.84878325,1,73.949,73.719
9,2021-01-20,1,0.9553654,1,74.244,73.949
10,2021-01-21,1,0.9833183,1,74.679,74.244
11,2021-01-22,-1,0.73940635,1,74.509,74.679
12,2021-01-25,1,0.93782485,1,74.688,74.509
13,2021-01-26,1,0.96128714,1,75.003,74.688
14,2021-01-27,-1,0.08282528,-1,74.513,75.003
15,2021-01-28,1,0.8191189,1,74.799,74.513
16,2021-01-29,1,0.9126732,1,75.206,74.799
17,2021-02-01,-1,0.2930243,-1,75.115,75.206
18,2021-02-02,1,0.9191073,1,75.538,75.115
19,2021-02-03,1,0.790654,1,75.712,75.538
20,2021-02-04,-1,0.14595897,-1,75.528,75.712
21,2021-02-05,1,0.8357347,1,75.897,75.528
22,2021-02-08,1,0.5704236,-1,75.945,75.897
23,2021-02-09,-1,0.07929601,-1,75.698,75.945
24,2021-02-10,-1,0.0456915,-1,75.421,75.698
25,2021-02-11,1,0.47697333,-1,75.694,75.421
26,2021-02-12,1,0.30985168,-1,75.755,75.694
27,2021-02-15,1,0.8996196,1,76.135,75.755
28,2021-02-16,1,0.9053225,1,76.409,76.135
29,2021-02-17,-1,0.089794196,-1,76.105,76.409
30,2021-02-18,1,0.78482586,1,76.308,76.105
31,2021-02-19,1,0.9709819,1,76.915,76.308
32,2021-02-22,1,0.9260981,1,76.982,76.915
33,2021-02-23,1,0.9730758,1,77.3,76.982
34,2021-02-24,1,0.99631727,1,78.795,77.3
35,2021-02-25,-1,0.08999245,-1,78.279,78.795
36,2021-02-26,-1,0.026161807,-1,77.062,78.279
37,2021-03-01,1,0.91687584,1,77.564,77.062
38,2021-03-02,1,0.7707767,1,77.814,77.564
39,2021-03-03,-1,0.21183722,-1,77.541,77.814
40,2021-03-04,1,0.6330749,-1,77.587,77.541
41,2021-03-05,1,0.65998244,1,77.638,77.587
42,2021-03-08,-1,0.50475127,-1,77.568,77.638
43,2021-03-09,1,0.9417437,1,77.84,77.568
44,2021-03-10,1,0.9481665,1,78.006,77.84
45,2021-03-11,1,0.9848887,1,78.412,78.006
46,2021-03-12,-1,0.84190404,1,78.256,78.412
47,2021-03-15,1,0.9793226,1,78.598,78.256
48,2021-03-16,-1,0.57044417,-1,78.373,78.598
49,2021-03-17,1,0.96580684,1,78.8,78.373
50,2021-03-18,-1,0.032604024,-1,78.037,78.8
51,2021-03-19,-1,0.17042547,-1,78.017,78.037
52,2021-03-22,-1,0.146793,-1,77.914,78.017
53,2021-03-23,-1,0.0052522602,-1,75.993,77.914
54,2021-03-24,-1,0.1158983,-1,75.681,75.993
55,2021-03-25,1,0.46738493,-1,75.909,75.681
56,2021-03-26,1,0.9833385,1,76.764,75.909
57,2021-03-29,1,0.8995257,1,76.854,76.764
58,2021-03-30,1,0.95215607,1,77.064,76.854
59,2021-03-31,1,0.9598558,1,77.294,77.064
60,2021-04-01,1,0.9799754,1,77.695,77.294
61,2021-04-02,1,0.9567712,1,77.764,77.695
62,2021-04-05,1,0.95331025,1,77.804,77.764
63,2021-04-06,-1,0.24851412,-1,77.444,77.804
64,2021-04-07,-1,0.07167653,-1,77.033,77.444
65,2021-04-08,1,0.25630394,-1,77.143,77.033
66,2021-04-09,-1,0.113356575,-1,77.138,77.143
67,2021-04-12,-1,0.048322637,-1,76.899,77.138
68,2021-04-13,1,0.08554406,-1,76.943,76.899
69,2021-04-14,1,0.97283226,1,77.761,76.943
70,2021-04-15,1,0.8820812,1,77.987,77.761
71,2021-04-16,-1,0.15486692,-1,77.727,77.987
72,2021-04-19,-1,0.2559047,-1,77.657,77.727
73,2021-04-20,-1,0.15105063,-1,77.513,77.657
74,2021-04-21,1,0.9334248,1,77.886,77.513
75,2021-04-22,-1,0.06396727,-1,77.343,77.886
76,2021-04-23,1,0.866643,1,77.631,77.343
