time,Actual Movement,Predictions,Predicted
2021-01-07,1,0.87513494,1
2021-01-08,-1,0.70756197,1
2021-01-11,-1,0.030863905,-1
2021-01-12,1,0.6144727,-1
2021-01-13,-1,0.036474615,-1
2021-01-14,1,0.7206305,1
2021-01-15,-1,0.018844804,-1
2021-01-18,-1,0.08005584,-1
2021-01-19,1,0.84878325,1
2021-01-20,1,0.9553654,1
2021-01-21,1,0.9833183,1
2021-01-22,-1,0.73940635,1
2021-01-25,1,0.93782485,1
2021-01-26,1,0.96128714,1
2021-01-27,-1,0.08282528,-1
2021-01-28,1,0.8191189,1
2021-01-29,1,0.9126732,1
2021-02-01,-1,0.2930243,-1
2021-02-02,1,0.9191073,1
2021-02-03,1,0.790654,1
2021-02-04,-1,0.14595897,-1
2021-02-05,1,0.8357347,1
2021-02-08,1,0.5704236,-1
2021-02-09,-1,0.07929601,-1
2021-02-10,-1,0.0456915,-1
2021-02-11,1,0.47697333,-1
2021-02-12,1,0.30985168,-1
2021-02-15,1,0.8996196,1
2021-02-16,1,0.9053225,1
2021-02-17,-1,0.089794196,-1
2021-02-18,1,0.78482586,1
2021-02-19,1,0.9709819,1
2021-02-22,1,0.9260981,1
2021-02-23,1,0.9730758,1
2021-02-24,1,0.99631727,1
2021-02-25,-1,0.08999245,-1
2021-02-26,-1,0.026161807,-1
2021-03-01,1,0.91687584,1
2021-03-02,1,0.7707767,1
2021-03-03,-1,0.21183722,-1
2021-03-04,1,0.6330749,-1
2021-03-05,1,0.65998244,1
2021-03-08,-1,0.50475127,-1
2021-03-09,1,0.9417437,1
2021-03-10,1,0.9481665,1
2021-03-11,1,0.9848887,1
2021-03-12,-1,0.84190404,1
2021-03-15,1,0.9793226,1
2021-03-16,-1,0.57044417,-1
2021-03-17,1,0.96580684,1
2021-03-18,-1,0.032604024,-1
2021-03-19,-1,0.17042547,-1
2021-03-22,-1,0.146793,-1
2021-03-23,-1,0.0052522602,-1
2021-03-24,-1,0.1158983,-1
2021-03-25,1,0.46738493,-1
2021-03-26,1,0.9833385,1
2021-03-29,1,0.8995257,1
2021-03-30,1,0.95215607,1
2021-03-31,1,0.9598558,1
2021-04-01,1,0.9799754,1
2021-04-02,1,0.9567712,1
2021-04-05,1,0.95331025,1
2021-04-06,-1,0.24851412,-1
2021-04-07,-1,0.07167653,-1
2021-04-08,1,0.25630394,-1
2021-04-09,-1,0.113356575,-1
2021-04-12,-1,0.048322637,-1
2021-04-13,1,0.08554406,-1
2021-04-14,1,0.97283226,1
2021-04-15,1,0.8820812,1
2021-04-16,-1,0.15486692,-1
2021-04-19,-1,0.2559047,-1
2021-04-20,-1,0.15105063,-1
2021-04-21,1,0.9334248,1
2021-04-22,-1,0.06396727,-1
2021-04-23,1,0.866643,1
2021-04-26,1,0.96734446,1
2021-04-27,1,0.83240664,1
2021-04-28,1,0.9411673,1
2021-04-29,-1,0.7355441,1
2021-04-30,-1,0.05101531,-1
2021-05-03,1,0.7026917,1
2021-05-04,-1,0.065588705,-1
2021-05-05,1,0.9447697,1
2021-05-06,1,0.716266,1
2021-05-07,1,0.735076,1
2021-05-10,-1,0.3588703,-1
2021-05-11,-1,0.24209866,-1
2021-05-12,-1,0.039216552,-1
2021-05-13,1,0.24900497,-1
2021-05-14,1,0.95686287,1
2021-05-17,-1,0.059087534,-1
2021-05-18,1,0.23457389,-1
2021-05-19,-1,0.03832404,-1
2021-05-20,1,0.19460042,-1
2021-05-21,-1,0.087039046,-1
2021-05-24,1,0.96148264,1
2021-05-25,1,0.9402026,1
2021-05-26,1,0.9938446,1
2021-05-27,1,0.9839484,1
2021-05-28,-1,0.13535814,-1
2021-05-31,1,0.66590524,1
2021-06-01,-1,0.16969739,-1
2021-06-02,-1,0.19010893,-1
2021-06-03,-1,0.054764695,-1
2021-06-04,1,0.51042706,-1
2021-06-07,1,0.3871112,-1
2021-06-08,-1,0.13434191,-1
2021-06-09,-1,0.1841535,-1
2021-06-10,-1,0.18632291,-1
2021-06-11,-1,0.048458766,-1
2021-06-14,1,0.97145385,1
2021-06-15,-1,0.6771074,1
2021-06-16,-1,0.3041218,-1
2021-06-17,-1,0.060889408,-1
2021-06-18,-1,0.058258936,-1
2021-06-21,1,0.97487533,1
2021-06-22,1,0.96949905,1
2021-06-23,1,0.95463383,1
2021-06-24,1,0.8515978,1
2021-06-25,1,0.7400776,1
2021-06-28,-1,0.09843337,-1
2021-06-29,-1,0.055871643,-1
2021-06-30,1,0.70703536,1
2021-07-01,1,0.4297181,-1
2021-07-02,1,0.874843,1
2021-07-05,-1,0.20179439,-1
2021-07-06,-1,0.081670634,-1
2021-07-07,1,0.23948938,-1
2021-07-08,-1,0.012423329,-1
2021-07-09,1,0.96583885,1
2021-07-12,1,0.59244764,-1
2021-07-13,-1,0.3471911,-1
2021-07-14,1,0.9664252,1
2021-07-15,-1,0.10554417,-1
2021-07-16,1,0.9541275,1
2021-07-19,-1,0.062232535,-1
2021-07-20,1,0.7802179,1
2021-07-21,1,0.98644793,1
2021-07-22,-1,0.8533752,1
2021-07-23,1,0.96020144,1
2021-07-26,1,0.9095387,1
2021-07-27,-1,0.06121196,-1
2021-07-28,1,0.3750358,-1
2021-07-29,1,0.7124987,1
2021-07-30,-1,0.12197206,-1
2021-08-02,-1,0.10177515,-1
2021-08-03,1,0.7787003,1
2021-08-04,1,0.95137095,1
2021-08-05,1,0.897409,1
2021-08-06,-1,0.2872185,-1
2021-08-09,-1,0.18597911,-1
2021-08-10,1,0.86528164,1
2021-08-11,1,0.8765641,1
2021-08-12,-1,0.08110356,-1
2021-08-13,-1,0.122663595,-1
2021-08-16,-1,0.052884303,-1
2021-08-17,-1,0.02709851,-1
2021-08-18,-1,0.08717081,-1
2021-08-19,-1,0.045921497,-1
2021-08-20,1,0.38805938,-1
2021-08-23,1,0.93896616,1
2021-08-24,1,0.9840984,1
2021-08-25,1,0.97827345,1
2021-08-26,-1,0.70523816,1
2021-08-27,1,0.975555,1
2021-08-30,-1,0.78566957,1
2021-08-31,1,0.9688908,1
2021-09-01,1,0.9264907,1
2021-09-02,1,0.95256495,1
2021-09-03,1,0.9398056,1
2021-09-06,-1,0.8171791,1
2021-09-07,-1,0.8376723,1
2021-09-08,-1,0.78705037,1
2021-09-09,-1,0.09122692,-1
2021-09-10,1,0.46981022,-1
2021-09-13,1,0.69283575,1
2021-09-14,-1,0.035923675,-1
2021-09-15,-1,0.06786201,-1
2021-09-16,-1,0.05231279,-1
2021-09-17,-1,0.04061404,-1
2021-09-20,-1,0.030897168,-1
2021-09-21,-1,0.04395308,-1
2021-09-22,1,0.9081579,1
2021-09-23,1,0.9965276,1
2021-09-24,-1,0.5442707,-1
2021-09-27,1,0.9145313,1
2021-09-28,-1,0.27710566,-1
2021-09-29,-1,0.051664915,-1
2021-09-30,-1,0.24012886,-1
2021-10-01,1,0.9075327,1
2021-10-04,1,0.91751206,1
2021-10-05,1,0.9585161,1
2021-10-06,-1,0.09577299,-1
2021-10-07,1,0.8990157,1
2021-10-08,1,0.9376271,1
2021-10-11,1,0.9837157,1
2021-10-12,1,0.9068322,1
2021-10-13,1,0.9350265,1
2021-10-14,1,0.9904902,1
2021-10-15,1,0.977961,1
2021-10-18,1,0.96059036,1
2021-10-19,1,0.990348,1
