,time,action,position,entry_price,close_price,profit,balance
0,2021-01-07,open,long,75.34,,,9999.9998
1,2021-01-11,close,neutral,,74.645,-69.50000000000074,9930.4996
2,2021-01-11,open,short,74.645,,,9930.499399999999
3,2021-01-14,close,neutral,,74.969,-32.39999999999981,9898.099199999999
4,2021-01-14,open,long,74.969,,,9898.098999999998
5,2021-01-15,close,neutral,,74.057,-91.19999999999919,9806.898799999999
6,2021-01-15,open,short,74.057,,,9806.898599999999
7,2021-01-19,close,neutral,,73.949,10.80000000000041,9817.6984
8,2021-01-19,open,long,73.949,,,9817.698199999999
9,2021-01-27,close,neutral,,74.513,56.400000000000716,9874.098
10,2021-01-27,open,short,74.513,,,9874.0978
11,2021-01-28,close,neutral,,74.799,-28.600000000000136,9845.497599999999
12,2021-01-28,open,long,74.799,,,9845.497399999998
13,2021-02-01,close,neutral,,75.115,31.59999999999883,9877.097199999997
14,2021-02-01,open,short,75.115,,,9877.096999999996
15,2021-02-02,close,neutral,,75.538,-42.30000000000018,9834.796799999996
16,2021-02-02,open,long,75.538,,,9834.796599999996
17,2021-02-04,close,neutral,,75.528,-0.9999999999990905,9833.796399999997
18,2021-02-04,open,short,75.528,,,9833.796199999997
19,2021-02-05,close,neutral,,75.897,-36.89999999999998,9796.895999999997
20,2021-02-05,open,long,75.897,,,9796.895799999997
21,2021-02-08,close,neutral,,75.945,4.799999999998761,9801.695599999995
22,2021-02-08,open,short,75.945,,,9801.695399999995
23,2021-02-15,close,neutral,,76.135,-19.000000000001194,9782.695199999995
24,2021-02-15,open,long,76.135,,,9782.694999999994
25,2021-02-17,close,neutral,,76.105,-3.0000000000001137,9779.694799999994
26,2021-02-17,open,short,76.105,,,9779.694599999993
27,2021-02-18,close,neutral,,76.308,-20.300000000000296,9759.394399999994
28,2021-02-18,open,long,76.308,,,9759.394199999993
29,2021-02-25,close,neutral,,78.279,197.09999999999894,9956.493999999992
30,2021-02-25,open,short,78.279,,,9956.493799999991
31,2021-03-01,close,neutral,,77.564,71.50000000000034,10027.99359999999
32,2021-03-01,open,long,77.564,,,10027.99339999999
33,2021-03-03,close,neutral,,77.541,-2.2999999999996135,10025.69319999999
34,2021-03-03,open,short,77.541,,,10025.69299999999
35,2021-03-05,close,neutral,,77.638,-9.700000000000841,10015.992799999989
36,2021-03-05,open,long,77.638,,,10015.992599999989
37,2021-03-08,close,neutral,,77.568,-7.000000000000739,10008.992399999988
38,2021-03-08,open,short,77.568,,,10008.992199999988
39,2021-03-09,close,neutral,,77.84,-27.200000000000557,9981.791999999987
40,2021-03-09,open,long,77.84,,,9981.791799999986
41,2021-03-16,close,neutral,,78.373,53.300000000000125,10035.091599999987
42,2021-03-16,open,short,78.373,,,10035.091399999987
43,2021-03-17,close,neutral,,78.8,-42.69999999999925,9992.391199999987
44,2021-03-17,open,long,78.8,,,9992.390999999987
45,2021-03-18,close,neutral,,78.037,-76.2999999999991,9916.090799999987
46,2021-03-18,open,short,78.037,,,9916.090599999987
47,2021-03-26,close,neutral,,76.764,127.30000000000103,10043.390399999987
48,2021-03-26,open,long,76.764,,,10043.390199999987
49,2021-04-06,close,neutral,,77.444,68.00000000000068,10111.389999999989
50,2021-04-06,open,short,77.444,,,10111.389799999988
51,2021-04-14,close,neutral,,77.761,-31.699999999999307,10079.689599999989
52,2021-04-14,open,long,77.761,,,10079.689399999988
53,2021-04-16,close,neutral,,77.727,-3.3999999999991815,10076.289199999988
54,2021-04-16,open,short,77.727,,,10076.288999999988
55,2021-04-21,close,neutral,,77.886,-15.899999999999181,10060.388799999988
56,2021-04-21,open,long,77.886,,,10060.388599999987
57,2021-04-22,close,neutral,,77.343,-54.299999999999216,10006.088399999988
58,2021-04-22,open,short,77.343,,,10006.088199999987
59,2021-04-23,close,neutral,,77.631,-28.79999999999967,9977.287999999988
60,2021-04-23,open,long,77.631,,,9977.287799999987
61,2021-04-30,close,neutral,,78.262,63.10000000000002,10040.387599999987
62,2021-04-30,open,short,78.262,,,10040.387399999987
63,2021-05-03,close,neutral,,78.544,-28.199999999999648,10012.187199999988
64,2021-05-03,open,long,78.544,,,10012.186999999987
65,2021-05-04,close,neutral,,78.137,-40.69999999999965,9971.486799999988
66,2021-05-04,open,short,78.137,,,9971.486599999987
67,2021-05-05,close,neutral,,78.791,-65.39999999999964,9906.086399999987
68,2021-05-05,open,long,78.791,,,9906.086199999987
69,2021-05-10,close,neutral,,79.028,23.700000000000898,9929.785999999987
70,2021-05-10,open,short,79.028,,,9929.785799999987
71,2021-05-14,close,neutral,,79.328,-29.999999999999716,9899.785599999987
72,2021-05-14,open,long,79.328,,,9899.785399999986
73,2021-05-17,close,neutral,,78.805,-52.29999999999961,9847.485199999986
74,2021-05-17,open,short,78.805,,,9847.484999999986
75,2021-05-24,close,neutral,,78.481,32.40000000000123,9879.884799999987
76,2021-05-24,open,long,78.481,,,9879.884599999987
77,2021-05-28,close,neutral,,79.638,115.70000000000107,9995.584399999987
78,2021-05-28,open,short,79.638,,,9995.584199999987
79,2021-05-31,close,neutral,,79.648,-0.9999999999990905,9994.583999999988
80,2021-05-31,open,long,79.648,,,9994.583799999988
81,2021-06-01,close,neutral,,79.407,-24.099999999999966,9970.483599999987
82,2021-06-01,open,short,79.407,,,9970.483399999986
83,2021-06-14,close,neutral,,78.613,79.3999999999997,10049.883199999986
84,2021-06-14,open,long,78.613,,,10049.882999999985
85,2021-06-16,close,neutral,,78.027,-58.59999999999985,9991.282799999986
86,2021-06-16,open,short,78.027,,,9991.282599999986
87,2021-06-21,close,neutral,,77.122,90.50000000000011,10081.782399999986
88,2021-06-21,open,long,77.122,,,10081.782199999985
89,2021-06-28,close,neutral,,77.884,76.20000000000005,10157.981999999985
90,2021-06-28,open,short,77.884,,,10157.981799999985
91,2021-06-30,close,neutral,,77.649,23.499999999999943,10181.481599999985
92,2021-06-30,open,long,77.649,,,10181.481399999984
93,2021-07-01,close,neutral,,77.726,7.699999999999818,10189.181199999985
94,2021-07-01,open,short,77.726,,,10189.180999999984
95,2021-07-02,close,neutral,,78.055,-32.90000000000077,10156.280799999984
96,2021-07-02,open,long,78.055,,,10156.280599999984
97,2021-07-05,close,neutral,,77.864,-19.10000000000025,10137.180399999983
98,2021-07-05,open,short,77.864,,,10137.180199999983
99,2021-07-09,close,neutral,,77.062,80.20000000000067,10217.379999999983
100,2021-07-09,open,long,77.062,,,10217.379799999982
101,2021-07-12,close,neutral,,77.072,1.0000000000005116,10218.379599999984
102,2021-07-12,open,short,77.072,,,10218.379399999983
103,2021-07-14,close,neutral,,77.368,-29.599999999999227,10188.779199999984
104,2021-07-14,open,long,77.368,,,10188.778999999984
105,2021-07-15,close,neutral,,76.672,-69.5999999999998,10119.178799999985
106,2021-07-15,open,short,76.672,,,10119.178599999985
107,2021-07-16,close,neutral,,77.074,-40.2000000000001,10078.978399999985
108,2021-07-16,open,long,77.074,,,10078.978199999985
109,2021-07-19,close,neutral,,75.977,-109.69999999999942,9969.277999999986
110,2021-07-19,open,short,75.977,,,9969.277799999985
111,2021-07-20,close,neutral,,76.003,-2.599999999999625,9966.677599999986
112,2021-07-20,open,long,76.003,,,9966.677399999986
113,2021-07-27,close,neutral,,76.383,37.999999999999545,10004.677199999986
114,2021-07-27,open,short,76.383,,,10004.676999999985
115,2021-07-29,close,neutral,,76.748,-36.50000000000091,9968.176799999985
116,2021-07-29,open,long,76.748,,,9968.176599999984
117,2021-07-30,close,neutral,,76.497,-25.100000000000477,9943.076399999984
118,2021-07-30,open,short,76.497,,,9943.076199999983
119,2021-08-03,close,neutral,,76.51,-1.300000000000523,9941.775999999983
120,2021-08-03,open,long,76.51,,,9941.775799999983
121,2021-08-06,close,neutral,,77.284,77.40000000000009,10019.175599999982
122,2021-08-06,open,short,77.284,,,10019.175399999982
123,2021-08-10,close,neutral,,77.494,-20.999999999999375,9998.175199999983
124,2021-08-10,open,long,77.494,,,9998.174999999983
125,2021-08-12,close,neutral,,77.309,-18.500000000000227,9979.674799999982
126,2021-08-12,open,short,77.309,,,9979.674599999982
127,2021-08-23,close,neutral,,75.574,173.49999999999994,10153.174399999982
128,2021-08-23,open,long,75.574,,,10153.174199999981
129,2021-09-09,close,neutral,,78.015,244.10000000000025,10397.273999999981
130,2021-09-09,open,short,78.015,,,10397.27379999998
131,2021-09-13,close,neutral,,78.303,-28.79999999999967,10368.473599999981
132,2021-09-13,open,long,78.303,,,10368.47339999998
133,2021-09-14,close,neutral,,77.836,-46.699999999999875,10321.773199999981
134,2021-09-14,open,short,77.836,,,10321.772999999981
135,2021-09-22,close,neutral,,76.89,94.5999999999998,10416.372799999981
136,2021-09-22,open,long,76.89,,,10416.37259999998
137,2021-09-24,close,neutral,,77.669,77.89999999999964,10494.27239999998
138,2021-09-24,open,short,77.669,,,10494.27219999998
139,2021-09-27,close,neutral,,77.855,-18.600000000000705,10475.671999999979
140,2021-09-27,open,long,77.855,,,10475.671799999978
141,2021-09-28,close,neutral,,77.618,-23.700000000000898,10451.971599999977
142,2021-09-28,open,short,77.618,,,10451.971399999977
143,2021-10-01,close,neutral,,77.057,56.099999999999284,10508.071199999977
144,2021-10-01,open,long,77.057,,,10508.070999999976
145,2021-10-06,close,neutral,,77.046,-1.099999999999568,10506.970799999977
146,2021-10-06,open,short,77.046,,,10506.970599999977
147,2021-10-07,close,neutral,,77.365,-31.89999999999884,10475.070399999979
148,2021-10-07,open,long,77.365,,,10475.070199999978
149,2021-10-21,close,neutral,,81.596,423.1000000000009,10898.16999999998
150,2021-10-21,open,short,81.596,,,10898.16979999998
151,2021-10-25,close,neutral,,81.496,10.000000000000853,10908.169599999981
152,2021-10-25,open,long,81.496,,,10908.16939999998
153,2021-10-27,close,neutral,,81.619,12.300000000000466,10920.469199999981
154,2021-10-27,open,short,81.619,,,10920.468999999981
155,2021-10-28,close,neutral,,81.782,-16.29999999999967,10904.168799999981
156,2021-10-28,open,long,81.782,,,10904.16859999998
157,2021-10-29,close,neutral,,81.665,-11.699999999999022,10892.468399999982
158,2021-10-29,open,short,81.665,,,10892.468199999981
159,2021-11-01,close,neutral,,81.924,-25.900000000000034,10866.567999999981
160,2021-11-01,open,long,81.924,,,10866.56779999998
161,2021-11-02,close,neutral,,81.011,-91.30000000000109,10775.26759999998
162,2021-11-02,open,short,81.011,,,10775.267399999979
163,2021-11-03,close,neutral,,81.675,-66.40000000000015,10708.867199999979
164,2021-11-03,open,long,81.675,,,10708.866999999978
165,2021-11-04,close,neutral,,80.79,-88.49999999999909,10620.36679999998
166,2021-11-04,open,short,80.79,,,10620.36659999998
167,2021-11-08,close,neutral,,81.145,-35.49999999999898,10584.86639999998
168,2021-11-08,open,long,81.145,,,10584.86619999998
169,2021-11-09,close,neutral,,80.493,-65.2000000000001,10519.665999999981
170,2021-11-09,open,short,80.493,,,10519.66579999998
171,2021-11-10,close,neutral,,80.386,10.699999999999932,10530.365599999981
172,2021-11-10,open,long,80.386,,,10530.36539999998
173,2021-11-11,close,neutral,,80.075,-31.099999999999284,10499.265199999982
174,2021-11-11,open,short,80.075,,,10499.264999999981
175,2021-11-12,close,neutral,,80.211,-13.599999999999568,10485.664799999982
176,2021-11-12,open,long,80.211,,,10485.664599999982
177,2021-11-17,close,neutral,,79.859,-35.20000000000039,10450.46439999998
178,2021-11-17,open,short,79.859,,,10450.46419999998
179,2021-11-18,close,neutral,,80.478,-61.89999999999998,10388.56399999998
180,2021-11-18,open,long,80.478,,,10388.56379999998
181,2021-11-19,close,neutral,,79.767,-71.09999999999985,10317.463599999981
182,2021-11-19,open,short,79.767,,,10317.46339999998
183,2021-11-22,close,neutral,,79.889,-12.199999999999989,10305.263199999981
184,2021-11-22,open,long,79.889,,,10305.26299999998
185,2021-11-24,close,neutral,,79.32,-56.90000000000026,10248.36279999998
186,2021-11-24,open,short,79.32,,,10248.36259999998
187,2021-11-29,close,neutral,,77.487,183.29999999999984,10431.662399999981
188,2021-11-29,open,long,77.487,,,10431.66219999998
189,2021-11-30,close,neutral,,77.198,-28.900000000000148,10402.76199999998
190,2021-11-30,open,short,77.198,,,10402.76179999998
191,2021-12-02,close,neutral,,77.169,2.899999999999636,10405.66159999998
192,2021-12-02,open,long,77.169,,,10405.661399999979
193,2021-12-03,close,neutral,,76.119,-104.99999999999972,10300.661199999979
194,2021-12-03,open,short,76.119,,,10300.660999999978
195,2021-12-06,close,neutral,,76.663,-54.39999999999969,10246.260799999978
196,2021-12-06,open,long,76.663,,,10246.260599999978
197,2021-12-13,close,neutral,,76.703,4.000000000000625,10250.26039999998
