time,Actual Movement,Predictions,Predicted
2021-02-19,-1,0.04505439,-1
2021-02-22,-1,0.3394438,-1
2021-02-23,1,0.9701782,1
2021-02-24,-1,0.40779543,-1
2021-02-25,1,0.96209496,1
2021-02-26,1,0.99680954,1
2021-03-01,-1,0.092745975,-1
2021-03-02,-1,0.28162792,-1
2021-03-03,1,0.9261199,1
2021-03-04,1,0.8638527,1
2021-03-05,1,0.66307354,1
2021-03-08,1,0.88056433,1
2021-03-09,-1,0.08494542,-1
2021-03-10,1,0.38714755,-1
2021-03-11,-1,0.10470199,-1
2021-03-12,-1,0.093518406,-1
2021-03-15,-1,0.08432585,-1
2021-03-16,1,0.27637324,-1
2021-03-17,-1,0.10502291,-1
2021-03-18,1,0.7699222,1
2021-03-19,-1,0.14431839,-1
2021-03-22,1,0.5972519,1
2021-03-23,1,0.9872665,1
2021-03-24,1,0.9377404,1
2021-03-25,1,0.95973843,1
2021-03-26,-1,0.20228367,-1
2021-03-29,-1,0.2765224,-1
2021-03-30,1,0.84075546,1
2021-03-31,1,0.89832383,1
2021-04-01,1,0.8351544,1
2021-04-02,-1,0.80792505,1
2021-04-05,1,0.9223209,1
2021-04-06,-1,0.030267866,-1
2021-04-07,1,0.10964161,-1
2021-04-08,-1,0.024885029,-1
2021-04-09,1,0.44375277,-1
2021-04-12,1,0.9060581,1
2021-04-13,-1,0.4691697,-1
2021-04-14,-1,0.049973167,-1
2021-04-15,-1,0.10874234,-1
2021-04-16,1,0.97185725,1
2021-04-19,1,0.9841887,1
2021-04-20,1,0.9276969,1
2021-04-21,-1,0.30496648,-1
2021-04-22,-1,0.49101624,-1
2021-04-23,-1,0.17183958,-1
2021-04-26,-1,0.055256113,-1
2021-04-27,1,0.8876651,1
2021-04-28,-1,0.4186762,-1
2021-04-29,1,0.9124787,1
2021-04-30,-1,0.21919316,-1
2021-05-03,1,0.44371247,-1
2021-05-04,1,0.943239,1
2021-05-05,-1,0.1553356,-1
2021-05-06,-1,0.048816513,-1
2021-05-07,-1,0.16011317,-1
2021-05-10,1,0.9888715,1
2021-05-11,1,0.79019016,1
2021-05-12,1,0.9656286,1
2021-05-13,-1,0.6902905,1
2021-05-14,-1,0.21356818,-1
2021-05-17,1,0.8833588,1
2021-05-18,1,0.6871422,1
2021-05-19,1,0.8800205,1
2021-05-20,-1,0.507727,-1
2021-05-21,1,0.86787945,1
2021-05-24,-1,0.16261335,-1
2021-05-25,-1,0.2279682,-1
2021-05-26,-1,0.2051392,-1
2021-05-27,1,0.9169295,1
2021-05-28,1,0.898717,1
2021-05-31,-1,0.37938726,-1
2021-06-01,-1,0.039431617,-1
2021-06-02,1,0.3351164,-1
2021-06-03,1,0.94881094,1
2021-06-04,-1,0.061633628,-1
2021-06-07,-1,0.2573928,-1
2021-06-08,1,0.5798907,1
2021-06-09,-1,0.29083017,-1
2021-06-10,1,0.8716855,1
2021-06-11,1,0.9260329,1
2021-06-14,-1,0.49393368,-1
2021-06-15,1,0.9009482,1
2021-06-16,1,0.9543005,1
2021-06-17,1,0.9591401,1
2021-06-18,1,0.8830429,1
2021-06-21,1,0.9107238,1
2021-06-22,-1,0.7525101,1
2021-06-23,-1,0.25059092,-1
2021-06-24,-1,0.047420997,-1
2021-06-25,-1,0.025778253,-1
2021-06-28,1,0.61954385,1
2021-06-29,1,0.93837744,1
2021-06-30,1,0.815661,1
2021-07-01,-1,0.36347118,-1
2021-07-02,-1,0.11558963,-1
2021-07-05,1,0.26617762,-1
2021-07-06,1,0.8270589,1
2021-07-07,1,0.8844969,1
2021-07-08,1,0.9764351,1
2021-07-09,-1,0.87753594,1
2021-07-12,1,0.881232,1
2021-07-13,-1,0.8481555,1
2021-07-14,-1,0.28642058,-1
2021-07-15,1,0.9578176,1
2021-07-16,-1,0.6047901,1
2021-07-19,1,0.7698334,1
2021-07-20,-1,0.27450228,-1
2021-07-21,1,0.8576886,1
2021-07-22,1,0.80215347,1
2021-07-23,1,0.8684846,1
2021-07-26,1,0.95227873,1
2021-07-27,1,0.9818872,1
2021-07-28,-1,0.9509747,1
2021-07-29,1,0.97593397,1
2021-07-30,1,0.9829062,1
2021-08-02,-1,0.35771668,-1
