,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-10-31,1,0.8901694,1,1.29421,
1,2019-11-01,-1,0.5070615,-1,1.29399,1.29421
2,2019-11-04,-1,0.028824626,-1,1.28821,1.29399
3,2019-11-05,-1,0.40561357,-1,1.28806,1.28821
4,2019-11-06,-1,0.22642906,-1,1.28557,1.28806
5,2019-11-07,-1,0.105053306,-1,1.28129,1.28557
6,2019-11-08,-1,0.33260113,-1,1.27786,1.28129
7,2019-11-11,1,0.9959883,1,1.28514,1.27786
8,2019-11-12,-1,0.85502315,1,1.28428,1.28514
9,2019-11-13,1,0.9605908,1,1.28509,1.28428
10,2019-11-14,1,0.9822091,1,1.28808,1.28509
11,2019-11-15,1,0.9713291,1,1.29008,1.28808
12,2019-11-18,1,0.99308395,1,1.29523,1.29008
13,2019-11-19,-1,0.53560007,-1,1.29259,1.29523
14,2019-11-20,-1,0.82857305,1,1.29227,1.29259
15,2019-11-21,-1,0.4042886,-1,1.29065,1.29227
16,2019-11-22,-1,0.020093786,-1,1.28321,1.29065
17,2019-11-25,1,0.98404676,1,1.28993,1.28321
18,2019-11-26,-1,0.16310477,-1,1.28645,1.28993
19,2019-11-27,1,0.9684096,1,1.29018,1.28645
20,2019-11-28,1,0.86071134,1,1.29104,1.29018
21,2019-11-29,1,0.9536898,1,1.29337,1.29104
22,2019-12-02,1,0.9172733,1,1.29421,1.29337
23,2019-12-03,1,0.98845184,1,1.29971,1.29421
24,2019-12-04,1,0.996396,1,1.3104,1.29971
25,2019-12-05,1,0.98202574,1,1.31598,1.3104
26,2019-12-06,-1,0.71082723,-1,1.3136,1.31598
27,2019-12-09,1,0.96335477,1,1.31473,1.3136
28,2019-12-10,1,0.9791855,1,1.31815,1.31473
29,2019-12-11,1,0.9647666,1,1.31953,1.31815
30,2019-12-12,-1,0.59999275,-1,1.3171,1.31953
31,2019-12-13,1,0.99904853,1,1.33345,1.3171
32,2019-12-16,-1,0.8629797,1,1.33312,1.33345
33,2019-12-17,-1,0.003244611,-1,1.3127,1.33312
34,2019-12-18,-1,0.6035697,-1,1.30821,1.3127
35,2019-12-19,-1,0.05351838,-1,1.29967,1.30821
36,2019-12-20,1,0.87984806,1,1.30012,1.29967
37,2019-12-23,-1,0.18256499,-1,1.29349,1.30012
38,2019-12-24,1,0.9477255,1,1.2943,1.29349
39,2019-12-26,1,0.9908879,1,1.29951,1.2943
40,2019-12-27,1,0.9984622,1,1.30848,1.29951
41,2019-12-30,1,0.99153054,1,1.31089,1.30848
42,2019-12-31,1,0.9997688,1,1.32605,1.31089
43,2020-01-02,-1,0.037962694,-1,1.31361,1.32605
