time,Actual Movement,Predictions,Predicted
2019-10-31,1,0.8901694,1
2019-11-01,-1,0.5070615,-1
2019-11-04,-1,0.028824626,-1
2019-11-05,-1,0.40561357,-1
2019-11-06,-1,0.22642906,-1
2019-11-07,-1,0.105053306,-1
2019-11-08,-1,0.33260113,-1
2019-11-11,1,0.9959883,1
2019-11-12,-1,0.85502315,1
2019-11-13,1,0.9605908,1
2019-11-14,1,0.9822091,1
2019-11-15,1,0.9713291,1
2019-11-18,1,0.99308395,1
2019-11-19,-1,0.53560007,-1
2019-11-20,-1,0.82857305,1
2019-11-21,-1,0.4042886,-1
2019-11-22,-1,0.020093786,-1
2019-11-25,1,0.98404676,1
2019-11-26,-1,0.16310477,-1
2019-11-27,1,0.9684096,1
2019-11-28,1,0.86071134,1
2019-11-29,1,0.9536898,1
2019-12-02,1,0.9172733,1
2019-12-03,1,0.98845184,1
2019-12-04,1,0.996396,1
2019-12-05,1,0.98202574,1
2019-12-06,-1,0.71082723,-1
2019-12-09,1,0.96335477,1
2019-12-10,1,0.9791855,1
2019-12-11,1,0.9647666,1
2019-12-12,-1,0.59999275,-1
2019-12-13,1,0.99904853,1
2019-12-16,-1,0.8629797,1
2019-12-17,-1,0.003244611,-1
2019-12-18,-1,0.6035697,-1
2019-12-19,-1,0.05351838,-1
2019-12-20,1,0.87984806,1
2019-12-23,-1,0.18256499,-1
2019-12-24,1,0.9477255,1
2019-12-26,1,0.9908879,1
2019-12-27,1,0.9984622,1
2019-12-30,1,0.99153054,1
2019-12-31,1,0.9997688,1
2020-01-02,-1,0.037962694,-1
2020-01-03,-1,0.840442,1
2020-01-06,1,0.99706906,1
2020-01-07,-1,0.27752632,-1
2020-01-08,-1,0.7951206,-1
2020-01-09,-1,0.44365916,-1
2020-01-10,-1,0.735865,-1
2020-01-13,-1,0.06523002,-1
2020-01-14,1,0.9614091,1
2020-01-15,1,0.9517249,1
2020-01-16,1,0.98647875,1
2020-01-17,-1,0.36246756,-1
2020-01-20,-1,0.95883775,1
2020-01-21,1,0.9897277,1
2020-01-22,1,0.9987274,1
2020-01-23,-1,0.9246448,1
2020-01-24,-1,0.3076392,-1
2020-01-27,-1,0.69814706,-1
2020-01-28,-1,0.31162354,-1
2020-01-29,-1,0.6488379,-1
2020-01-30,1,0.9948289,1
2020-01-31,1,0.9977337,1
2020-02-03,-1,0.0020009389,-1
2020-02-04,1,0.9817239,1
2020-02-05,-1,0.4941207,-1
2020-02-06,-1,0.38074592,-1
2020-02-07,-1,0.8464575,1
2020-02-10,1,0.98728114,1
2020-02-11,1,0.9930173,1
2020-02-12,1,0.9705538,1
2020-02-13,1,0.9985759,1
2020-02-14,1,0.9757681,1
2020-02-17,-1,0.68685025,-1
2020-02-18,-1,0.9416851,1
2020-02-19,-1,0.122883126,-1
2020-02-20,-1,0.5931104,-1
2020-02-21,1,0.9964095,1
2020-02-24,-1,0.61459327,-1
2020-02-25,1,0.9947291,1
2020-02-26,-1,0.031945378,-1
2020-02-27,-1,0.88050884,1
2020-02-28,-1,0.18759519,-1
2020-03-02,-1,0.23424666,-1
2020-03-03,1,0.9932968,1
2020-03-04,1,0.9891009,1
2020-03-05,1,0.99648345,1
2020-03-06,1,0.9922052,1
2020-03-09,1,0.9849939,1
2020-03-10,-1,0.0018513227,-1
2020-03-11,-1,0.3909597,-1
2020-03-12,-1,0.0021998838,-1
2020-03-13,-1,0.0055332934,-1
2020-03-16,-1,0.9694834,1
2020-03-17,-1,0.0048478018,-1
2020-03-18,-1,0.00028333068,-1
2020-03-19,-1,0.9396098,1
2020-03-20,1,0.99495417,1
2020-03-23,-1,0.048600055,-1
2020-03-24,1,0.99995136,1
2020-03-25,1,0.9940918,1
2020-03-26,1,0.9999714,1
2020-03-27,1,0.99975795,1
2020-03-30,-1,0.18807286,-1
2020-03-31,1,0.98826563,1
2020-04-01,-1,0.8149118,1
2020-04-02,1,0.96369207,1
2020-04-03,-1,0.013637785,-1
2020-04-06,-1,0.37294278,-1
2020-04-07,1,0.98084235,1
2020-04-08,1,0.63103926,-1
2020-04-09,1,0.9504555,1
2020-04-10,-1,0.22250387,-1
2020-04-13,1,0.9637883,1
2020-04-14,1,0.9880796,1
2020-04-15,-1,0.010958584,-1
2020-04-16,-1,0.12570146,-1
2020-04-17,1,0.95631254,1
2020-04-20,-1,0.03507666,-1
2020-04-21,-1,0.01784543,-1
2020-04-22,1,0.9702501,1
2020-04-23,1,0.80685735,1
2020-04-24,1,0.94112366,1
2020-04-27,1,0.99060833,1
2020-04-28,-1,0.87090534,1
2020-04-29,1,0.9923185,1
2020-04-30,1,0.9981931,1
2020-05-01,-1,0.0295914,-1
2020-05-04,-1,0.4605794,-1
2020-05-05,-1,0.72016144,-1
2020-05-06,-1,0.03563522,-1
2020-05-07,1,0.9621608,1
2020-05-08,1,0.97891515,1
2020-05-11,-1,0.17573781,-1
2020-05-12,-1,0.343413,-1
2020-05-13,-1,0.9093328,1
2020-05-14,-1,0.9023317,1
2020-05-15,-1,0.03682297,-1
2020-05-18,1,0.9988329,1
2020-05-19,1,0.9904727,1
2020-05-20,-1,0.921951,1
2020-05-21,-1,0.932013,1
2020-05-22,-1,0.39405274,-1
2020-05-25,1,0.9727012,1
2020-05-26,1,0.99948597,1
2020-05-27,-1,0.08807594,-1
2020-05-28,1,0.9935389,1
2020-05-29,1,0.943106,1
2020-06-01,1,0.9972357,1
2020-06-02,1,0.9560842,1
2020-06-03,1,0.93568105,1
2020-06-04,1,0.9607194,1
2020-06-05,1,0.99273455,1
2020-06-08,1,0.98342484,1
2020-06-09,1,0.95560986,1
2020-06-10,1,0.9816015,1
2020-06-11,-1,0.0046137706,-1
2020-06-12,-1,0.1376726,-1
2020-06-15,1,0.9283718,1
2020-06-16,-1,0.06645526,-1
2020-06-17,-1,0.30938476,-1
2020-06-18,-1,0.0063627716,-1
2020-06-19,-1,0.13977364,-1
2020-06-22,1,0.99836165,1
2020-06-23,1,0.9838913,1
2020-06-24,-1,0.12276283,-1
2020-06-25,-1,0.97330725,1
2020-06-26,-1,0.26953986,-1
2020-06-29,-1,0.8544286,1
2020-06-30,1,0.9988254,1
2020-07-01,1,0.994961,1
2020-07-02,-1,0.9343922,1
2020-07-03,1,0.97551435,1
2020-07-06,1,0.9428511,1
2020-07-07,1,0.9857597,1
2020-07-08,1,0.9886537,1
2020-07-09,-1,0.70923775,-1
2020-07-10,1,0.94918174,1
2020-07-13,-1,0.03599497,-1
2020-07-14,1,0.6589223,-1
2020-07-15,1,0.904728,1
2020-07-16,-1,0.08219379,-1
2020-07-17,1,0.76046646,-1
2020-07-20,1,0.9891446,1
2020-07-21,1,0.97618127,1
2020-07-22,1,0.9321413,1
2020-07-23,-1,0.9206719,1
2020-07-24,1,0.9908242,1
2020-07-27,1,0.99252677,1
2020-07-28,1,0.9845031,1
2020-07-29,1,0.9915173,1
2020-07-30,1,0.9962877,1
2020-07-31,-1,0.82299787,1
2020-08-03,-1,0.9677357,1
2020-08-04,-1,0.9635695,1
2020-08-05,1,0.9914267,1
2020-08-06,1,0.98035973,1
2020-08-07,-1,0.02051506,-1
2020-08-10,1,0.859743,1
2020-08-11,-1,0.11478896,-1
2020-08-12,-1,0.15777437,-1
2020-08-13,1,0.8905929,1
2020-08-14,1,0.87128776,1
2020-08-17,1,0.9155064,1
2020-08-18,1,0.9984275,1
2020-08-19,-1,0.00427921,-1
2020-08-20,1,0.9961748,1
2020-08-21,-1,0.007920822,-1
2020-08-24,-1,0.737789,-1
2020-08-25,1,0.99213564,1
2020-08-26,1,0.9749215,1
2020-08-27,-1,0.66062313,-1
2020-08-28,1,0.9976254,1
2020-08-31,1,0.6594139,-1
2020-09-01,1,0.90456945,1
2020-09-02,-1,0.41348875,-1
2020-09-03,-1,0.06800097,-1
2020-09-04,-1,0.76141924,-1
2020-09-07,-1,0.0151719125,-1
2020-09-08,-1,0.006020933,-1
2020-09-09,1,0.96204686,1
2020-09-10,-1,0.004331607,-1
2020-09-11,-1,0.9068179,1
2020-09-14,1,0.9652767,1
2020-09-15,1,0.9748634,1
2020-09-16,1,0.9949681,1
2020-09-17,1,0.96394426,1
2020-09-18,-1,0.71519744,-1
2020-09-21,-1,0.16123955,-1
2020-09-22,-1,0.44303322,-1
2020-09-23,-1,0.90690225,1
2020-09-24,1,0.9540982,1
2020-09-25,-1,0.87155265,1
2020-09-28,1,0.99807644,1
2020-09-29,1,0.97878677,1
2020-09-30,1,0.9954855,1
2020-10-01,-1,0.51449984,-1
2020-10-02,1,0.9863898,1
2020-10-05,1,0.97265863,1
