,time,action,position,entry_price,close_price,profit,balance
0,2019-10-31,open,long,1.29421,,,9999.9998
1,2019-11-01,close,neutral,,1.29399,-2.20000000000109,9997.799599999998
2,2019-11-01,open,short,1.29399,,,9997.799399999998
3,2019-11-11,close,neutral,,1.28514,88.50000000000024,10086.299199999998
4,2019-11-11,open,long,1.28514,,,10086.298999999997
5,2019-11-19,close,neutral,,1.29259,74.49999999999957,10160.798799999997
6,2019-11-19,open,short,1.29259,,,10160.798599999996
7,2019-11-20,close,neutral,,1.29227,3.1999999999987594,10163.998399999995
8,2019-11-20,open,long,1.29227,,,10163.998199999995
9,2019-11-21,close,neutral,,1.29065,-16.199999999999548,10147.797999999995
10,2019-11-21,open,short,1.29065,,,10147.797799999995
11,2019-11-25,close,neutral,,1.28993,7.200000000000539,10154.997599999995
12,2019-11-25,open,long,1.28993,,,10154.997399999995
13,2019-11-26,close,neutral,,1.28645,-34.79999999999927,10120.197199999995
14,2019-11-26,open,short,1.28645,,,10120.196999999995
15,2019-11-27,close,neutral,,1.29018,-37.30000000000011,10082.896799999995
16,2019-11-27,open,long,1.29018,,,10082.896599999995
17,2019-12-06,close,neutral,,1.3136,234.19999999999996,10317.096399999995
18,2019-12-06,open,short,1.3136,,,10317.096199999994
19,2019-12-09,close,neutral,,1.31473,-11.299999999998533,10305.795999999997
20,2019-12-09,open,long,1.31473,,,10305.795799999996
21,2019-12-12,close,neutral,,1.3171,23.699999999999832,10329.495599999997
22,2019-12-12,open,short,1.3171,,,10329.495399999996
23,2019-12-13,close,neutral,,1.33345,-163.50000000000085,10165.995199999996
24,2019-12-13,open,long,1.33345,,,10165.994999999995
25,2019-12-17,close,neutral,,1.3127,-207.50000000000045,9958.494799999995
26,2019-12-17,open,short,1.3127,,,9958.494599999995
27,2019-12-20,close,neutral,,1.30012,125.80000000000035,10084.294399999995
28,2019-12-20,open,long,1.30012,,,10084.294199999995
29,2019-12-23,close,neutral,,1.29349,-66.29999999999913,10017.993999999995
30,2019-12-23,open,short,1.29349,,,10017.993799999995
31,2019-12-24,close,neutral,,1.2943,-8.099999999999774,10009.893599999996
32,2019-12-24,open,long,1.2943,,,10009.893399999995
33,2020-01-02,close,neutral,,1.31361,193.0999999999994,10202.993199999995
34,2020-01-02,open,short,1.31361,,,10202.992999999995
35,2020-01-03,close,neutral,,1.30748,61.299999999999685,10264.292799999994
36,2020-01-03,open,long,1.30748,,,10264.292599999993
37,2020-01-07,close,neutral,,1.31187,43.90000000000116,10308.192399999994
38,2020-01-07,open,short,1.31187,,,10308.192199999994
39,2020-01-14,close,neutral,,1.30178,100.90000000000154,10409.091999999995
40,2020-01-14,open,long,1.30178,,,10409.091799999995
41,2020-01-17,close,neutral,,1.301,-7.800000000000029,10401.291599999995
42,2020-01-17,open,short,1.301,,,10401.291399999995
43,2020-01-20,close,neutral,,1.30087,1.2999999999996348,10402.591199999993
44,2020-01-20,open,long,1.30087,,,10402.590999999993
45,2020-01-24,close,neutral,,1.30716,62.900000000001285,10465.490799999994
46,2020-01-24,open,short,1.30716,,,10465.490599999994
47,2020-01-30,close,neutral,,1.30912,-19.599999999999618,10445.890399999995
48,2020-01-30,open,long,1.30912,,,10445.890199999994
49,2020-02-03,close,neutral,,1.29998,-91.40000000000148,10354.489999999993
50,2020-02-03,open,short,1.29998,,,10354.489799999992
51,2020-02-04,close,neutral,,1.30321,-32.300000000000665,10322.18959999999
52,2020-02-04,open,long,1.30321,,,10322.18939999999
