time,Actual Movement,Predictions,Predicted
2019-08-21,1,0.9701717,1
2019-08-22,1,0.79077595,1
2019-08-23,-1,0.0126176635,-1
2019-08-26,1,0.7149251,1
2019-08-27,1,0.72330076,1
2019-08-28,1,0.46896207,-1
2019-08-29,1,0.8838274,1
2019-08-30,1,0.7956455,1
2019-09-02,1,0.7337026,1
2019-09-03,-1,0.13174607,-1
2019-09-04,-1,0.03407129,-1
2019-09-05,1,0.88128954,1
2019-09-06,1,0.6571237,1
2019-09-09,1,0.83751464,1
2019-09-10,-1,0.39726397,-1
2019-09-11,1,0.5675851,-1
2019-09-12,-1,0.10245982,-1
2019-09-13,-1,0.27931422,-1
2019-09-16,1,0.7786805,1
2019-09-17,1,0.6777939,1
2019-09-18,1,0.9375302,1
2019-09-19,-1,0.07517335,-1
2019-09-20,-1,0.09238752,-1
2019-09-23,-1,0.114875555,-1
2019-09-24,-1,0.025192628,-1
2019-09-25,1,0.952416,1
2019-09-26,1,0.85679346,1
2019-09-27,-1,0.23407261,-1
2019-09-30,1,0.9457264,1
2019-10-01,-1,0.081830055,-1
2019-10-02,1,0.844053,1
2019-10-03,1,0.83813804,1
2019-10-04,-1,0.13143137,-1
2019-10-07,-1,0.40881056,-1
2019-10-08,-1,0.21449338,-1
2019-10-09,1,0.8735178,1
2019-10-10,1,0.7053157,1
2019-10-11,-1,0.5739521,-1
2019-10-14,1,0.77585083,1
2019-10-15,1,0.889228,1
2019-10-16,-1,0.07924965,-1
2019-10-17,-1,0.01804655,-1
2019-10-18,-1,0.073383816,-1
2019-10-21,1,0.88396645,1
2019-10-22,1,0.98360336,1
2019-10-23,1,0.94635487,1
2019-10-24,1,0.9306572,1
2019-10-25,1,0.9380302,1
2019-10-28,1,0.8582761,1
2019-10-29,-1,0.65012395,1
2019-10-30,-1,0.03856132,-1
2019-10-31,-1,0.051329054,-1
2019-11-01,-1,0.18528366,-1
2019-11-04,1,0.92501545,1
2019-11-05,1,0.9866496,1
2019-11-06,1,0.8910682,1
2019-11-07,1,0.90649927,1
2019-11-08,1,0.92098284,1
2019-11-11,-1,0.093053475,-1
2019-11-12,-1,0.2907293,-1
2019-11-13,-1,0.07128656,-1
2019-11-14,-1,0.095027015,-1
2019-11-15,1,0.7405857,1
2019-11-18,-1,0.4422718,-1
2019-11-19,1,0.85656524,1
2019-11-20,1,0.88483214,1
2019-11-21,1,0.955901,1
2019-11-22,1,0.9772968,1
2019-11-25,-1,0.8348414,1
2019-11-26,1,0.8623923,1
2019-11-27,1,0.9393684,1
2019-11-28,-1,0.62010306,-1
2019-11-29,1,0.8741478,1
2019-12-02,-1,0.00940459,-1
2019-12-03,-1,0.037192453,-1
2019-12-04,1,0.78550535,1
2019-12-05,-1,0.28729957,-1
2019-12-06,1,0.9682266,1
2019-12-09,-1,0.6372354,1
2019-12-10,-1,0.2573978,-1
2019-12-11,-1,0.6220179,-1
2019-12-12,1,0.95322186,1
2019-12-13,-1,0.6816868,1
2019-12-16,-1,0.3702242,-1
2019-12-17,-1,0.20222354,-1
2019-12-18,1,0.7593695,1
2019-12-19,-1,0.2838327,-1
2019-12-20,1,0.99323845,1
2019-12-23,-1,0.82141733,1
2019-12-24,-1,0.29640296,-1
2019-12-26,1,0.92528105,1
2019-12-27,-1,0.029806992,-1
2019-12-30,-1,0.03574264,-1
2019-12-31,-1,0.078848295,-1
2020-01-02,1,0.90217197,1
2020-01-03,1,0.56692564,-1
2020-01-06,-1,0.040964536,-1
2020-01-07,1,0.8957797,1
2020-01-08,1,0.95035374,1
2020-01-09,-1,0.7369432,1
2020-01-10,-1,0.6900841,1
2020-01-13,-1,0.2702298,-1
2020-01-14,-1,0.07327946,-1
2020-01-15,-1,0.06936536,-1
2020-01-16,1,0.7549621,1
2020-01-17,1,0.944495,1
2020-01-20,1,0.5793089,-1
2020-01-21,1,0.7775518,1
2020-01-22,-1,0.3639574,-1
2020-01-23,1,0.8593582,1
2020-01-24,1,0.95084524,1
2020-01-27,-1,0.48307574,-1
2020-01-28,1,0.95384264,1
2020-01-29,1,0.902078,1
2020-01-30,-1,0.053505618,-1
2020-01-31,-1,0.015550318,-1
2020-02-03,1,0.87973726,1
2020-02-04,1,0.95381474,1
2020-02-05,1,0.95613015,1
2020-02-06,1,0.8195443,1
2020-02-07,1,0.8717977,1
2020-02-10,-1,0.65049964,1
2020-02-11,-1,0.3019262,-1
2020-02-12,1,0.81001544,1
2020-02-13,1,0.7356429,1
2020-02-14,1,0.8717029,1
2020-02-17,-1,0.452802,-1
2020-02-18,1,0.86470366,1
2020-02-19,1,0.85048634,1
2020-02-20,1,0.8562077,1
2020-02-21,-1,0.011617833,-1
2020-02-24,1,0.13131936,-1
2020-02-25,-1,0.04002707,-1
2020-02-26,1,0.5195896,-1
2020-02-27,-1,0.01662126,-1
2020-02-28,-1,0.039619412,-1
2020-03-02,-1,0.0152137475,-1
2020-03-03,-1,0.014685035,-1
2020-03-04,1,0.05425906,-1
2020-03-05,-1,0.005991208,-1
2020-03-06,-1,0.019475892,-1
2020-03-09,-1,0.009822822,-1
2020-03-10,1,0.99402976,1
2020-03-11,-1,0.06509282,-1
2020-03-12,1,0.9340308,1
2020-03-13,1,0.93574923,1
2020-03-16,-1,0.1509203,-1
2020-03-17,1,0.98545974,1
2020-03-18,1,0.89219034,1
2020-03-19,1,0.9731545,1
2020-03-20,-1,0.47903726,-1
2020-03-23,-1,0.79665583,1
2020-03-24,-1,0.5032248,-1
2020-03-25,-1,0.24736324,-1
2020-03-26,-1,0.007359985,-1
2020-03-27,-1,0.007336007,-1
2020-03-30,1,0.8822318,1
2020-03-31,1,0.34515622,-1
2020-04-01,1,0.80327755,1
2020-04-02,1,0.94392973,1
2020-04-03,1,0.8667221,1
2020-04-06,1,0.89319646,1
2020-04-07,-1,0.07538325,-1
2020-04-08,1,0.89935607,1
2020-04-09,-1,0.09377948,-1
2020-04-10,-1,0.4660486,-1
2020-04-13,1,0.806471,1
2020-04-14,-1,0.031931613,-1
2020-04-15,1,0.8603746,1
2020-04-16,1,0.91751134,1
2020-04-17,-1,0.17792907,-1
2020-04-20,1,0.8255166,1
2020-04-21,1,0.93060106,1
2020-04-22,1,0.94401723,1
2020-04-23,1,0.95727855,1
2020-04-24,-1,0.30423105,-1
2020-04-27,1,0.8706059,1
2020-04-28,-1,0.61882216,-1
2020-04-29,-1,0.44541898,-1
2020-04-30,-1,0.011860388,-1
2020-05-01,-1,0.047753703,-1
2020-05-04,1,0.9444378,1
2020-05-05,1,0.98111916,1
2020-05-06,1,0.8545385,1
2020-05-07,-1,0.3126367,-1
2020-05-08,-1,0.26705635,-1
2020-05-11,1,0.7521557,1
2020-05-12,-1,0.14732571,-1
2020-05-13,1,0.8436793,1
2020-05-14,1,0.78020537,1
2020-05-15,-1,0.28705123,-1
2020-05-18,-1,0.24333398,-1
2020-05-19,1,0.37338218,-1
2020-05-20,-1,0.0071204915,-1
2020-05-21,1,0.9313807,1
2020-05-22,1,0.8142174,1
2020-05-25,1,0.8256564,1
2020-05-26,-1,0.06068727,-1
2020-05-27,1,0.9285647,1
2020-05-28,-1,0.30095804,-1
2020-05-29,-1,0.29798612,-1
2020-06-01,-1,0.7563588,1
2020-06-02,1,0.849817,1
2020-06-03,-1,0.16653618,-1
2020-06-04,-1,0.029866714,-1
2020-06-05,1,0.9882586,1
2020-06-08,-1,0.17625172,-1
2020-06-09,-1,0.054417837,-1
2020-06-10,-1,0.10392336,-1
2020-06-11,1,0.5495216,-1
2020-06-12,1,0.98367727,1
2020-06-15,-1,0.10359624,-1
2020-06-16,1,0.86629677,1
2020-06-17,-1,0.19263002,-1
2020-06-18,1,0.88922733,1
2020-06-19,1,0.7857823,1
2020-06-22,-1,0.05800756,-1
2020-06-23,-1,0.09796954,-1
2020-06-24,1,0.9150781,1
2020-06-25,1,0.755942,1
2020-06-26,-1,0.57365084,-1
2020-06-29,1,0.9099561,1
2020-06-30,-1,0.043613702,-1
2020-07-01,-1,0.0891825,-1
2020-07-02,-1,0.28728998,-1
2020-07-03,-1,0.23999386,-1
2020-07-06,-1,0.083962,-1
2020-07-07,1,0.16484834,-1
2020-07-08,-1,0.017554928,-1
2020-07-09,1,0.82307464,1
2020-07-10,1,0.85125065,1
2020-07-13,1,0.73693216,1
2020-07-14,-1,0.16452694,-1
2020-07-15,1,0.98715717,1
2020-07-16,1,0.9714335,1
2020-07-17,-1,0.05247475,-1
2020-07-20,1,0.6750555,1
2020-07-21,-1,0.06897539,-1
2020-07-22,-1,0.105242126,-1
2020-07-23,-1,0.10103246,-1
2020-07-24,-1,0.08329227,-1
2020-07-27,-1,0.12404637,-1
2020-07-28,-1,0.04427854,-1
2020-07-29,-1,0.021562554,-1
2020-07-30,-1,0.04533156,-1
2020-07-31,1,0.9667227,1
2020-08-03,1,0.97218466,1
2020-08-04,-1,0.17139809,-1
2020-08-05,-1,0.16865225,-1
2020-08-06,1,0.9374713,1
2020-08-07,1,0.97666556,1
2020-08-10,1,0.98526645,1
2020-08-11,1,0.9640865,1
2020-08-12,-1,0.11877925,-1
2020-08-13,-1,0.24622916,-1
2020-08-14,-1,0.4747079,-1
2020-08-17,-1,0.17304121,-1
2020-08-18,-1,0.15187691,-1
2020-08-19,1,0.99858093,1
2020-08-20,-1,0.06576176,-1
2020-08-21,1,0.95247453,1
2020-08-24,1,0.8065437,1
2020-08-25,-1,0.13103355,-1
2020-08-26,1,0.8240021,1
2020-08-27,1,0.85752445,1
2020-08-28,-1,0.08854331,-1
2020-08-31,-1,0.5882623,-1
2020-09-01,1,0.9836675,1
2020-09-02,1,0.90908813,1
2020-09-03,-1,0.41644672,-1
2020-09-04,1,0.9391725,1
2020-09-07,1,0.91432595,1
2020-09-08,1,0.88856393,1
2020-09-09,-1,0.045040198,-1
2020-09-10,-1,0.19077228,-1
2020-09-11,-1,0.15729837,-1
2020-09-14,-1,0.22044112,-1
2020-09-15,-1,0.17547886,-1
2020-09-16,1,0.78936636,1
2020-09-17,-1,0.20095234,-1
2020-09-18,1,0.9471272,1
2020-09-21,1,0.9783691,1
2020-09-22,1,0.98478657,1
2020-09-23,1,0.9730849,1
2020-09-24,1,0.96235955,1
2020-09-25,1,0.96515423,1
2020-09-28,-1,0.31492585,-1
2020-09-29,-1,0.07133666,-1
2020-09-30,1,0.7433705,1
2020-10-01,-1,0.12373831,-1
2020-10-02,1,0.7650549,1
2020-10-05,-1,0.030779239,-1
2020-10-06,1,0.8524225,1
2020-10-07,-1,0.4974034,-1
2020-10-08,-1,0.61895174,-1
2020-10-09,-1,0.025658004,-1
2020-10-12,-1,0.5330792,-1
2020-10-13,1,0.9961436,1
2020-10-14,-1,0.93578804,1
2020-10-15,1,0.97082394,1
2020-10-16,1,0.96088403,1
2020-10-19,-1,0.14311701,-1
2020-10-20,-1,0.20906834,-1
2020-10-21,-1,0.4486342,-1
2020-10-22,1,0.9256763,1
2020-10-23,-1,0.19623595,-1
2020-10-26,1,0.9847451,1
2020-10-27,1,0.96583396,1
2020-10-28,1,0.96543336,1
2020-10-29,1,0.9841679,1
2020-10-30,1,0.87921613,1
2020-11-02,1,0.916636,1
2020-11-03,-1,0.02751643,-1
2020-11-04,1,0.5173317,-1
2020-11-05,-1,0.03265949,-1
2020-11-06,-1,0.12519269,-1
2020-11-09,1,0.9975133,1
2020-11-10,1,0.62932605,-1
2020-11-11,1,0.72706544,1
2020-11-12,-1,0.2697962,-1
2020-11-13,-1,0.15912703,-1
2020-11-16,-1,0.36862934,-1
