,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,long,0.98272,,,9999.99
1,2019-08-23,close,neutral,,0.97481,-79.10000000000083,9920.88
2,2019-08-23,open,short,0.97481,,,9920.869999999999
3,2019-08-26,close,neutral,,0.97901,-42.000000000000924,9878.859999999999
4,2019-08-26,open,long,0.97901,,,9878.849999999999
5,2019-08-28,close,neutral,,0.98139,23.79999999999938,9902.639999999998
6,2019-08-28,open,short,0.98139,,,9902.629999999997
7,2019-08-29,close,neutral,,0.98663,-52.400000000000226,9850.219999999998
8,2019-08-29,open,long,0.98663,,,9850.209999999997
9,2019-09-03,close,neutral,,0.9866,-0.2999999999997449,9849.899999999998
10,2019-09-03,open,short,0.9866,,,9849.889999999998
11,2019-09-05,close,neutral,,0.98606,5.399999999999849,9855.279999999997
12,2019-09-05,open,long,0.98606,,,9855.269999999997
13,2019-09-10,close,neutral,,0.99187,58.09999999999982,9913.359999999997
14,2019-09-10,open,short,0.99187,,,9913.349999999997
15,2019-09-16,close,neutral,,0.99278,-9.099999999999664,9904.239999999998
16,2019-09-16,open,long,0.99278,,,9904.229999999998
17,2019-09-19,close,neutral,,0.99302,2.4000000000001798,9906.619999999997
18,2019-09-19,open,short,0.99302,,,9906.609999999997
19,2019-09-25,close,neutral,,0.99225,7.700000000000484,9914.299999999997
20,2019-09-25,open,long,0.99225,,,9914.289999999997
21,2019-09-27,close,neutral,,0.99116,-10.899999999999244,9903.379999999997
22,2019-09-27,open,short,0.99116,,,9903.369999999997
23,2019-09-30,close,neutral,,0.99814,-69.79999999999987,9833.559999999998
24,2019-09-30,open,long,0.99814,,,9833.549999999997
25,2019-10-01,close,neutral,,0.99283,-53.10000000000037,9780.439999999997
26,2019-10-01,open,short,0.99283,,,9780.429999999997
27,2019-10-02,close,neutral,,0.99686,-40.299999999999784,9740.119999999997
28,2019-10-02,open,long,0.99686,,,9740.109999999997
29,2019-10-04,close,neutral,,0.99508,-17.80000000000004,9722.299999999997
30,2019-10-04,open,short,0.99508,,,9722.289999999997
31,2019-10-09,close,neutral,,0.99617,-10.900000000000354,9711.379999999997
32,2019-10-09,open,long,0.99617,,,9711.369999999997
33,2019-10-11,close,neutral,,0.99668,5.1000000000001044,9716.459999999997
34,2019-10-11,open,short,0.99668,,,9716.449999999997
35,2019-10-14,close,neutral,,0.99747,-7.899999999999574,9708.539999999997
36,2019-10-14,open,long,0.99747,,,9708.529999999997
37,2019-10-16,close,neutral,,0.9948,-26.699999999999502,9681.819999999998
38,2019-10-16,open,short,0.9948,,,9681.809999999998
39,2019-10-21,close,neutral,,0.98578,90.20000000000027,9771.999999999998
40,2019-10-21,open,long,0.98578,,,9771.989999999998
41,2019-10-30,close,neutral,,0.98925,34.69999999999973,9806.679999999998
42,2019-10-30,open,short,0.98925,,,9806.669999999998
43,2019-11-04,close,neutral,,0.98757,16.800000000000146,9823.46
44,2019-11-04,open,long,0.98757,,,9823.449999999999
45,2019-11-11,close,neutral,,0.99339,58.20000000000047,9881.64
46,2019-11-11,open,short,0.99339,,,9881.63
47,2019-11-15,close,neutral,,0.98962,37.6999999999994,9919.319999999998
