,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-01-12,1,0.29274806,-1,81.595,
1,2021-01-13,1,0.61404425,1,81.776,81.595
2,2021-01-14,1,0.888286,1,82.086,81.776
3,2021-01-15,-1,0.010519919,-1,81.522,82.086
4,2021-01-18,-1,0.025470989,-1,81.305,81.522
5,2021-01-19,1,0.5653277,1,81.602,81.305
6,2021-01-20,1,0.84978193,1,81.963,81.602
7,2021-01-21,-1,0.13568582,-1,81.893,81.963
8,2021-01-22,-1,0.015391478,-1,81.49,81.893
9,2021-01-25,-1,0.048893567,-1,81.43,81.49
10,2021-01-26,1,0.5845565,1,81.622,81.43
11,2021-01-27,-1,0.042352132,-1,81.295,81.622
12,2021-01-28,-1,0.24814391,-1,81.261,81.295
13,2021-01-29,1,0.9905924,1,81.932,81.261
14,2021-02-01,-1,0.110779144,-1,81.643,81.932
15,2021-02-02,1,0.9466454,1,82.123,81.643
16,2021-02-03,1,0.3612824,-1,82.134,82.123
17,2021-02-04,1,0.5783193,1,82.298,82.134
18,2021-02-05,1,0.8354137,1,82.576,82.298
19,2021-02-08,1,0.5563648,1,82.611,82.576
20,2021-02-09,-1,0.045332186,-1,82.36,82.611
21,2021-02-10,1,0.15148127,-1,82.365,82.36
22,2021-02-11,1,0.30907926,-1,82.441,82.365
23,2021-02-12,1,0.8316054,1,82.676,82.441
24,2021-02-15,1,0.97474355,1,83.297,82.676
25,2021-02-16,1,0.9340837,1,83.517,83.297
26,2021-02-17,-1,0.45064378,-1,83.352,83.517
27,2021-02-18,1,0.8244517,1,83.356,83.352
28,2021-02-19,1,0.9390274,1,83.553,83.356
29,2021-02-22,-1,0.06403703,-1,83.276,83.553
30,2021-02-23,1,0.9216137,1,83.611,83.276
31,2021-02-24,1,0.99082476,1,84.579,83.611
32,2021-02-25,-1,0.07192835,-1,84.233,84.579
33,2021-02-26,-1,0.028913658,-1,83.679,84.233
34,2021-03-01,1,0.9701349,1,84.451,83.679
35,2021-03-02,-1,0.2645927,-1,84.409,84.451
36,2021-03-03,1,0.7665764,1,84.557,84.409
37,2021-03-04,1,0.9705979,1,85.229,84.557
38,2021-03-05,1,0.93287534,1,85.669,85.229
39,2021-03-08,1,0.925989,1,85.995,85.669
40,2021-03-09,-1,0.33072495,-1,85.826,85.995
41,2021-03-10,1,0.8488421,1,85.896,85.826
42,2021-03-11,1,0.97466403,1,86.542,85.896
43,2021-03-12,1,0.97757816,1,87.35,86.542
44,2021-03-15,1,0.89533955,1,87.496,87.35
45,2021-03-16,1,0.93562585,1,87.585,87.496
46,2021-03-17,1,0.9498543,1,87.768,87.585
47,2021-03-18,-1,0.025865197,-1,87.198,87.768
48,2021-03-19,-1,0.06771141,-1,87.055,87.198
49,2021-03-22,-1,0.03832099,-1,86.891,87.055
50,2021-03-23,-1,0.0066039837,-1,86.267,86.891
51,2021-03-24,1,0.06319992,-1,86.398,86.267
52,2021-03-25,1,0.22433627,-1,86.585,86.398
53,2021-03-26,1,0.9697175,1,87.241,86.585
54,2021-03-29,-1,0.67971826,1,87.215,87.241
55,2021-03-30,1,0.9215527,1,87.39,87.215
56,2021-03-31,1,0.98503,1,88.129,87.39
57,2021-04-01,-1,0.80273575,1,88.126,88.129
58,2021-04-02,-1,0.2620021,-1,87.964,88.126
59,2021-04-05,1,0.5375256,-1,87.979,87.964
60,2021-04-06,-1,0.008025724,-1,87.312,87.979
61,2021-04-07,-1,0.020678893,-1,87.108,87.312
62,2021-04-08,-1,0.022833932,-1,86.98,87.108
63,2021-04-09,1,0.895719,1,87.495,86.98
64,2021-04-12,-1,0.022726953,-1,87.059,87.495
65,2021-04-13,-1,0.09116821,-1,87.007,87.059
66,2021-04-14,-1,0.14659087,-1,87.001,87.007
67,2021-04-15,-1,0.034901302,-1,86.675,87.001
68,2021-04-16,1,0.93565744,1,86.983,86.675
69,2021-04-19,-1,0.024916973,-1,86.296,86.983
70,2021-04-20,-1,0.02701013,-1,85.677,86.296
71,2021-04-21,1,0.98769104,1,86.467,85.677
72,2021-04-22,-1,0.33495286,-1,86.355,86.467
73,2021-04-23,1,0.78366363,1,86.461,86.355
74,2021-04-26,1,0.9830703,1,87.228,86.461
75,2021-04-27,1,0.9318257,1,87.679,87.228
76,2021-04-28,1,0.9287812,1,88.193,87.679
77,2021-04-29,1,0.9249879,1,88.695,88.193
