time,Actual Movement,Predictions,Predicted
2021-01-12,1,0.22281851,-1
2021-01-13,1,0.5368946,1
2021-01-14,1,0.86595464,1
2021-01-15,-1,0.008930634,-1
2021-01-18,-1,0.025965942,-1
2021-01-19,1,0.519454,1
2021-01-20,1,0.79661125,1
2021-01-21,-1,0.09288613,-1
2021-01-22,-1,0.013653759,-1
2021-01-25,-1,0.046512403,-1
2021-01-26,1,0.50769013,1
2021-01-27,-1,0.034647737,-1
2021-01-28,-1,0.1636725,-1
2021-01-29,1,0.98651946,1
2021-02-01,-1,0.05918227,-1
2021-02-02,1,0.9370671,1
2021-02-03,1,0.26750898,-1
2021-02-04,1,0.51302695,1
2021-02-05,1,0.80320054,1
2021-02-08,1,0.4775353,1
2021-02-09,-1,0.038543824,-1
2021-02-10,1,0.11397159,-1
2021-02-11,1,0.25006834,-1
2021-02-12,1,0.79923046,1
2021-02-15,1,0.97153395,1
2021-02-16,1,0.9224795,1
2021-02-17,-1,0.35105693,-1
2021-02-18,1,0.79294515,1
2021-02-19,1,0.93557286,1
2021-02-22,-1,0.051452257,-1
2021-02-23,1,0.9183975,1
2021-02-24,1,0.9887892,1
2021-02-25,-1,0.051998753,-1
2021-02-26,-1,0.025450248,-1
2021-03-01,1,0.9686357,1
2021-03-02,-1,0.19175132,-1
2021-03-03,1,0.72522444,1
2021-03-04,1,0.9668287,1
2021-03-05,1,0.92091507,1
2021-03-08,1,0.9178316,1
2021-03-09,-1,0.2765399,-1
2021-03-10,1,0.83946687,1
2021-03-11,1,0.97391164,1
2021-03-12,1,0.9754868,1
2021-03-15,1,0.8736921,1
2021-03-16,1,0.93641984,1
2021-03-17,1,0.95287055,1
2021-03-18,-1,0.02343866,-1
2021-03-19,-1,0.05794795,-1
2021-03-22,-1,0.036822103,-1
2021-03-23,-1,0.004988635,-1
2021-03-24,1,0.06424122,-1
2021-03-25,1,0.18203305,-1
2021-03-26,1,0.9665831,1
2021-03-29,-1,0.5916488,1
2021-03-30,1,0.915983,1
2021-03-31,1,0.98295045,1
2021-04-01,-1,0.75213265,1
2021-04-02,-1,0.25479707,-1
2021-04-05,1,0.54539716,1
2021-04-06,-1,0.0075528217,-1
2021-04-07,-1,0.0227671,-1
2021-04-08,-1,0.024768056,-1
2021-04-09,1,0.8897205,1
2021-04-12,-1,0.020415628,-1
2021-04-13,-1,0.07719827,-1
2021-04-14,-1,0.10914383,-1
2021-04-15,-1,0.030601684,-1
2021-04-16,1,0.9292522,1
2021-04-19,-1,0.02005392,-1
2021-04-20,-1,0.024457544,-1
2021-04-21,1,0.9884801,1
2021-04-22,-1,0.20059049,-1
2021-04-23,1,0.6943737,1
2021-04-26,1,0.9784571,1
2021-04-27,1,0.9160172,1
2021-04-28,1,0.9185088,1
