time,Actual Movement,Predictions,Predicted
2019-07-19 10:00:00,-1,0.16257463,-1
2019-07-19 12:00:00,-1,0.014776735,-1
2019-07-19 14:00:00,1,0.9320775,1
2019-07-19 16:00:00,-1,0.011159815,-1
2019-07-19 18:00:00,1,0.83610684,1
2019-07-19 20:00:00,-1,0.033155166,-1
2019-07-19 22:00:00,-1,0.09552235,-1
2019-07-22 00:00:00,1,0.63260436,1
2019-07-22 02:00:00,1,0.9896534,1
2019-07-22 04:00:00,-1,0.88876164,1
2019-07-22 06:00:00,1,0.9463791,1
2019-07-22 08:00:00,-1,0.014477928,-1
2019-07-22 10:00:00,1,0.87810487,1
2019-07-22 12:00:00,1,0.98799896,1
2019-07-22 14:00:00,1,0.92071253,1
2019-07-22 16:00:00,-1,0.0031467376,-1
2019-07-22 18:00:00,-1,0.36952695,-1
2019-07-22 20:00:00,-1,0.095301695,-1
2019-07-22 22:00:00,-1,0.2677872,-1
2019-07-23 00:00:00,-1,0.17885986,-1
2019-07-23 02:00:00,1,0.94411945,1
2019-07-23 04:00:00,-1,0.43513674,-1
2019-07-23 06:00:00,1,0.97870356,1
2019-07-23 08:00:00,-1,0.9295604,1
2019-07-23 10:00:00,1,0.99798703,1
2019-07-23 12:00:00,-1,0.98850816,1
2019-07-23 14:00:00,-1,0.29716548,-1
2019-07-23 16:00:00,-1,0.00048640842,-1
2019-07-23 18:00:00,1,0.8372191,1
2019-07-23 20:00:00,1,0.9065299,1
2019-07-23 22:00:00,-1,0.1454737,-1
2019-07-24 00:00:00,-1,0.09936329,-1
2019-07-24 02:00:00,-1,0.0011341452,-1
2019-07-24 04:00:00,-1,0.27162358,-1
2019-07-24 06:00:00,-1,0.2541361,-1
2019-07-24 08:00:00,-1,0.083509974,-1
2019-07-24 10:00:00,-1,0.0042111925,-1
2019-07-24 12:00:00,1,0.9750226,1
2019-07-24 14:00:00,-1,0.15207402,-1
2019-07-24 16:00:00,1,0.82467,1
2019-07-24 18:00:00,1,0.9758665,1
2019-07-24 20:00:00,1,0.98506284,1
2019-07-24 22:00:00,1,0.98326635,1
2019-07-25 00:00:00,-1,0.8102842,1
2019-07-25 02:00:00,1,0.9849318,1
2019-07-25 04:00:00,1,0.98358995,1
2019-07-25 06:00:00,-1,0.005257951,-1
2019-07-25 08:00:00,1,0.17345564,-1
2019-07-25 10:00:00,-1,0.005193727,-1
2019-07-25 12:00:00,1,0.73381066,1
2019-07-25 14:00:00,1,0.996847,1
2019-07-25 16:00:00,1,0.9960498,1
2019-07-25 18:00:00,-1,0.030653685,-1
2019-07-25 20:00:00,1,0.76962954,1
2019-07-25 22:00:00,1,0.83989805,1
2019-07-26 00:00:00,-1,0.26644152,-1
2019-07-26 02:00:00,1,0.87461746,1
2019-07-26 04:00:00,-1,0.0037234717,-1
2019-07-26 06:00:00,1,0.31435412,-1
2019-07-26 08:00:00,-1,0.015550194,-1
2019-07-26 10:00:00,-1,0.0062971697,-1
2019-07-26 12:00:00,-1,0.04752039,-1
2019-07-26 14:00:00,-1,0.022944909,-1
2019-07-26 16:00:00,-1,0.002554285,-1
2019-07-26 18:00:00,-1,0.046865113,-1
2019-07-26 20:00:00,1,0.013606511,-1
2019-07-26 22:00:00,-1,0.007559237,-1
2019-07-29 00:00:00,1,0.48240793,1
2019-07-29 02:00:00,-1,0.0057890634,-1
2019-07-29 04:00:00,1,0.62125283,1
