time,Actual Movement,Predictions,Predicted
2019-08-21,-1,0.2699524,-1
2019-08-22,-1,0.6983631,-1
2019-08-23,1,0.998946,1
2019-08-26,-1,0.13012399,-1
2019-08-27,-1,0.8787144,1
2019-08-28,-1,0.74180883,-1
2019-08-29,-1,0.49374098,-1
2019-08-30,-1,0.025388232,-1
2019-09-02,-1,0.28383788,-1
2019-09-03,1,0.52181137,-1
2019-09-04,1,0.9955851,1
2019-09-05,1,0.8391085,-1
2019-09-06,-1,0.6634316,-1
2019-09-09,1,0.97845876,1
2019-09-10,-1,0.88361996,1
2019-09-11,-1,0.12228755,-1
2019-09-12,1,0.99610007,1
2019-09-13,1,0.9693916,1
2019-09-16,-1,0.01201427,-1
2019-09-17,1,0.99518174,1
2019-09-18,-1,0.034741342,-1
2019-09-19,1,0.8921498,1
2019-09-20,-1,0.15800118,-1
2019-09-23,-1,0.10572386,-1
2019-09-24,1,0.9599268,1
2019-09-25,-1,0.011615889,-1
2019-09-26,-1,0.3894395,-1
2019-09-27,1,0.9674501,1
2019-09-30,-1,0.1671735,-1
2019-10-01,1,0.9907753,1
2019-10-02,1,0.98615056,1
2019-10-03,1,0.9682013,1
2019-10-04,1,0.97986734,1
2019-10-07,-1,0.9158723,1
2019-10-08,-1,0.66397405,-1
2019-10-09,1,0.9676897,1
2019-10-10,1,0.9936109,1
2019-10-11,1,0.99173355,1
2019-10-14,-1,0.8654202,-1
2019-10-15,1,0.96604306,1
2019-10-16,1,0.99328,1
2019-10-17,1,0.9964116,1
2019-10-18,1,0.99569654,1
2019-10-21,-1,0.78202486,-1
2019-10-22,-1,0.6520381,-1
2019-10-23,1,0.948677,1
2019-10-24,-1,0.18170743,-1
2019-10-25,-1,0.12549636,-1
2019-10-28,1,0.94308394,1
2019-10-29,1,0.9190011,1
2019-10-30,1,0.9913469,1
2019-10-31,-1,0.91244966,1
2019-11-01,1,0.9740579,1
2019-11-04,-1,0.061813585,-1
2019-11-05,-1,0.01486552,-1
2019-11-06,-1,0.53624487,-1
2019-11-07,-1,0.42293656,-1
2019-11-08,-1,0.24397409,-1
2019-11-11,1,0.95418113,1
2019-11-12,-1,0.36529756,-1
2019-11-13,-1,0.75885034,-1
2019-11-14,1,0.9567977,1
2019-11-15,1,0.99552506,1
2019-11-18,1,0.9942947,1
2019-11-19,1,0.9887834,1
2019-11-20,-1,0.9712502,1
2019-11-21,-1,0.8761374,1
2019-11-22,-1,0.08103461,-1
2019-11-25,-1,0.50342035,-1
2019-11-26,1,0.93116546,1
2019-11-27,-1,0.25157502,-1
2019-11-28,1,0.94974977,1
2019-11-29,1,0.97769976,1
2019-12-02,1,0.9989592,1
2019-12-03,1,0.97610986,1
2019-12-04,-1,0.9448384,1
2019-12-05,1,0.991281,1
2019-12-06,-1,0.04290923,-1
2019-12-09,1,0.8628429,-1
2019-12-10,1,0.9815579,1
2019-12-11,1,0.9877429,1
2019-12-12,1,0.9556118,1
2019-12-13,-1,0.6269714,-1
2019-12-16,1,0.98694813,1
2019-12-17,1,0.9790902,1
2019-12-18,-1,0.16377433,-1
2019-12-19,1,0.8853128,1
2019-12-20,-1,0.0356565,-1
2019-12-23,1,0.9445631,1
2019-12-24,-1,0.7966214,-1
2019-12-26,1,0.9725672,1
2019-12-27,1,0.9995745,1
2019-12-30,1,0.99318075,1
2019-12-31,1,0.99189645,1
2020-01-02,-1,0.15900794,-1
2020-01-03,-1,0.67089415,-1
2020-01-06,1,0.9910288,1
2020-01-07,-1,0.04807993,-1
2020-01-08,-1,0.08792587,-1
2020-01-09,1,0.80984914,-1
2020-01-10,1,0.9608103,1
2020-01-13,1,0.9735835,1
2020-01-14,-1,0.87371284,1
2020-01-15,1,0.99048924,1
2020-01-16,-1,0.8609323,-1
2020-01-17,-1,0.15979595,-1
2020-01-20,1,0.96024126,1
2020-01-21,-1,0.72168684,-1
2020-01-22,1,0.98102665,1
2020-01-23,-1,0.33463192,-1
2020-01-24,-1,0.28825685,-1
2020-01-27,-1,0.5876367,-1
2020-01-28,1,0.7143239,-1
2020-01-29,-1,0.34965402,-1
2020-01-30,1,0.98091596,1
2020-01-31,1,0.9992092,1
2020-02-03,-1,0.6020898,-1
2020-02-04,-1,0.8549553,-1
2020-02-05,-1,0.16355237,-1
2020-02-06,-1,0.60553557,-1
2020-02-07,-1,0.21904328,-1
2020-02-10,-1,0.26312467,-1
2020-02-11,1,0.8315416,-1
2020-02-12,-1,0.061606348,-1
2020-02-13,-1,0.15912221,-1
2020-02-14,-1,0.3426462,-1
2020-02-17,1,0.5927376,-1
2020-02-18,-1,0.04522861,-1
2020-02-19,1,0.90419114,1
2020-02-20,-1,0.17728007,-1
2020-02-21,1,0.99875784,1
2020-02-24,1,0.9760025,1
2020-02-25,1,0.9962102,1
2020-02-26,-1,0.97460383,1
2020-02-27,1,0.9999031,1
2020-02-28,1,0.99030334,1
2020-03-02,1,0.99955505,1
2020-03-03,1,0.9939646,1
2020-03-04,-1,0.77591753,-1
2020-03-05,1,0.9996507,1
2020-03-06,1,0.9916352,1
2020-03-09,1,0.9998258,1
2020-03-10,-1,0.0003032864,-1
2020-03-11,-1,0.95336074,1
2020-03-12,-1,0.0039074915,-1
2020-03-13,-1,0.015866606,-1
