,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-21,1,0.9852539,1,106.612,
1,2019-08-22,-1,0.0873124,-1,106.419,106.612
2,2019-08-23,-1,0.0015912957,-1,105.385,106.419
3,2019-08-26,1,0.9925708,1,106.076,105.385
4,2019-08-27,-1,0.014358529,-1,105.751,106.076
5,2019-08-28,1,0.8855514,1,106.044,105.751
6,2019-08-29,1,0.94470394,1,106.515,106.044
7,2019-08-30,-1,0.01887673,-1,106.257,106.515
8,2019-09-02,-1,0.16554414,-1,106.193,106.257
9,2019-09-03,-1,0.013101509,-1,105.909,106.193
10,2019-09-04,1,0.95884115,1,106.424,105.909
11,2019-09-05,1,0.9517938,1,106.945,106.424
12,2019-09-06,-1,0.16969863,-1,106.912,106.945
13,2019-09-09,1,0.94554496,1,107.237,106.912
14,2019-09-10,1,0.9311587,1,107.536,107.237
15,2019-09-11,1,0.950793,1,107.842,107.536
16,2019-09-12,1,0.9517915,1,108.084,107.842
17,2019-09-13,1,0.89940596,1,108.104,108.084
18,2019-09-16,1,0.94601965,1,108.152,108.104
19,2019-09-17,-1,0.8679902,1,108.106,108.152
20,2019-09-18,1,0.9856575,1,108.455,108.106
21,2019-09-19,-1,0.010765726,-1,108.042,108.455
22,2019-09-20,-1,0.0055634184,-1,107.541,108.042
23,2019-09-23,-1,0.0596227,-1,107.522,107.541
24,2019-09-24,-1,0.0051273275,-1,107.101,107.522
25,2019-09-25,1,0.9853367,1,107.759,107.101
26,2019-09-26,1,0.4602945,-1,107.838,107.759
27,2019-09-27,1,0.7918391,1,107.936,107.838
28,2019-09-30,1,0.8922613,1,108.08,107.936
29,2019-10-01,-1,0.020726858,-1,107.732,108.08
30,2019-10-02,-1,0.008869519,-1,107.171,107.732
31,2019-10-03,-1,0.032749288,-1,106.899,107.171
32,2019-10-04,1,0.18585983,-1,106.907,106.899
33,2019-10-07,1,0.94516057,1,107.251,106.907
34,2019-10-08,-1,0.058817327,-1,107.066,107.251
35,2019-10-09,1,0.9843717,1,107.513,107.066
36,2019-10-10,1,0.9800889,1,107.924,107.513
37,2019-10-11,1,0.9845887,1,108.406,107.924
38,2019-10-14,-1,0.751,1,108.398,108.406
39,2019-10-15,1,0.9857853,1,108.847,108.398
40,2019-10-16,-1,0.4582966,-1,108.759,108.847
41,2019-10-17,-1,0.36284307,-1,108.634,108.759
42,2019-10-18,-1,0.0426572,-1,108.413,108.634
43,2019-10-21,1,0.8436326,1,108.595,108.413
44,2019-10-22,-1,0.06336026,-1,108.478,108.595
45,2019-10-23,1,0.85508883,1,108.689,108.478
46,2019-10-24,-1,0.15844148,-1,108.634,108.689
47,2019-10-25,1,0.5185469,-1,108.673,108.634
48,2019-10-28,1,0.9483436,1,108.956,108.673
49,2019-10-29,-1,0.25800732,-1,108.88,108.956
50,2019-10-30,-1,0.59176004,1,108.859,108.88
51,2019-10-31,-1,0.0012435035,-1,108.019,108.859
52,2019-11-01,1,0.84361625,1,108.169,108.019
