time,Actual Movement,Predictions,Predicted
2019-08-21,1,0.98817664,1
2019-08-22,-1,0.123265766,-1
2019-08-23,-1,0.0018225263,-1
2019-08-26,1,0.99282986,1
2019-08-27,-1,0.016535752,-1
2019-08-28,1,0.9397541,1
2019-08-29,1,0.96506506,1
2019-08-30,-1,0.022580748,-1
2019-09-02,-1,0.2353603,-1
2019-09-03,-1,0.014829489,-1
2019-09-04,1,0.97602296,1
2019-09-05,1,0.96891415,1
2019-09-06,-1,0.29041988,-1
2019-09-09,1,0.9676913,1
2019-09-10,1,0.95980626,1
2019-09-11,1,0.9678322,1
2019-09-12,1,0.9637561,1
2019-09-13,1,0.9314708,1
2019-09-16,1,0.9582716,1
2019-09-17,-1,0.9112751,1
2019-09-18,1,0.98799884,1
2019-09-19,-1,0.0083095245,-1
2019-09-20,-1,0.0032608807,-1
2019-09-23,-1,0.05918904,-1
2019-09-24,-1,0.003519734,-1
2019-09-25,1,0.9892831,1
2019-09-26,1,0.6487916,-1
2019-09-27,1,0.87954843,1
2019-09-30,1,0.930241,1
2019-10-01,-1,0.018905528,-1
2019-10-02,-1,0.0064871144,-1
2019-10-03,-1,0.036765117,-1
2019-10-04,1,0.32762635,-1
2019-10-07,1,0.9633843,1
2019-10-08,-1,0.084219895,-1
2019-10-09,1,0.9881691,1
2019-10-10,1,0.98223305,1
2019-10-11,1,0.98668265,1
2019-10-14,-1,0.85528934,1
2019-10-15,1,0.9883017,1
2019-10-16,-1,0.5875496,-1
2019-10-17,-1,0.42473978,-1
2019-10-18,-1,0.040767774,-1
2019-10-21,1,0.9027786,1
2019-10-22,-1,0.06786105,-1
2019-10-23,1,0.91920847,1
2019-10-24,-1,0.20975128,-1
2019-10-25,1,0.6495038,-1
2019-10-28,1,0.9665306,1
2019-10-29,-1,0.3305546,-1
2019-10-30,-1,0.69203633,-1
2019-10-31,-1,0.00084951386,-1
2019-11-01,1,0.8776991,1
2019-11-04,1,0.9817908,1
2019-11-05,1,0.9915222,1
2019-11-06,-1,0.12550052,-1
2019-11-07,1,0.9566589,1
2019-11-08,-1,0.54430276,-1
2019-11-11,-1,0.070160866,-1
2019-11-12,-1,0.39994273,-1
2019-11-13,-1,0.02189044,-1
2019-11-14,-1,0.006399693,-1
2019-11-15,1,0.9630725,1
2019-11-18,-1,0.10307412,-1
2019-11-19,-1,0.087138146,-1
2019-11-20,1,0.70086896,-1
2019-11-21,-1,0.4804485,-1
2019-11-22,1,0.7315655,-1
2019-11-25,1,0.98681843,1
2019-11-26,1,0.97502536,1
2019-11-27,1,0.9953492,1
2019-11-28,-1,0.917287,1
2019-11-29,-1,0.8147264,1
2019-12-02,-1,0.0051752306,-1
2019-12-03,-1,0.012306042,-1
2019-12-04,1,0.93662536,1
2019-12-05,-1,0.15048851,-1
2019-12-06,-1,0.090034634,-1
2019-12-09,-1,0.44539553,-1
2019-12-10,1,0.95238924,1
2019-12-11,-1,0.21673852,-1
2019-12-12,1,0.9986308,1
2019-12-13,1,0.9324565,1
2019-12-16,1,0.97575676,1
2019-12-17,-1,0.77140546,1
2019-12-18,1,0.9353348,1
2019-12-19,-1,0.056517757,-1
2019-12-20,1,0.82825613,1
2019-12-23,-1,0.16597866,-1
2019-12-24,-1,0.2737639,-1
2019-12-26,1,0.96743137,1
2019-12-27,-1,0.027791448,-1
2019-12-30,-1,0.0016192534,-1
2019-12-31,-1,0.018708518,-1
2020-01-02,-1,0.0476444,-1
2020-01-03,-1,0.0080158375,-1
2020-01-06,1,0.92295235,1
2020-01-07,1,0.66858196,-1
2020-01-08,1,0.9941607,1
2020-01-09,1,0.97490555,1
2020-01-10,-1,0.74977535,-1
2020-01-13,1,0.9857399,1
2020-01-14,1,0.9109572,1
2020-01-15,-1,0.7339626,-1
2020-01-16,1,0.9756791,1
2020-01-17,-1,0.8971567,1
2020-01-20,1,0.92818683,1
2020-01-21,-1,0.011371065,-1
2020-01-22,-1,0.13711515,-1
2020-01-23,-1,0.0026087465,-1
2020-01-24,-1,0.005685246,-1
2020-01-27,-1,0.00183557,-1
2020-01-28,1,0.7785271,1
2020-01-29,-1,0.05289086,-1
2020-01-30,-1,0.16409096,-1
2020-01-31,-1,0.0069297366,-1
2020-02-03,1,0.97388655,1
2020-02-04,1,0.99806446,1
2020-02-05,1,0.9692011,1
2020-02-06,1,0.94628936,1
2020-02-07,-1,0.19148834,-1
2020-02-10,-1,0.72153425,-1
2020-02-11,1,0.6972671,-1
2020-02-12,1,0.96812224,1
2020-02-13,-1,0.015748585,-1
2020-02-14,-1,0.16265674,-1
2020-02-17,1,0.6502478,-1
2020-02-18,-1,0.2862007,-1
2020-02-19,1,0.99981064,1
2020-02-20,1,0.98853034,1
2020-02-21,-1,0.015388683,-1
2020-02-24,-1,0.004713101,-1
2020-02-25,-1,0.027425941,-1
2020-02-26,1,0.93709254,1
2020-02-27,-1,0.009245793,-1
2020-02-28,-1,0.0015573708,-1
2020-03-02,1,0.97309506,1
2020-03-03,-1,0.0020580345,-1
2020-03-04,1,0.98717296,1
2020-03-05,-1,0.0018446846,-1
2020-03-06,-1,0.02710701,-1
2020-03-09,-1,3.3249184e-05,-1
2020-03-10,1,1.0,1
2020-03-11,-1,0.0008741969,-1
2020-03-12,1,0.9773933,1
2020-03-13,1,0.99999964,1
2020-03-16,-1,5.3730182e-05,-1
2020-03-17,1,0.999938,1
2020-03-18,1,0.50508976,-1
2020-03-19,1,0.9999436,1
2020-03-20,1,0.037767652,-1
2020-03-23,1,0.9179771,1
2020-03-24,-1,0.2780044,-1
2020-03-25,-1,0.41764984,-1
2020-03-26,-1,0.00030948754,-1
2020-03-27,-1,0.000451906,-1
2020-03-30,-1,0.3133725,-1
2020-03-31,-1,0.006712677,-1
2020-04-01,-1,0.014819203,-1
2020-04-02,1,0.98475885,1
2020-04-03,1,0.9731746,1
2020-04-06,1,0.9917462,1
2020-04-07,-1,0.04034996,-1
2020-04-08,1,0.9494028,1
2020-04-09,-1,0.13065076,-1
2020-04-10,-1,0.75654083,-1
2020-04-13,-1,0.015746545,-1
2020-04-14,-1,0.030422604,-1
2020-04-15,1,0.954275,1
2020-04-16,1,0.97892475,1
2020-04-17,-1,0.065370694,-1
2020-04-20,1,0.91665,1
2020-04-21,1,0.9299239,1
2020-04-22,-1,0.7552382,-1
2020-04-23,-1,0.5552406,-1
2020-04-24,-1,0.30163184,-1
2020-04-27,-1,0.07089444,-1
2020-04-28,-1,0.019999586,-1
2020-04-29,-1,0.0332319,-1
2020-04-30,1,0.9934083,1
2020-05-01,-1,0.07414484,-1
2020-05-04,-1,0.18761139,-1
2020-05-05,-1,0.14980897,-1
2020-05-06,-1,0.02294554,-1
2020-05-07,1,0.9434366,1
2020-05-08,1,0.9880306,1
2020-05-11,1,0.99910456,1
2020-05-12,-1,0.022675829,-1
2020-05-13,-1,0.67236215,-1
2020-05-14,1,0.9486656,1
2020-05-15,-1,0.44639266,-1
2020-05-18,1,0.9168198,1
2020-05-19,1,0.98258936,1
2020-05-20,-1,0.20452717,-1
2020-05-21,1,0.8971994,1
2020-05-22,1,0.84184533,1
2020-05-25,1,0.94097894,1
2020-05-26,-1,0.08489704,-1
2020-05-27,1,0.93660563,1
2020-05-28,-1,0.17051312,-1
2020-05-29,1,0.94548887,1
2020-06-01,-1,0.037618287,-1
2020-06-02,1,0.99942005,1
2020-06-03,1,0.94741356,1
2020-06-04,1,0.973543,1
2020-06-05,1,0.9892001,1
2020-06-08,-1,0.00082539907,-1
2020-06-09,-1,0.009930613,-1
2020-06-10,-1,0.017431242,-1
2020-06-11,-1,0.13931239,-1
2020-06-12,1,0.9853022,1
2020-06-15,1,0.60279286,-1
2020-06-16,-1,0.6149897,-1
2020-06-17,-1,0.092086226,-1
2020-06-18,-1,0.6584434,-1
2020-06-19,-1,0.30537552,-1
2020-06-22,-1,0.5697321,-1
2020-06-23,-1,0.024609294,-1
2020-06-24,1,0.99551505,1
2020-06-25,1,0.9489002,1
2020-06-26,1,0.9508504,1
2020-06-29,1,0.99082,1
2020-06-30,1,0.98427135,1
2020-07-01,-1,0.009296548,-1
2020-07-02,1,0.75912195,1
2020-07-03,-1,0.52774364,-1
2020-07-06,-1,0.13883433,-1
2020-07-07,1,0.9012328,1
2020-07-08,-1,0.015217271,-1
2020-07-09,-1,0.093396544,-1
2020-07-10,-1,0.008621436,-1
2020-07-13,1,0.97229195,1
2020-07-14,-1,0.4347144,-1
2020-07-15,-1,0.039555904,-1
2020-07-16,1,0.9847408,1
2020-07-17,-1,0.1325119,-1
2020-07-20,1,0.98006266,1
2020-07-21,-1,0.024639826,-1
2020-07-22,1,0.98703253,1
2020-07-23,-1,0.11185356,-1
2020-07-24,-1,0.00707984,-1
2020-07-27,-1,0.008536308,-1
2020-07-28,-1,0.062801026,-1
2020-07-29,-1,0.07665783,-1
2020-07-30,-1,0.04032496,-1
2020-07-31,1,0.99963903,1
2020-08-03,1,0.5579614,-1
2020-08-04,-1,0.21497028,-1
2020-08-05,-1,0.35778347,-1
2020-08-06,-1,0.4392117,-1
2020-08-07,1,0.98290884,1
2020-08-10,1,0.8752072,1
2020-08-11,1,0.99459743,1
2020-08-12,1,0.9827962,1
2020-08-13,1,0.93079823,1
2020-08-14,-1,0.024631146,-1
2020-08-17,-1,0.0032042009,-1
2020-08-18,-1,0.002511295,-1
2020-08-19,1,0.99125165,1
2020-08-20,-1,0.014237088,-1
2020-08-21,1,0.75744706,-1
2020-08-24,1,0.93456864,1
2020-08-25,1,0.98341006,1
2020-08-26,-1,0.02216681,-1
2020-08-27,1,0.9931583,1
2020-08-28,-1,0.0009932872,-1
2020-08-31,1,0.99468493,1
2020-09-01,1,0.7773198,1
2020-09-02,1,0.95734125,1
2020-09-03,-1,0.7179692,-1
2020-09-04,1,0.8760208,1
2020-09-07,1,0.8572419,1
2020-09-08,-1,0.04687634,-1
2020-09-09,1,0.9302841,1
2020-09-10,-1,0.48348233,-1
2020-09-11,1,0.7178965,-1
2020-09-14,-1,0.0082804775,-1
2020-09-15,-1,0.02096888,-1
2020-09-16,-1,0.007555611,-1
2020-09-17,-1,0.027689675,-1
2020-09-18,-1,0.025887564,-1
2020-09-21,1,0.3323926,-1
2020-09-22,1,0.9345059,1
2020-09-23,1,0.9830157,1
2020-09-24,1,0.9058038,1
2020-09-25,1,0.9599628,1
2020-09-28,-1,0.80330604,1
2020-09-29,1,0.97036755,1
2020-09-30,-1,0.045565315,-1
2020-10-01,1,0.9098594,1
2020-10-02,-1,0.018897485,-1
2020-10-05,1,0.97333026,1
2020-10-06,-1,0.056018002,-1
2020-10-07,1,0.9656075,1
2020-10-08,1,0.7847808,1
2020-10-09,-1,0.005079157,-1
2020-10-12,-1,0.011093112,-1
2020-10-13,1,0.80556965,1
2020-10-14,-1,0.020113923,-1
2020-10-15,1,0.96514964,1
2020-10-16,-1,0.6951086,-1
2020-10-19,1,0.8102715,1
2020-10-20,1,0.9124465,1
2020-10-21,-1,0.001162209,-1
2020-10-22,1,0.97026294,1
2020-10-23,-1,0.0743586,-1
