,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-21,-1,0.18500592,-1,1.10834,
1,2019-08-22,-1,0.669852,-1,1.10805,1.10834
2,2019-08-23,1,0.9989492,1,1.11449,1.10805
3,2019-08-26,-1,0.038866088,-1,1.1099,1.11449
4,2019-08-27,-1,0.83023095,1,1.10891,1.1099
5,2019-08-28,-1,0.6321852,-1,1.10767,1.10891
6,2019-08-29,-1,0.30346718,-1,1.10566,1.10767
7,2019-08-30,-1,0.016363675,-1,1.09935,1.10566
8,2019-09-02,-1,0.16802591,-1,1.09688,1.09935
9,2019-09-03,1,0.41636524,-1,1.09746,1.09688
10,2019-09-04,1,0.99635977,1,1.10338,1.09746
11,2019-09-05,1,0.78084505,-1,1.10343,1.10338
12,2019-09-06,-1,0.56606156,-1,1.10244,1.10343
13,2019-09-09,1,0.9781688,1,1.10455,1.10244
14,2019-09-10,-1,0.8657151,1,1.1042,1.10455
15,2019-09-11,-1,0.09029106,-1,1.10097,1.1042
16,2019-09-12,1,0.99654657,1,1.10634,1.10097
17,2019-09-13,1,0.9628466,1,1.10758,1.10634
18,2019-09-16,-1,0.012198987,-1,1.10022,1.10758
19,2019-09-17,1,0.99666995,1,1.10704,1.10022
20,2019-09-18,-1,0.038287483,-1,1.10278,1.10704
21,2019-09-19,1,0.90604025,1,1.10402,1.10278
22,2019-09-20,-1,0.14539571,-1,1.10192,1.10402
23,2019-09-23,-1,0.094519794,-1,1.09931,1.10192
24,2019-09-24,1,0.96274555,1,1.1018,1.09931
25,2019-09-25,-1,0.011481211,-1,1.09425,1.1018
26,2019-09-26,-1,0.30275425,-1,1.09199,1.09425
27,2019-09-27,1,0.96847177,1,1.09405,1.09199
28,2019-09-30,-1,0.07463135,-1,1.0899,1.09405
29,2019-10-01,1,0.99235463,1,1.09333,1.0899
30,2019-10-02,1,0.98572147,1,1.09579,1.09333
31,2019-10-03,1,0.96336114,1,1.09639,1.09579
32,2019-10-04,1,0.9787114,1,1.09763,1.09639
33,2019-10-07,-1,0.9100444,1,1.09699,1.09763
34,2019-10-08,-1,0.62902534,-1,1.09559,1.09699
35,2019-10-09,1,0.9676202,1,1.09677,1.09559
36,2019-10-10,1,0.9936021,1,1.10047,1.09677
37,2019-10-11,1,0.9911602,1,1.10352,1.10047
38,2019-10-14,-1,0.87405896,1,1.10254,1.10352
39,2019-10-15,1,0.9621997,1,1.10333,1.10254
40,2019-10-16,1,0.99333644,1,1.10729,1.10333
41,2019-10-17,1,0.99657506,1,1.11253,1.10729
42,2019-10-18,1,0.9958905,1,1.11699,1.11253
43,2019-10-21,-1,0.79562736,-1,1.11486,1.11699
44,2019-10-22,-1,0.6670006,-1,1.11254,1.11486
45,2019-10-23,1,0.95487505,1,1.11301,1.11254
46,2019-10-24,-1,0.22582667,-1,1.11037,1.11301
47,2019-10-25,-1,0.19473097,-1,1.10793,1.11037
48,2019-10-28,1,0.95755947,1,1.11003,1.10793
49,2019-10-29,1,0.94212514,1,1.11117,1.11003
50,2019-10-30,1,0.99263555,1,1.11529,1.11117
51,2019-10-31,-1,0.9242962,1,1.11515,1.11529
52,2019-11-01,1,0.9771254,1,1.11648,1.11515
53,2019-11-04,-1,0.09933862,-1,1.11303,1.11648
54,2019-11-05,-1,0.02159121,-1,1.10735,1.11303
55,2019-11-06,-1,0.6295937,-1,1.10662,1.10735
56,2019-11-07,-1,0.42317626,-1,1.10504,1.10662
57,2019-11-08,-1,0.16582127,-1,1.10188,1.10504
58,2019-11-11,1,0.9695496,1,1.10328,1.10188
59,2019-11-12,-1,0.300249,-1,1.10073,1.10328
60,2019-11-13,-1,0.84407127,1,1.10063,1.10073
61,2019-11-14,1,0.966885,1,1.10193,1.10063
62,2019-11-15,1,0.9959097,1,1.10519,1.10193
63,2019-11-18,1,0.9941606,1,1.10722,1.10519
64,2019-11-19,1,0.98768973,1,1.10769,1.10722
65,2019-11-20,-1,0.96667284,1,1.10713,1.10769
66,2019-11-21,-1,0.88743925,1,1.10587,1.10713
67,2019-11-22,-1,0.070905596,-1,1.1019,1.10587
68,2019-11-25,-1,0.58568937,-1,1.1011,1.1019
69,2019-11-26,1,0.9486731,1,1.10229,1.1011
70,2019-11-27,-1,0.20481156,-1,1.09983,1.10229
71,2019-11-28,1,0.95966274,1,1.10081,1.09983
72,2019-11-29,1,0.9789113,1,1.10208,1.10081
73,2019-12-02,1,0.99916494,1,1.10787,1.10208
74,2019-12-03,1,0.9742086,1,1.10802,1.10787
75,2019-12-04,-1,0.9463424,1,1.10759,1.10802
76,2019-12-05,1,0.9920046,1,1.11039,1.10759
77,2019-12-06,-1,0.059988353,-1,1.10595,1.11039
78,2019-12-09,1,0.9015588,1,1.10646,1.10595
79,2019-12-10,1,0.9844044,1,1.10956,1.10646
80,2019-12-11,1,0.9893114,1,1.11287,1.10956
81,2019-12-12,1,0.9563595,1,1.11331,1.11287
82,2019-12-13,-1,0.61557955,-1,1.11173,1.11331
83,2019-12-16,1,0.9879004,1,1.11415,1.11173
84,2019-12-17,1,0.9772629,1,1.11491,1.11415
85,2019-12-18,-1,0.18311188,-1,1.11149,1.11491
86,2019-12-19,1,0.9154848,1,1.11181,1.11149
87,2019-12-20,-1,0.04838731,-1,1.10751,1.11181
88,2019-12-23,1,0.95514864,1,1.10894,1.10751
89,2019-12-24,-1,0.87811875,1,1.10851,1.10894
90,2019-12-26,1,0.97768825,1,1.1096,1.10851
91,2019-12-27,1,0.9996902,1,1.1176,1.1096
92,2019-12-30,1,0.9929612,1,1.11995,1.1176
93,2019-12-31,1,0.9921639,1,1.12171,1.11995
94,2020-01-02,-1,0.15565984,-1,1.11715,1.12171
95,2020-01-03,-1,0.71052474,-1,1.11559,1.11715
96,2020-01-06,1,0.99273324,1,1.11977,1.11559
97,2020-01-07,-1,0.056366127,-1,1.11471,1.11977
98,2020-01-08,-1,0.07893856,-1,1.11049,1.11471
99,2020-01-09,1,0.876596,1,1.11056,1.11049
100,2020-01-10,1,0.9677856,1,1.11213,1.11056
101,2020-01-13,1,0.97752017,1,1.11345,1.11213
102,2020-01-14,-1,0.91651744,1,1.11265,1.11345
103,2020-01-15,1,0.991836,1,1.11499,1.11265
104,2020-01-16,-1,0.89446425,1,1.11358,1.11499
105,2020-01-17,-1,0.11133992,-1,1.10895,1.11358
106,2020-01-20,1,0.96742857,1,1.10968,1.10895
107,2020-01-21,-1,0.7828055,-1,1.10812,1.10968
108,2020-01-22,1,0.9835985,1,1.10945,1.10812
109,2020-01-23,-1,0.22132981,-1,1.10587,1.10945
110,2020-01-24,-1,0.20465896,-1,1.1026,1.10587
111,2020-01-27,-1,0.6564765,-1,1.10192,1.1026
112,2020-01-28,1,0.81616974,1,1.10221,1.10192
113,2020-01-29,-1,0.35588485,-1,1.10084,1.10221
114,2020-01-30,1,0.98435366,1,1.10316,1.10084
115,2020-01-31,1,0.9993523,1,1.10948,1.10316
116,2020-02-03,-1,0.5248414,-1,1.10607,1.10948
117,2020-02-04,-1,0.8748225,1,1.10447,1.10607
118,2020-02-05,-1,0.09876136,-1,1.0999,1.10447
119,2020-02-06,-1,0.62564915,-1,1.09807,1.0999
120,2020-02-07,-1,0.115497485,-1,1.09429,1.09807
121,2020-02-10,-1,0.16733408,-1,1.09106,1.09429
122,2020-02-11,1,0.8993099,1,1.0917,1.09106
123,2020-02-12,-1,0.038355492,-1,1.08716,1.0917
