,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-09-05,1,0.9275195,1,72.881,
1,2019-09-06,1,0.874882,1,73.217,72.881
2,2019-09-09,1,0.93835014,1,73.601,73.217
3,2019-09-10,1,0.9081476,1,73.777,73.601
4,2019-09-11,1,0.9460141,1,74.008,73.777
5,2019-09-12,1,0.9517655,1,74.199,74.008
6,2019-09-13,1,0.96138984,1,74.396,74.199
7,2019-09-16,-1,0.71060073,1,74.239,74.396
8,2019-09-17,-1,0.81545204,1,74.215,74.239
9,2019-09-18,-1,0.10824036,-1,74.042,74.215
10,2019-09-19,-1,0.0035463653,-1,73.384,74.042
11,2019-09-20,-1,0.0030158698,-1,72.723,73.384
12,2019-09-23,1,0.033809803,-1,72.803,72.723
13,2019-09-24,-1,0.0277509,-1,72.798,72.803
14,2019-09-25,-1,0.039303232,-1,72.725,72.798
15,2019-09-26,1,0.17610787,-1,72.759,72.725
16,2019-09-27,1,0.95942307,1,73.027,72.759
17,2019-09-30,-1,0.6856386,1,72.942,73.027
18,2019-10-01,-1,0.011232231,-1,72.226,72.942
19,2019-10-02,-1,0.035174586,-1,71.86,72.226
20,2019-10-03,1,0.737624,1,72.055,71.86
21,2019-10-04,1,0.9360466,1,72.328,72.055
22,2019-10-07,-1,0.4570712,1,72.195,72.328
23,2019-10-08,-1,0.26038674,-1,72.026,72.195
24,2019-10-09,1,0.95856506,1,72.281,72.026
25,2019-10-10,1,0.9912565,1,72.968,72.281
26,2019-10-11,1,0.9846467,1,73.633,72.968
27,2019-10-14,-1,0.4622902,1,73.455,73.633
28,2019-10-15,1,0.90157664,1,73.559,73.455
29,2019-10-16,-1,0.74824154,1,73.516,73.559
30,2019-10-17,1,0.9751407,1,74.144,73.516
31,2019-10-18,1,0.911455,1,74.325,74.144
32,2019-10-21,1,0.9496204,1,74.578,74.325
33,2019-10-22,-1,0.3173446,-1,74.378,74.578
34,2019-10-23,1,0.8803599,1,74.491,74.378
35,2019-10-24,-1,0.022226319,-1,74.055,74.491
36,2019-10-25,1,0.17113705,-1,74.116,74.055
37,2019-10-28,1,0.8522698,1,74.507,74.116
38,2019-10-29,1,0.71584547,1,74.71,74.507
39,2019-10-30,1,0.9129031,1,75.106,74.71
40,2019-10-31,-1,0.008574546,-1,74.437,75.106
41,2019-11-01,1,0.7599565,1,74.77,74.437
42,2019-11-04,-1,0.20840113,-1,74.756,74.77
43,2019-11-05,1,0.9068286,1,75.226,74.756
44,2019-11-06,-1,0.076282755,-1,75.022,75.226
45,2019-11-07,1,0.8772282,1,75.361,75.022
46,2019-11-08,-1,0.03003811,-1,74.905,75.361
47,2019-11-11,-1,0.081786625,-1,74.698,74.905
48,2019-11-12,-1,0.10254748,-1,74.567,74.698
49,2019-11-13,-1,0.072026536,-1,74.378,74.567
50,2019-11-14,-1,0.008343504,-1,73.562,74.378
51,2019-11-15,1,0.9668265,1,74.194,73.562
