,time,action,position,entry_price,close_price,profit,balance
0,2019-09-05,open,long,72.881,,,9999.9
1,2019-09-18,close,neutral,,74.042,1161.0000000000014,11160.800000000001
2,2019-09-18,open,short,74.042,,,11160.7
3,2019-09-27,close,neutral,,73.027,1015.0000000000006,12175.600000000002
4,2019-09-27,open,long,73.027,,,12175.500000000002
5,2019-10-01,close,neutral,,72.226,-801.0000000000019,11374.4
6,2019-10-01,open,short,72.226,,,11374.3
7,2019-10-03,close,neutral,,72.055,170.99999999999227,11545.199999999992
8,2019-10-03,open,long,72.055,,,11545.099999999991
9,2019-10-08,close,neutral,,72.026,-29.000000000010573,11515.99999999998
10,2019-10-08,open,short,72.026,,,11515.89999999998
11,2019-10-09,close,neutral,,72.281,-255.00000000000966,11260.79999999997
12,2019-10-09,open,long,72.281,,,11260.69999999997
13,2019-10-22,close,neutral,,74.378,2096.999999999994,13357.599999999964
14,2019-10-22,open,short,74.378,,,13357.499999999964
15,2019-10-23,close,neutral,,74.491,-112.99999999999955,13244.399999999963
16,2019-10-23,open,long,74.491,,,13244.299999999963
17,2019-10-24,close,neutral,,74.055,-435.99999999999284,12808.19999999997
18,2019-10-24,open,short,74.055,,,12808.09999999997
19,2019-10-28,close,neutral,,74.507,-451.9999999999982,12355.99999999997
20,2019-10-28,open,long,74.507,,,12355.89999999997
21,2019-10-31,close,neutral,,74.437,-70.00000000000739,12285.799999999963
22,2019-10-31,open,short,74.437,,,12285.699999999963
23,2019-11-01,close,neutral,,74.77,-332.9999999999984,11952.599999999964
24,2019-11-01,open,long,74.77,,,11952.499999999964
25,2019-11-04,close,neutral,,74.756,-13.999999999995794,11938.399999999969
26,2019-11-04,open,short,74.756,,,11938.299999999968
27,2019-11-05,close,neutral,,75.226,-469.99999999999886,11468.19999999997
28,2019-11-05,open,long,75.226,,,11468.09999999997
29,2019-11-06,close,neutral,,75.022,-203.99999999999352,11263.999999999976
30,2019-11-06,open,short,75.022,,,11263.899999999976
31,2019-11-07,close,neutral,,75.361,-338.99999999999864,10924.799999999977
32,2019-11-07,open,long,75.361,,,10924.699999999977
33,2019-11-08,close,neutral,,74.905,-456.00000000000307,10468.599999999973
34,2019-11-08,open,short,74.905,,,10468.499999999973
35,2019-11-15,close,neutral,,74.194,710.9999999999985,11179.39999999997
36,2019-11-15,open,long,74.194,,,11179.29999999997
37,2019-11-18,close,neutral,,73.989,-204.9999999999983,10974.199999999972
38,2019-11-18,open,short,73.989,,,10974.099999999971
39,2019-11-19,close,neutral,,74.089,-99.99999999999432,10873.999999999976
40,2019-11-19,open,long,74.089,,,10873.899999999976
41,2019-11-20,close,neutral,,73.851,-237.99999999999955,10635.799999999976
42,2019-11-20,open,short,73.851,,,10635.699999999975
43,2019-11-25,close,neutral,,73.814,37.00000000000614,10672.599999999982
44,2019-11-25,open,long,73.814,,,10672.499999999982
45,2019-11-29,close,neutral,,73.965,151.00000000001046,10823.399999999992
46,2019-11-29,open,short,73.965,,,10823.299999999992
47,2019-12-02,close,neutral,,74.294,-328.9999999999935,10494.199999999999
48,2019-12-02,open,long,74.294,,,10494.099999999999
49,2019-12-05,close,neutral,,74.292,-1.9999999999953388,10492.000000000004
50,2019-12-05,open,short,74.292,,,10491.900000000003
51,2019-12-11,close,neutral,,74.648,-355.99999999999454,10135.800000000008
52,2019-12-11,open,long,74.648,,,10135.700000000008
53,2019-12-13,close,neutral,,75.17,522.0000000000056,10657.600000000013
54,2019-12-13,open,short,75.17,,,10657.500000000013
55,2019-12-16,close,neutral,,75.42,-250.0,10407.400000000012
56,2019-12-16,open,long,75.42,,,10407.300000000012
57,2019-12-17,close,neutral,,75.02,-400.0000000000057,10007.200000000006
58,2019-12-17,open,short,75.02,,,10007.100000000006
59,2019-12-18,close,neutral,,75.087,-67.00000000000728,9939.999999999998
60,2019-12-18,open,long,75.087,,,9939.899999999998
61,2019-12-30,close,neutral,,76.149,1061.9999999999977,11001.799999999996
62,2019-12-30,open,short,76.149,,,11001.699999999995
63,2019-12-31,close,neutral,,76.24,-90.99999999999397,10910.600000000002
64,2019-12-31,open,long,76.24,,,10910.500000000002
65,2020-01-02,close,neutral,,75.872,-367.999999999995,10542.400000000007
66,2020-01-02,open,short,75.872,,,10542.300000000007
67,2020-01-06,close,neutral,,75.231,641.0000000000053,11183.200000000012
68,2020-01-06,open,long,75.231,,,11183.100000000011
69,2020-01-07,close,neutral,,74.512,-718.9999999999941,10464.000000000016
70,2020-01-07,open,short,74.512,,,10463.900000000016
71,2020-01-08,close,neutral,,74.951,-438.99999999999295,10024.800000000023
72,2020-01-08,open,long,74.951,,,10024.700000000023
73,2020-01-17,close,neutral,,75.694,743.0000000000092,10767.600000000031
74,2020-01-17,open,short,75.694,,,10767.500000000031
75,2020-02-03,close,neutral,,72.735,2959.000000000003,13726.400000000034
76,2020-02-03,open,long,72.735,,,13726.300000000034
77,2020-02-07,close,neutral,,73.29,555.0000000000068,14281.20000000004
78,2020-02-07,open,short,73.29,,,14281.10000000004
79,2020-02-10,close,neutral,,73.375,-84.99999999999375,14196.000000000047
80,2020-02-10,open,long,73.375,,,14195.900000000047
81,2020-02-13,close,neutral,,73.793,418.00000000000637,14613.800000000054
82,2020-02-13,open,short,73.793,,,14613.700000000053
83,2020-02-19,close,neutral,,74.362,-568.9999999999884,14044.600000000066
84,2020-02-19,open,long,74.362,,,14044.500000000065
85,2020-02-20,close,neutral,,74.134,-227.99999999999443,13816.40000000007
86,2020-02-20,open,short,74.134,,,13816.30000000007
87,2020-03-02,close,neutral,,70.874,3260.000000000005,17076.200000000077
88,2020-03-02,open,long,70.874,,,17076.10000000008
89,2020-03-03,close,neutral,,70.504,-369.99999999999034,16706.000000000087
90,2020-03-03,open,short,70.504,,,16705.90000000009
91,2020-03-04,close,neutral,,71.257,-753.0000000000001,15952.800000000088
92,2020-03-04,open,long,71.257,,,15952.700000000088
93,2020-03-05,close,neutral,,70.241,-1016.0000000000053,14936.600000000082
94,2020-03-05,open,short,70.241,,,14936.500000000082
95,2020-03-06,close,neutral,,69.993,248.00000000000466,15184.400000000087
96,2020-03-06,open,long,69.993,,,15184.300000000087
97,2020-03-09,close,neutral,,67.447,-2545.9999999999923,12638.200000000095
98,2020-03-09,open,short,67.447,,,12638.100000000095
99,2020-03-10,close,neutral,,68.638,-1191.0000000000025,11447.000000000093
100,2020-03-10,open,long,68.638,,,11446.900000000092
101,2020-03-11,close,neutral,,67.734,-904.0000000000106,10542.800000000081
102,2020-03-11,open,short,67.734,,,10542.70000000008
103,2020-03-13,close,neutral,,66.725,1009.0000000000003,11551.60000000008
104,2020-03-13,open,long,66.725,,,11551.50000000008
105,2020-03-16,close,neutral,,64.84,-1884.999999999991,9666.400000000089
106,2020-03-16,open,short,64.84,,,9666.300000000088
107,2020-03-17,close,neutral,,64.578,262.00000000000045,9928.200000000088
108,2020-03-17,open,long,64.578,,,9928.100000000088
109,2020-03-18,close,neutral,,62.414,-2164.0000000000014,7764.000000000086
110,2020-03-18,open,short,62.414,,,7763.900000000086
111,2020-03-19,close,neutral,,63.528,-1113.9999999999973,6649.800000000088
112,2020-03-19,open,long,63.528,,,6649.700000000088
113,2020-03-25,close,neutral,,66.257,2729.0000000000064,9378.600000000095
114,2020-03-25,open,short,66.257,,,9378.500000000095
115,2020-03-26,close,neutral,,66.37,-112.99999999999955,9265.400000000094
116,2020-03-26,open,long,66.37,,,9265.300000000094
117,2020-03-31,close,neutral,,66.031,-338.99999999999864,8926.200000000095
118,2020-03-31,open,short,66.031,,,8926.100000000095
119,2020-04-06,close,neutral,,66.47,-438.99999999999295,8487.000000000102
120,2020-04-06,open,long,66.47,,,8486.900000000101
121,2020-04-15,close,neutral,,67.908,1438.0000000000023,9924.800000000105
122,2020-04-15,open,short,67.908,,,9924.700000000104
123,2020-04-16,close,neutral,,68.16,-251.99999999999534,9672.60000000011
124,2020-04-16,open,long,68.16,,,9672.50000000011
125,2020-04-17,close,neutral,,68.429,269.00000000000546,9941.400000000114
126,2020-04-17,open,short,68.429,,,9941.300000000114
127,2020-04-22,close,neutral,,68.098,331.00000000000307,10272.200000000117
128,2020-04-22,open,long,68.098,,,10272.100000000117
129,2020-04-30,close,neutral,,69.736,1638.0000000000052,11910.000000000122
130,2020-04-30,open,short,69.736,,,11909.900000000122
131,2020-05-07,close,neutral,,69.016,719.9999999999989,12629.800000000121
132,2020-05-07,open,long,69.016,,,12629.70000000012
133,2020-05-12,close,neutral,,69.324,307.9999999999927,12937.600000000113
134,2020-05-12,open,short,69.324,,,12937.500000000113
135,2020-05-14,close,neutral,,69.275,48.99999999999238,12986.400000000105
136,2020-05-14,open,long,69.275,,,12986.300000000105
137,2020-05-15,close,neutral,,68.758,-517.0000000000101,12469.200000000095
138,2020-05-15,open,short,68.758,,,12469.100000000095
139,2020-05-18,close,neutral,,69.999,-1240.9999999999995,11228.000000000095
140,2020-05-18,open,long,69.999,,,11227.900000000094
141,2020-05-21,close,neutral,,70.673,674.0000000000066,11901.800000000101
142,2020-05-21,open,short,70.673,,,11901.7000000001
143,2020-05-25,close,neutral,,70.512,161.00000000000136,12062.600000000102
144,2020-05-25,open,long,70.512,,,12062.500000000102
145,2020-05-27,close,neutral,,71.355,843.0000000000035,12905.400000000105
146,2020-05-27,open,short,71.355,,,12905.300000000105
147,2020-05-28,close,neutral,,71.436,-81.00000000000307,12824.200000000103
148,2020-05-28,open,long,71.436,,,12824.100000000102
149,2020-06-09,close,neutral,,75.022,3585.9999999999986,16410.000000000102
150,2020-06-09,open,short,75.022,,,16409.900000000103
151,2020-06-12,close,neutral,,73.753,1269.0000000000055,17678.80000000011
152,2020-06-12,open,long,73.753,,,17678.70000000011
153,2020-06-16,close,neutral,,73.913,159.9999999999966,17838.600000000108
154,2020-06-16,open,short,73.913,,,17838.50000000011
155,2020-06-22,close,neutral,,73.841,72.00000000000273,17910.40000000011
156,2020-06-22,open,long,73.841,,,17910.300000000112
157,2020-06-24,close,neutral,,73.54,-300.9999999999877,17609.200000000124
158,2020-06-24,open,short,73.54,,,17609.100000000126
159,2020-06-25,close,neutral,,73.811,-271.0000000000008,17338.000000000124
160,2020-06-25,open,long,73.811,,,17337.900000000125
161,2020-06-26,close,neutral,,73.563,-248.00000000000466,17089.80000000012
162,2020-06-26,open,short,73.563,,,17089.70000000012
163,2020-06-29,close,neutral,,73.886,-322.9999999999933,16766.600000000126
164,2020-06-29,open,long,73.886,,,16766.500000000127
165,2020-07-01,close,neutral,,74.305,419.00000000001114,17185.40000000014
166,2020-07-01,open,short,74.305,,,17185.30000000014
167,2020-07-02,close,neutral,,74.452,-146.99999999999136,17038.20000000015
168,2020-07-02,open,long,74.452,,,17038.10000000015
169,2020-07-07,close,neutral,,74.674,222.0000000000084,17260.00000000016
170,2020-07-07,open,short,74.674,,,17259.90000000016
