,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-21,-1,0.83715796,1,129.22,
1,2019-08-22,1,0.9974413,1,130.392,129.22
2,2019-08-23,-1,0.0068151667,-1,129.521,130.392
3,2019-08-26,1,0.35619482,-1,129.594,129.521
4,2019-08-27,1,0.7359495,1,129.923,129.594
5,2019-08-28,-1,0.018360423,-1,129.491,129.923
6,2019-08-29,1,0.526936,1,129.751,129.491
7,2019-08-30,-1,0.00992058,-1,129.244,129.751
8,2019-09-02,-1,0.0022442513,-1,128.091,129.244
9,2019-09-03,-1,0.043711547,-1,127.991,128.091
10,2019-09-04,1,0.999808,1,130.363,127.991
11,2019-09-05,1,0.990616,1,131.888,130.363
12,2019-09-06,-1,0.020013759,-1,131.353,131.888
13,2019-09-09,1,0.9817089,1,132.34,131.353
14,2019-09-10,1,0.79503536,1,132.853,132.34
15,2019-09-11,1,0.561006,1,132.947,132.853
16,2019-09-12,1,0.9065322,1,133.272,132.947
17,2019-09-13,1,0.9974957,1,135.173,133.272
18,2019-09-16,-1,0.010797868,-1,134.372,135.173
19,2019-09-17,1,0.96612227,1,135.104,134.372
20,2019-09-18,1,0.39744487,-1,135.196,135.104
21,2019-09-19,1,0.7113719,1,135.314,135.196
22,2019-09-20,-1,0.0030563765,-1,134.099,135.314
23,2019-09-23,-1,0.016797014,-1,133.68,134.099
24,2019-09-24,1,0.060037304,-1,133.799,133.68
25,2019-09-25,-1,0.0047366703,-1,133.095,133.799
26,2019-09-26,-1,0.02528159,-1,132.879,133.095
27,2019-09-27,-1,0.022502236,-1,132.631,132.879
28,2019-09-30,1,0.648537,1,132.873,132.631
29,2019-10-01,-1,0.045788918,-1,132.564,132.873
30,2019-10-02,-1,0.0071392157,-1,131.787,132.564
31,2019-10-03,1,0.09890446,-1,131.795,131.787
32,2019-10-04,1,0.08381258,-1,131.842,131.795
33,2019-10-07,-1,0.048100013,-1,131.81,131.842
34,2019-10-08,-1,0.0012931322,-1,130.825,131.81
35,2019-10-09,1,0.89454746,1,131.172,130.825
36,2019-10-10,1,0.99999285,1,134.249,131.172
37,2019-10-11,1,0.9997166,1,137.094,134.249
38,2019-10-14,-1,0.02627978,-1,136.436,137.094
39,2019-10-15,1,0.9997451,1,139.161,136.436
40,2019-10-16,1,0.31808615,-1,139.482,139.161
41,2019-10-17,1,0.96605885,1,140.035,139.482
42,2019-10-18,1,0.9418698,1,140.343,140.035
43,2019-10-21,1,0.9697679,1,140.749,140.343
44,2019-10-22,-1,0.013351963,-1,139.653,140.749
45,2019-10-23,1,0.9616881,1,140.388,139.653
46,2019-10-24,-1,0.008256642,-1,139.577,140.388
47,2019-10-25,-1,0.071069986,-1,139.421,139.577
48,2019-10-28,1,0.83397895,1,140.12,139.421
49,2019-10-29,-1,0.07281649,-1,140.073,140.12
50,2019-10-30,1,0.698325,1,140.416,140.073
51,2019-10-31,-1,0.006789877,-1,139.625,140.416
52,2019-11-01,1,0.4627589,1,139.899,139.625
53,2019-11-04,-1,0.12465465,-1,139.859,139.899
54,2019-11-05,1,0.97790307,1,140.609,139.859
55,2019-11-06,-1,0.048524737,-1,140.103,140.609
56,2019-11-07,-1,0.39342782,-1,139.999,140.103
57,2019-11-08,-1,0.05222222,-1,139.582,139.999
58,2019-11-11,1,0.9671718,1,140.124,139.582
59,2019-11-12,-1,0.16293734,-1,140.016,140.124
60,2019-11-13,-1,0.07124635,-1,139.822,140.016
61,2019-11-14,-1,0.09992824,-1,139.653,139.822
62,2019-11-15,1,0.9892184,1,140.341,139.653
63,2019-11-18,1,0.98424214,1,140.746,140.341
64,2019-11-19,-1,0.0806437,-1,140.28,140.746
65,2019-11-20,1,0.9165105,1,140.351,140.28
66,2019-11-21,-1,0.3868062,-1,140.162,140.351
67,2019-11-22,-1,0.012269051,-1,139.359,140.162
68,2019-11-25,1,0.9984022,1,140.471,139.359
69,2019-11-26,-1,0.5978111,1,140.292,140.471
70,2019-11-27,1,0.9961837,1,141.319,140.292
71,2019-11-28,1,0.77283275,1,141.37,141.319
72,2019-11-29,1,0.871144,1,141.551,141.37
73,2019-12-02,-1,0.02770441,-1,141.009,141.551
74,2019-12-03,1,0.53956246,1,141.172,141.009
75,2019-12-04,1,0.9958319,1,142.656,141.172
76,2019-12-05,1,0.8897793,1,143.101,142.656
77,2019-12-06,-1,0.04739695,-1,142.588,143.101
78,2019-12-09,1,0.6385594,1,142.703,142.588
79,2019-12-10,1,0.94999176,1,143.327,142.703
80,2019-12-11,-1,0.26335198,-1,143.231,143.327
81,2019-12-12,1,0.9709995,1,143.928,143.231
82,2019-12-13,1,0.9980122,1,145.799,143.928
83,2019-12-16,1,0.94898885,1,146.048,145.799
84,2019-12-17,-1,0.0019942904,-1,143.726,146.048
85,2019-12-18,-1,0.4379391,-1,143.331,143.726
86,2019-12-19,-1,0.009722349,-1,142.119,143.331
87,2019-12-20,1,0.8293321,1,142.283,142.119
88,2019-12-23,-1,0.014202844,-1,141.458,142.283
89,2019-12-24,1,0.79972833,1,141.6,141.458
90,2019-12-26,1,0.9943136,1,142.478,141.6
91,2019-12-27,1,0.9961056,1,143.254,142.478
92,2019-12-30,-1,0.4032035,-1,142.727,143.254
93,2019-12-31,1,0.99935883,1,143.927,142.727
94,2020-01-02,-1,0.016831107,-1,142.583,143.927
95,2020-01-03,-1,0.045910656,-1,141.353,142.583
96,2020-01-06,1,0.999228,1,142.703,141.353
97,2020-01-07,-1,0.20360653,-1,142.313,142.703
98,2020-01-08,1,0.98833185,1,142.932,142.313
99,2020-01-09,1,0.8235914,1,143.097,142.932
100,2020-01-10,-1,0.4180912,-1,143.058,143.097
101,2020-01-13,-1,0.10722887,-1,142.805,143.058
102,2020-01-14,1,0.9245416,1,143.192,142.805
103,2020-01-15,1,0.72939533,1,143.304,143.192
104,2020-01-16,1,0.9806279,1,144.031,143.304
105,2020-01-17,-1,0.013891526,-1,143.321,144.031
106,2020-01-20,1,0.19162875,-1,143.325,143.321
107,2020-01-21,-1,0.117530756,-1,143.286,143.325
108,2020-01-22,1,0.9886313,1,144.321,143.286
109,2020-01-23,-1,0.014800515,-1,143.715,144.321
110,2020-01-24,-1,0.0065609976,-1,142.859,143.715
111,2020-01-27,-1,0.010055486,-1,142.176,142.859
112,2020-01-28,1,0.08440287,-1,142.185,142.176
113,2020-01-29,-1,0.028300816,-1,141.927,142.185
114,2020-01-30,1,0.9875639,1,142.64,141.927
115,2020-01-31,1,0.9819317,1,143.126,142.64
116,2020-02-03,-1,0.0015771143,-1,141.293,143.126
117,2020-02-04,1,0.998904,1,142.729,141.293
118,2020-02-05,1,0.6738181,1,142.777,142.729
119,2020-02-06,-1,0.055729557,-1,142.19,142.777
120,2020-02-07,-1,0.034537468,-1,141.426,142.19
121,2020-02-10,1,0.95593643,1,141.723,141.426
