time,Actual Movement,Predictions,Predicted
2019-08-21,-1,0.83715796,1
2019-08-22,1,0.9974413,1
2019-08-23,-1,0.0068151667,-1
2019-08-26,1,0.35619482,-1
2019-08-27,1,0.7359495,1
2019-08-28,-1,0.018360423,-1
2019-08-29,1,0.526936,1
2019-08-30,-1,0.00992058,-1
2019-09-02,-1,0.0022442513,-1
2019-09-03,-1,0.043711547,-1
2019-09-04,1,0.999808,1
2019-09-05,1,0.990616,1
2019-09-06,-1,0.020013759,-1
2019-09-09,1,0.9817089,1
2019-09-10,1,0.79503536,1
2019-09-11,1,0.561006,1
2019-09-12,1,0.9065322,1
2019-09-13,1,0.9974957,1
2019-09-16,-1,0.010797868,-1
2019-09-17,1,0.96612227,1
2019-09-18,1,0.39744487,-1
2019-09-19,1,0.7113719,1
2019-09-20,-1,0.0030563765,-1
2019-09-23,-1,0.016797014,-1
2019-09-24,1,0.060037304,-1
2019-09-25,-1,0.0047366703,-1
2019-09-26,-1,0.02528159,-1
2019-09-27,-1,0.022502236,-1
2019-09-30,1,0.648537,1
2019-10-01,-1,0.045788918,-1
2019-10-02,-1,0.0071392157,-1
2019-10-03,1,0.09890446,-1
2019-10-04,1,0.08381258,-1
2019-10-07,-1,0.048100013,-1
2019-10-08,-1,0.0012931322,-1
2019-10-09,1,0.89454746,1
2019-10-10,1,0.99999285,1
2019-10-11,1,0.9997166,1
2019-10-14,-1,0.02627978,-1
2019-10-15,1,0.9997451,1
2019-10-16,1,0.31808615,-1
2019-10-17,1,0.96605885,1
2019-10-18,1,0.9418698,1
2019-10-21,1,0.9697679,1
2019-10-22,-1,0.013351963,-1
2019-10-23,1,0.9616881,1
2019-10-24,-1,0.008256642,-1
2019-10-25,-1,0.071069986,-1
2019-10-28,1,0.83397895,1
2019-10-29,-1,0.07281649,-1
2019-10-30,1,0.698325,1
2019-10-31,-1,0.006789877,-1
2019-11-01,1,0.4627589,1
2019-11-04,-1,0.12465465,-1
2019-11-05,1,0.97790307,1
2019-11-06,-1,0.048524737,-1
2019-11-07,-1,0.39342782,-1
2019-11-08,-1,0.05222222,-1
2019-11-11,1,0.9671718,1
2019-11-12,-1,0.16293734,-1
2019-11-13,-1,0.07124635,-1
2019-11-14,-1,0.09992824,-1
2019-11-15,1,0.9892184,1
2019-11-18,1,0.98424214,1
2019-11-19,-1,0.0806437,-1
2019-11-20,1,0.9165105,1
2019-11-21,-1,0.3868062,-1
2019-11-22,-1,0.012269051,-1
2019-11-25,1,0.9984022,1
2019-11-26,-1,0.5978111,1
2019-11-27,1,0.9961837,1
2019-11-28,1,0.77283275,1
2019-11-29,1,0.871144,1
2019-12-02,-1,0.02770441,-1
2019-12-03,1,0.53956246,1
2019-12-04,1,0.9958319,1
2019-12-05,1,0.8897793,1
2019-12-06,-1,0.04739695,-1
2019-12-09,1,0.6385594,1
2019-12-10,1,0.94999176,1
2019-12-11,-1,0.26335198,-1
2019-12-12,1,0.9709995,1
2019-12-13,1,0.9980122,1
2019-12-16,1,0.94898885,1
2019-12-17,-1,0.0019942904,-1
2019-12-18,-1,0.4379391,-1
2019-12-19,-1,0.009722349,-1
2019-12-20,1,0.8293321,1
2019-12-23,-1,0.014202844,-1
2019-12-24,1,0.79972833,1
2019-12-26,1,0.9943136,1
2019-12-27,1,0.9961056,1
2019-12-30,-1,0.4032035,-1
2019-12-31,1,0.99935883,1
2020-01-02,-1,0.016831107,-1
2020-01-03,-1,0.045910656,-1
2020-01-06,1,0.999228,1
2020-01-07,-1,0.20360653,-1
2020-01-08,1,0.98833185,1
2020-01-09,1,0.8235914,1
2020-01-10,-1,0.4180912,-1
2020-01-13,-1,0.10722887,-1
2020-01-14,1,0.9245416,1
2020-01-15,1,0.72939533,1
2020-01-16,1,0.9806279,1
2020-01-17,-1,0.013891526,-1
2020-01-20,1,0.19162875,-1
2020-01-21,-1,0.117530756,-1
2020-01-22,1,0.9886313,1
2020-01-23,-1,0.014800515,-1
2020-01-24,-1,0.0065609976,-1
2020-01-27,-1,0.010055486,-1
2020-01-28,1,0.08440287,-1
2020-01-29,-1,0.028300816,-1
2020-01-30,1,0.9875639,1
2020-01-31,1,0.9819317,1
2020-02-03,-1,0.0015771143,-1
2020-02-04,1,0.998904,1
2020-02-05,1,0.6738181,1
2020-02-06,-1,0.055729557,-1
2020-02-07,-1,0.034537468,-1
2020-02-10,1,0.95593643,1
2020-02-11,1,0.9843389,1
2020-02-12,1,0.983937,1
2020-02-13,1,0.9839346,1
