,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,long,106.612,,,9999.9998
1,2019-08-22,close,neutral,,106.419,-19.299999999999784,9980.6996
2,2019-08-22,open,short,106.419,,,9980.6994
3,2019-08-26,close,neutral,,106.076,34.30000000000035,10014.9992
4,2019-08-26,open,long,106.076,,,10014.999
5,2019-08-27,close,neutral,,105.751,-32.49999999999886,9982.498800000001
6,2019-08-27,open,short,105.751,,,9982.4986
7,2019-08-28,close,neutral,,106.044,-29.299999999999216,9953.198400000001
8,2019-08-28,open,long,106.044,,,9953.1982
9,2019-08-30,close,neutral,,106.257,21.300000000000807,9974.498000000001
10,2019-08-30,open,short,106.257,,,9974.497800000001
11,2019-09-04,close,neutral,,106.424,-16.70000000000016,9957.797600000002
12,2019-09-04,open,long,106.424,,,9957.797400000001
13,2019-09-06,close,neutral,,106.912,48.799999999999955,10006.597200000002
14,2019-09-06,open,short,106.912,,,10006.597000000002
15,2019-09-09,close,neutral,,107.237,-32.49999999999886,9974.096800000003
16,2019-09-09,open,long,107.237,,,9974.096600000003
17,2019-09-19,close,neutral,,108.042,80.50000000000068,10054.596400000004
18,2019-09-19,open,short,108.042,,,10054.596200000004
19,2019-09-25,close,neutral,,107.759,28.300000000000125,10082.896000000004
20,2019-09-25,open,long,107.759,,,10082.895800000004
21,2019-10-01,close,neutral,,107.732,-2.7000000000001023,10080.195600000005
22,2019-10-01,open,short,107.732,,,10080.195400000004
23,2019-10-07,close,neutral,,107.251,48.099999999999454,10128.295200000004
24,2019-10-07,open,long,107.251,,,10128.295000000004
25,2019-10-08,close,neutral,,107.066,-18.500000000000227,10109.794800000003
26,2019-10-08,open,short,107.066,,,10109.794600000003
27,2019-10-09,close,neutral,,107.513,-44.70000000000027,10065.094400000002
28,2019-10-09,open,long,107.513,,,10065.094200000001
29,2019-10-16,close,neutral,,108.759,124.59999999999951,10189.694000000001
30,2019-10-16,open,short,108.759,,,10189.693800000001
31,2019-10-21,close,neutral,,108.595,16.400000000000148,10206.093600000002
32,2019-10-21,open,long,108.595,,,10206.093400000002
33,2019-10-22,close,neutral,,108.478,-11.700000000000443,10194.3932
34,2019-10-22,open,short,108.478,,,10194.393
35,2019-10-23,close,neutral,,108.689,-21.099999999999852,10173.292800000001
36,2019-10-23,open,long,108.689,,,10173.2926
37,2019-10-24,close,neutral,,108.634,-5.499999999999261,10167.792400000002
38,2019-10-24,open,short,108.634,,,10167.792200000002
39,2019-10-28,close,neutral,,108.956,-32.20000000000027,10135.592
40,2019-10-28,open,long,108.956,,,10135.5918
41,2019-10-29,close,neutral,,108.88,-7.600000000000762,10127.9916
42,2019-10-29,open,short,108.88,,,10127.991399999999
43,2019-11-01,close,neutral,,108.169,71.09999999999985,10199.091199999999
44,2019-11-01,open,long,108.169,,,10199.090999999999
45,2019-11-06,close,neutral,,108.982,81.30000000000024,10280.3908
46,2019-11-06,open,short,108.982,,,10280.390599999999
47,2019-11-07,close,neutral,,109.263,-28.10000000000059,10252.290399999998
48,2019-11-07,open,long,109.263,,,10252.290199999998
49,2019-11-08,close,neutral,,109.232,-3.100000000000591,10249.189999999997
50,2019-11-08,open,short,109.232,,,10249.189799999996
51,2019-11-15,close,neutral,,108.788,44.40000000000026,10293.589599999998
52,2019-11-15,open,long,108.788,,,10293.589399999997
53,2019-11-18,close,neutral,,108.671,-11.699999999999022,10281.889199999998
54,2019-11-18,open,short,108.671,,,10281.888999999997
55,2019-11-20,close,neutral,,108.614,5.700000000000216,10287.588799999998
56,2019-11-20,open,long,108.614,,,10287.588599999997
57,2019-11-21,close,neutral,,108.605,-0.9000000000000341,10286.688399999997
58,2019-11-21,open,short,108.605,,,10286.688199999997
59,2019-11-22,close,neutral,,108.622,-1.6999999999995907,10284.987999999998
60,2019-11-22,open,long,108.622,,,10284.987799999997
61,2019-11-29,close,neutral,,109.44,81.79999999999978,10366.787599999996
62,2019-11-29,open,short,109.44,,,10366.787399999996
63,2019-12-04,close,neutral,,108.872,56.799999999999784,10423.587199999996
64,2019-12-04,open,long,108.872,,,10423.586999999996
65,2019-12-05,close,neutral,,108.748,-12.399999999999523,10411.186799999996
66,2019-12-05,open,short,108.748,,,10411.186599999995
67,2019-12-10,close,neutral,,108.739,0.9000000000000341,10412.086399999995
68,2019-12-10,open,long,108.739,,,10412.086199999994
69,2019-12-11,close,neutral,,108.554,-18.500000000000227,10393.585999999994
70,2019-12-11,open,short,108.554,,,10393.585799999993
71,2019-12-12,close,neutral,,109.292,-73.79999999999995,10319.785599999994
72,2019-12-12,open,long,109.292,,,10319.785399999993
73,2019-12-17,close,neutral,,109.494,20.199999999999818,10339.985199999994
74,2019-12-17,open,short,109.494,,,10339.984999999993
75,2019-12-18,close,neutral,,109.574,-7.9999999999998295,10331.984799999993
76,2019-12-18,open,long,109.574,,,10331.984599999992
77,2019-12-19,close,neutral,,109.357,-21.699999999999875,10310.284399999993
78,2019-12-19,open,short,109.357,,,10310.284199999993
79,2019-12-20,close,neutral,,109.447,-9.000000000000341,10301.283999999992
80,2019-12-20,open,long,109.447,,,10301.283799999992
81,2019-12-23,close,neutral,,109.372,-7.500000000000284,10293.783599999992
82,2019-12-23,open,short,109.372,,,10293.783399999991
83,2019-12-26,close,neutral,,109.651,-27.899999999999636,10265.883199999991
84,2019-12-26,open,long,109.651,,,10265.88299999999
85,2019-12-27,close,neutral,,109.458,-19.299999999999784,10246.582799999991
86,2019-12-27,open,short,109.458,,,10246.58259999999
87,2020-01-06,close,neutral,,108.377,108.1000000000003,10354.68239999999
88,2020-01-06,open,long,108.377,,,10354.68219999999
89,2020-01-15,close,neutral,,109.907,153.0000000000001,10507.68199999999
90,2020-01-15,open,short,109.907,,,10507.68179999999
91,2020-01-16,close,neutral,,110.168,-26.10000000000099,10481.581599999989
92,2020-01-16,open,long,110.168,,,10481.581399999988
93,2020-01-21,close,neutral,,109.862,-30.60000000000116,10450.981199999987
94,2020-01-21,open,short,109.862,,,10450.980999999987
95,2020-01-28,close,neutral,,109.152,70.99999999999937,10521.980799999987
96,2020-01-28,open,long,109.152,,,10521.980599999986
97,2020-01-29,close,neutral,,109.037,-11.499999999999488,10510.480399999988
98,2020-01-29,open,short,109.037,,,10510.480199999987
99,2020-02-03,close,neutral,,108.688,34.900000000000375,10545.379999999988
100,2020-02-03,open,long,108.688,,,10545.379799999988
101,2020-02-07,close,neutral,,109.78,109.19999999999987,10654.579599999988
102,2020-02-07,open,short,109.78,,,10654.579399999988
103,2020-02-11,close,neutral,,109.786,-0.6000000000000227,10653.979199999987
104,2020-02-11,open,long,109.786,,,10653.978999999987
105,2020-02-13,close,neutral,,109.823,3.699999999999193,10657.678799999985
106,2020-02-13,open,short,109.823,,,10657.678599999985
107,2020-02-17,close,neutral,,109.882,-5.900000000001171,10651.778399999983
108,2020-02-17,open,long,109.882,,,10651.778199999982
109,2020-02-18,close,neutral,,109.875,-0.7000000000005002,10651.077999999981
110,2020-02-18,open,short,109.875,,,10651.077799999981
111,2020-02-19,close,neutral,,111.349,-147.40000000000038,10503.67759999998
112,2020-02-19,open,long,111.349,,,10503.67739999998
113,2020-02-21,close,neutral,,111.571,22.19999999999942,10525.87719999998
114,2020-02-21,open,short,111.571,,,10525.87699999998
115,2020-02-26,close,neutral,,110.409,116.19999999999919,10642.076799999979
116,2020-02-26,open,long,110.409,,,10642.076599999978
117,2020-02-27,close,neutral,,109.661,-74.80000000000047,10567.276399999979
118,2020-02-27,open,short,109.661,,,10567.276199999978
119,2020-03-02,close,neutral,,108.34,132.0999999999998,10699.375999999978
120,2020-03-02,open,long,108.34,,,10699.375799999978
121,2020-03-03,close,neutral,,107.103,-123.7000000000009,10575.675599999977
122,2020-03-03,open,short,107.103,,,10575.675399999976
123,2020-03-04,close,neutral,,107.55,-44.70000000000027,10530.975199999975
124,2020-03-04,open,long,107.55,,,10530.974999999975
125,2020-03-05,close,neutral,,106.141,-140.89999999999918,10390.074799999975
126,2020-03-05,open,short,106.141,,,10390.074599999974
127,2020-03-10,close,neutral,,105.6,54.1000000000011,10444.174399999976
128,2020-03-10,open,long,105.6,,,10444.174199999976
129,2020-03-11,close,neutral,,104.47,-112.99999999999955,10331.173999999975
130,2020-03-11,open,short,104.47,,,10331.173799999975
131,2020-03-12,close,neutral,,104.656,-18.600000000000705,10312.573599999974
132,2020-03-12,open,long,104.656,,,10312.573399999974
133,2020-03-16,close,neutral,,105.968,131.19999999999976,10443.773199999974
134,2020-03-16,open,short,105.968,,,10443.772999999974
135,2020-03-17,close,neutral,,107.628,-165.99999999999966,10277.772799999973
136,2020-03-17,open,long,107.628,,,10277.772599999973
137,2020-03-20,close,neutral,,110.855,322.7000000000004,10600.472399999973
138,2020-03-20,open,short,110.855,,,10600.472199999973
139,2020-03-23,close,neutral,,111.254,-39.90000000000009,10560.571999999973
140,2020-03-23,open,long,111.254,,,10560.571799999972
141,2020-03-24,close,neutral,,111.239,-1.5000000000000568,10559.071599999972
142,2020-03-24,open,short,111.239,,,10559.071399999972
143,2020-04-02,close,neutral,,107.857,338.2000000000005,10897.271199999972
144,2020-04-02,open,long,107.857,,,10897.270999999972
145,2020-04-07,close,neutral,,108.797,93.99999999999977,10991.270799999971
146,2020-04-07,open,short,108.797,,,10991.27059999997
147,2020-04-08,close,neutral,,108.852,-5.500000000000682,10985.77039999997
148,2020-04-08,open,long,108.852,,,10985.77019999997
149,2020-04-09,close,neutral,,108.495,-35.69999999999993,10950.06999999997
150,2020-04-09,open,short,108.495,,,10950.06979999997
151,2020-04-10,close,neutral,,108.385,10.999999999999943,10961.06959999997
152,2020-04-10,open,long,108.385,,,10961.06939999997
153,2020-04-13,close,neutral,,107.749,-63.60000000000099,10897.469199999969
154,2020-04-13,open,short,107.749,,,10897.468999999968
155,2020-04-15,close,neutral,,107.431,31.799999999999784,10929.268799999969
156,2020-04-15,open,long,107.431,,,10929.268599999969
157,2020-04-17,close,neutral,,107.552,12.100000000000932,10941.36839999997
158,2020-04-17,open,short,107.552,,,10941.36819999997
159,2020-04-20,close,neutral,,107.633,-8.099999999998886,10933.267999999971
160,2020-04-20,open,long,107.633,,,10933.26779999997
161,2020-04-23,close,neutral,,107.623,-0.9999999999990905,10932.267599999972
162,2020-04-23,open,short,107.623,,,10932.267399999972
163,2020-04-30,close,neutral,,107.155,46.80000000000035,10979.067199999972
164,2020-04-30,open,long,107.155,,,10979.066999999972
165,2020-05-01,close,neutral,,106.915,-23.99999999999949,10955.066799999973
166,2020-05-01,open,short,106.915,,,10955.066599999973
167,2020-05-07,close,neutral,,106.266,64.90000000000009,11019.966399999972
168,2020-05-07,open,long,106.266,,,11019.966199999972
169,2020-05-12,close,neutral,,107.149,88.29999999999956,11108.26599999997
170,2020-05-12,open,short,107.149,,,11108.26579999997
171,2020-05-14,close,neutral,,107.232,-8.29999999999984,11099.96559999997
172,2020-05-14,open,long,107.232,,,11099.96539999997
173,2020-05-15,close,neutral,,107.167,-6.499999999999773,11093.46519999997
174,2020-05-15,open,short,107.167,,,11093.46499999997
175,2020-05-18,close,neutral,,107.303,-13.599999999999568,11079.86479999997
176,2020-05-18,open,long,107.303,,,11079.86459999997
177,2020-05-20,close,neutral,,107.546,24.30000000000092,11104.16439999997
178,2020-05-20,open,short,107.546,,,11104.16419999997
179,2020-05-21,close,neutral,,107.598,-5.19999999999925,11098.96399999997
180,2020-05-21,open,long,107.598,,,11098.96379999997
181,2020-05-26,close,neutral,,107.548,-4.999999999999716,11093.96359999997
182,2020-05-26,open,short,107.548,,,11093.96339999997
183,2020-05-27,close,neutral,,107.717,-16.899999999999693,11077.06319999997
184,2020-05-27,open,long,107.717,,,11077.06299999997
185,2020-05-28,close,neutral,,107.615,-10.200000000000387,11066.862799999968
186,2020-05-28,open,short,107.615,,,11066.862599999968
187,2020-05-29,close,neutral,,107.789,-17.40000000000066,11049.462399999968
188,2020-05-29,open,long,107.789,,,11049.462199999967
189,2020-06-01,close,neutral,,107.579,-21.000000000000796,11028.461999999967
190,2020-06-01,open,short,107.579,,,11028.461799999966
191,2020-06-02,close,neutral,,108.681,-110.20000000000039,10918.261599999965
192,2020-06-02,open,long,108.681,,,10918.261399999965
193,2020-06-08,close,neutral,,108.442,-23.900000000000432,10894.361199999965
194,2020-06-08,open,short,108.442,,,10894.360999999964
195,2020-06-12,close,neutral,,107.352,108.99999999999892,11003.360799999964
196,2020-06-12,open,long,107.352,,,11003.360599999964
197,2020-06-17,close,neutral,,107.003,-34.900000000000375,10968.460399999964
198,2020-06-17,open,short,107.003,,,10968.460199999963
199,2020-06-18,close,neutral,,106.975,2.80000000000058,10971.259999999964
200,2020-06-18,open,long,106.975,,,10971.259799999963
201,2020-06-19,close,neutral,,106.873,-10.199999999998965,10961.059599999964
202,2020-06-19,open,short,106.873,,,10961.059399999964
203,2020-06-22,close,neutral,,106.867,0.6000000000000227,10961.659199999964
204,2020-06-22,open,long,106.867,,,10961.658999999963
205,2020-06-23,close,neutral,,106.532,-33.500000000000796,10928.158799999963
206,2020-06-23,open,short,106.532,,,10928.158599999962
207,2020-06-24,close,neutral,,107.062,-53.000000000000114,10875.158399999962
208,2020-06-24,open,long,107.062,,,10875.158199999962
209,2020-07-01,close,neutral,,107.455,39.30000000000007,10914.457999999962
210,2020-07-01,open,short,107.455,,,10914.457799999962
211,2020-07-02,close,neutral,,107.496,-4.099999999999682,10910.357599999963
212,2020-07-02,open,long,107.496,,,10910.357399999963
213,2020-07-03,close,neutral,,107.49,-0.6000000000000227,10909.757199999962
