time,Actual Movement,Predictions,Predicted
2019-08-21,-1,0.24919839,-1
2019-08-22,-1,0.05161155,-1
2019-08-23,1,0.9837208,1
2019-08-26,-1,0.34554636,-1
2019-08-27,-1,0.15657091,-1
2019-08-28,-1,0.11331991,-1
2019-08-29,-1,0.12155712,-1
2019-08-30,-1,0.25703344,-1
2019-09-02,-1,0.1566594,-1
2019-09-03,1,0.98114794,1
2019-09-04,1,0.98845696,1
2019-09-05,1,0.9790252,1
2019-09-06,1,0.998092,1
2019-09-09,1,0.9545819,1
2019-09-10,-1,0.92433333,1
2019-09-11,-1,0.8057772,-1
2019-09-12,-1,0.7033919,-1
2019-09-13,-1,0.030027172,-1
2019-09-16,-1,0.02406923,-1
2019-09-17,1,0.6720449,-1
2019-09-18,-1,0.01607736,-1
2019-09-19,-1,0.08575873,-1
2019-09-20,-1,0.030295696,-1
2019-09-23,1,0.98833966,1
2019-09-24,1,0.9905511,1
2019-09-25,-1,0.069373496,-1
2019-09-26,1,0.99195296,1
2019-09-27,1,0.9616805,1
2019-09-30,-1,0.5305814,-1
2019-10-01,-1,0.570502,-1
2019-10-02,1,0.9891895,1
2019-10-03,1,0.98766476,1
2019-10-04,1,0.97263193,1
2019-10-07,-1,0.21374267,-1
2019-10-08,1,0.89426744,1
2019-10-09,-1,0.5512179,-1
2019-10-10,1,0.97823274,1
2019-10-11,1,0.95550287,1
2019-10-14,-1,0.040037993,-1
2019-10-15,-1,0.4564452,-1
2019-10-16,-1,0.37627107,-1
2019-10-17,1,0.9952473,1
2019-10-18,1,0.9836717,1
2019-10-21,1,0.9655903,1
2019-10-22,1,0.95919836,1
2019-10-23,1,0.9892904,1
2019-10-24,-1,0.05147315,-1
2019-10-25,-1,0.076267265,-1
2019-10-28,-1,0.55781895,-1
2019-10-29,1,0.77744585,-1
2019-10-30,1,0.98513377,1
2019-10-31,1,0.95574737,1
2019-11-01,1,0.958577,1
2019-11-04,-1,0.14033894,-1
2019-11-05,-1,0.077448465,-1
2019-11-06,-1,0.7062179,-1
2019-11-07,1,0.87346774,1
2019-11-08,-1,0.0858572,-1
2019-11-11,1,0.9963703,1
2019-11-12,-1,0.43809724,-1
2019-11-13,1,0.9997719,1
2019-11-14,-1,0.5600825,-1
2019-11-15,1,0.98804086,1
2019-11-18,-1,0.9263388,1
2019-11-19,1,0.9920946,1
2019-11-20,-1,0.68024486,-1
2019-11-21,-1,0.47776467,-1
2019-11-22,1,0.8416112,1
2019-11-25,1,0.9361056,1
2019-11-26,1,0.8667813,1
2019-11-27,-1,0.2996283,-1
2019-11-28,-1,0.35707438,-1
2019-11-29,1,0.69271487,-1
2019-12-02,1,0.99908805,1
2019-12-03,1,0.97532064,1
2019-12-04,1,0.9862002,1
2019-12-05,1,0.9933194,1
2019-12-06,1,0.99396604,1
2019-12-09,-1,0.77792484,-1
2019-12-10,-1,0.93438554,1
2019-12-11,1,0.994808,1
2019-12-12,1,0.97537065,1
2019-12-13,-1,0.8747283,1
2019-12-16,1,0.9761219,1
2019-12-17,-1,0.20813912,-1
2019-12-18,1,0.95454735,1
2019-12-19,1,0.96573836,1
2019-12-20,-1,0.9064498,1
2019-12-23,1,0.9917196,1
2019-12-24,1,0.95952964,1
2019-12-26,1,0.99515235,1
2019-12-27,1,0.9946477,1
2019-12-30,1,0.99381244,1
2019-12-31,1,0.99027437,1
2020-01-02,-1,0.36287308,-1
2020-01-03,-1,0.10664038,-1
2020-01-06,1,0.884688,1
2020-01-07,-1,0.08438559,-1
2020-01-08,1,0.8701262,1
2020-01-09,-1,0.063862845,-1
2020-01-10,1,0.9764954,1
2020-01-13,-1,0.90057224,1
2020-01-14,-1,0.7937039,-1
2020-01-15,1,0.96409523,1
2020-01-16,1,0.99093926,1
2020-01-17,-1,0.6719087,-1
2020-01-20,0,0.9502839,1
2020-01-21,-1,0.7464536,-1
2020-01-22,-1,0.9152742,1
2020-01-23,1,0.9960795,1
2020-01-24,-1,0.9306636,1
2020-01-27,-1,0.029807033,-1
2020-01-28,1,0.84200156,1
2020-01-29,-1,0.21429415,-1
2020-01-30,-1,0.057760358,-1
2020-01-31,-1,0.102216676,-1
2020-02-03,-1,0.33885908,-1
2020-02-04,1,0.9873663,1
2020-02-05,-1,0.48217884,-1
2020-02-06,-1,0.6615096,-1
2020-02-07,-1,0.061285347,-1
2020-02-10,-1,0.5115398,-1
2020-02-11,1,0.9688394,1
2020-02-12,1,0.9991665,1
2020-02-13,-1,0.7818745,-1
2020-02-14,-1,0.9585584,1
2020-02-17,1,0.9655748,1
2020-02-18,-1,0.11221443,-1
2020-02-19,-1,0.929424,1
2020-02-20,-1,0.07463261,-1
2020-02-21,1,0.9790213,1
2020-02-24,-1,0.5195863,-1
2020-02-25,-1,0.3798005,-1
2020-02-26,-1,0.14897619,-1
2020-02-27,1,0.97652674,1
2020-02-28,-1,0.02298435,-1
2020-03-02,1,0.94850266,1
2020-03-03,1,0.92058295,1
2020-03-04,1,0.98043436,1
2020-03-05,1,0.97358227,1
2020-03-06,1,0.9981527,1
2020-03-09,-1,0.27988765,-1
2020-03-10,-1,0.0102491,-1
2020-03-11,1,0.57694316,-1
2020-03-12,-1,7.645643e-05,-1
2020-03-13,-1,0.32745537,-1
2020-03-16,-1,0.075264305,-1
2020-03-17,-1,0.003593099,-1
2020-03-18,-1,0.00075371185,-1
2020-03-19,-1,0.058372542,-1
2020-03-20,1,0.9437746,1
2020-03-23,-1,0.047652557,-1
2020-03-24,1,0.99983954,1
2020-03-25,1,0.8482203,1
2020-03-26,1,0.9998709,1
2020-03-27,1,0.9983563,1
2020-03-30,-1,0.6676799,-1
2020-03-31,-1,0.3710866,-1
2020-04-01,-1,0.25805563,-1
2020-04-02,1,0.8502643,1
2020-04-03,-1,0.015726065,-1
2020-04-06,1,0.99509,1
2020-04-07,1,0.9566506,1
2020-04-08,1,0.95508707,1
2020-04-09,1,0.9950295,1
2020-04-10,-1,0.46386433,-1
2020-04-13,1,0.9785653,1
2020-04-14,1,0.9600677,1
2020-04-15,-1,0.0021984128,-1
2020-04-16,-1,0.25900567,-1
2020-04-17,1,0.9976997,1
2020-04-20,1,0.77402097,-1
2020-04-21,-1,0.019128215,-1
2020-04-22,-1,0.7216001,-1
2020-04-23,1,0.99507576,1
2020-04-24,1,0.94371986,1
2020-04-27,1,0.989078,1
2020-04-28,1,0.9713993,1
2020-04-29,1,0.9987313,1
2020-04-30,-1,0.8194903,-1
2020-05-01,-1,0.026848093,-1
2020-05-04,-1,0.82804585,-1
2020-05-05,1,0.8909485,1
2020-05-06,-1,0.058383055,-1
2020-05-07,1,0.99906904,1
2020-05-08,1,0.9893098,1
2020-05-11,-1,0.02420378,-1
2020-05-12,1,0.883377,1
2020-05-13,-1,0.013029299,-1
2020-05-14,1,0.95216835,1
2020-05-15,-1,0.08333679,-1
2020-05-18,1,0.99992704,1
2020-05-19,1,0.98535514,1
2020-05-20,1,0.99684626,1
2020-05-21,-1,0.13904862,-1
2020-05-22,-1,0.16379553,-1
2020-05-25,1,0.8921873,1
2020-05-26,1,0.99891555,1
2020-05-27,-1,0.2619842,-1
2020-05-28,1,0.96754485,1
2020-05-29,-1,0.7524903,-1
2020-06-01,1,0.99882644,1
2020-06-02,1,0.9936791,1
2020-06-03,1,0.9914624,1
2020-06-04,1,0.9882858,1
2020-06-05,1,0.9935754,1
2020-06-08,1,0.99620396,1
2020-06-09,-1,0.14972258,-1
2020-06-10,1,0.98213273,1
2020-06-11,-1,0.0027475725,-1
2020-06-12,1,0.9149314,1
2020-06-15,1,0.7571297,-1
2020-06-16,-1,0.09531237,-1
2020-06-17,1,0.6492228,-1
2020-06-18,-1,0.052667096,-1
2020-06-19,-1,0.10000512,-1
2020-06-22,1,0.9981725,1
2020-06-23,1,0.93531185,1
2020-06-24,-1,0.029317278,-1
2020-06-25,1,0.991591,1
2020-06-26,-1,0.93213385,1
2020-06-29,-1,0.9642152,1
2020-06-30,1,0.9969265,1
2020-07-01,1,0.991088,1
2020-07-02,1,0.9922685,1
2020-07-03,1,0.98299086,1
2020-07-06,1,0.9783412,1
2020-07-07,-1,0.8245429,-1
2020-07-08,1,0.9907116,1
2020-07-09,-1,0.82687163,-1
2020-07-10,1,0.9514366,1
2020-07-13,-1,0.08274753,-1
2020-07-14,-1,0.3215391,-1
2020-07-15,1,0.98624265,1
2020-07-16,-1,0.042582475,-1
2020-07-17,1,0.9311541,1
2020-07-20,1,0.9402439,1
2020-07-21,1,0.9959131,1
2020-07-22,1,0.980802,1
2020-07-23,-1,0.39333934,-1
2020-07-24,1,0.9732317,1
2020-07-27,1,0.99474734,1
2020-07-28,-1,0.22558764,-1
2020-07-29,1,0.94187933,1
2020-07-30,1,0.9823188,1
2020-07-31,-1,0.0060823923,-1
2020-08-03,-1,0.31687433,-1
2020-08-04,1,0.89517874,1
2020-08-05,1,0.9713354,1
2020-08-06,1,0.98868996,1
2020-08-07,-1,0.009006331,-1
2020-08-10,-1,0.9163555,1
2020-08-11,-1,0.8727929,1
2020-08-12,1,0.966645,1
2020-08-13,-1,0.39141086,-1
2020-08-14,-1,0.8226079,-1
2020-08-17,1,0.9805653,1
2020-08-18,1,0.9981761,1
2020-08-19,-1,0.34434703,-1
2020-08-20,-1,0.755932,-1
2020-08-21,1,0.96198696,1
2020-08-24,-1,0.67439723,-1
2020-08-25,1,0.99142295,1
2020-08-26,1,0.99967706,1
2020-08-27,1,0.9890878,1
2020-08-28,1,0.99970335,1
2020-08-31,-1,0.9254929,1
2020-09-01,1,0.9928832,1
2020-09-02,1,0.98736084,1
2020-09-03,-1,0.051915716,-1
2020-09-04,1,0.9281641,1
2020-09-07,-1,0.14163284,-1
2020-09-08,-1,0.008660886,-1
2020-09-09,1,0.99610776,1
2020-09-10,-1,0.066220164,-1
2020-09-11,1,0.95057017,1
2020-09-14,1,0.98240614,1
2020-09-15,1,0.9607074,1
2020-09-16,1,0.9804441,1
2020-09-17,1,0.986535,1
2020-09-18,1,0.96005464,1
2020-09-21,-1,0.006859495,-1
2020-09-22,-1,0.2772146,-1
2020-09-23,-1,0.022753784,-1
2020-09-24,-1,0.86260945,1
2020-09-25,1,0.65283763,-1
2020-09-28,1,0.8651211,1
2020-09-29,1,0.9942947,1
2020-09-30,1,0.9941157,1
2020-10-01,1,0.9968227,1
2020-10-02,-1,0.9559921,1
2020-10-05,1,0.9902153,1
2020-10-06,-1,0.084505476,-1
2020-10-07,-1,0.91476625,1
2020-10-08,1,0.94326895,1
2020-10-09,1,0.99977714,1
2020-10-12,-1,0.33442104,-1
2020-10-13,1,0.78791803,-1
2020-10-14,1,0.8841467,1
2020-10-15,-1,0.014997241,-1
2020-10-16,1,0.9158687,1
2020-10-19,1,0.9212475,1
2020-10-20,-1,0.23786776,-1
2020-10-21,1,0.99942183,1
2020-10-22,1,0.97359246,1
2020-10-23,1,0.9534595,1
2020-10-26,-1,0.64430326,-1
2020-10-27,1,0.9839722,1
2020-10-28,-1,0.011502553,-1
2020-10-29,-1,0.58659565,-1
2020-10-30,-1,0.45919347,-1
2020-11-02,1,0.9737694,1
2020-11-03,1,0.998468,1
2020-11-04,-1,0.86206305,1
2020-11-05,1,0.9983658,1
2020-11-06,1,0.9406548,1
2020-11-09,1,0.9968213,1
2020-11-10,1,0.98606575,1
2020-11-11,1,0.99849284,1
2020-11-12,-1,0.17135462,-1
2020-11-13,1,0.97622526,1
2020-11-16,1,0.9968443,1
2020-11-17,-1,0.6598793,-1
2020-11-18,1,0.98580045,1
2020-11-19,-1,0.9145816,1
2020-11-20,1,0.9711075,1
2020-11-23,-1,0.85006034,1
2020-11-24,1,0.99721897,1
2020-11-25,1,0.9874408,1
2020-11-26,-1,0.96896803,1
