time,Actual Movement,Predictions,Predicted
2019-09-05,1,0.97149277,1
2019-09-06,1,0.94928235,1
2019-09-09,1,0.97784936,1
2019-09-10,1,0.9580739,1
2019-09-11,1,0.979396,1
2019-09-12,1,0.98036855,1
2019-09-13,1,0.98570967,1
2019-09-16,-1,0.8285285,1
2019-09-17,-1,0.89912754,1
2019-09-18,-1,0.20326313,-1
2019-09-19,-1,0.0036979248,-1
2019-09-20,-1,0.0033997516,-1
2019-09-23,1,0.05707059,-1
2019-09-24,-1,0.03498788,-1
2019-09-25,-1,0.04303033,-1
2019-09-26,1,0.16648915,-1
2019-09-27,1,0.9703167,1
2019-09-30,-1,0.6165444,1
2019-10-01,-1,0.011409187,-1
2019-10-02,-1,0.039682172,-1
2019-10-03,1,0.8171729,1
2019-10-04,1,0.9553107,1
2019-10-07,-1,0.43095085,-1
2019-10-08,-1,0.22317734,-1
2019-10-09,1,0.9737326,1
2019-10-10,1,0.9976573,1
2019-10-11,1,0.994238,1
2019-10-14,-1,0.49918213,-1
2019-10-15,1,0.9477261,1
2019-10-16,-1,0.86966604,1
2019-10-17,1,0.99473405,1
2019-10-18,1,0.9561877,1
2019-10-21,1,0.98111814,1
2019-10-22,-1,0.50395095,-1
2019-10-23,1,0.94151765,1
2019-10-24,-1,0.026682701,-1
2019-10-25,1,0.43017405,-1
2019-10-28,1,0.9336743,1
2019-10-29,1,0.8688459,1
2019-10-30,1,0.9604586,1
2019-10-31,-1,0.0096772285,-1
2019-11-01,1,0.9144686,1
2019-11-04,-1,0.34643587,-1
2019-11-05,1,0.9585861,1
2019-11-06,-1,0.10011664,-1
2019-11-07,1,0.9428215,1
2019-11-08,-1,0.025498984,-1
2019-11-11,-1,0.11452779,-1
2019-11-12,-1,0.12734085,-1
2019-11-13,-1,0.07346714,-1
2019-11-14,-1,0.007670973,-1
2019-11-15,1,0.98809993,1
2019-11-18,-1,0.11049677,-1
2019-11-19,1,0.77846205,1
2019-11-20,-1,0.10810638,-1
2019-11-21,-1,0.17390577,-1
2019-11-22,-1,0.36508954,-1
2019-11-25,1,0.8932733,1
2019-11-26,1,0.9774032,1
2019-11-27,1,0.9883659,1
2019-11-28,-1,0.87642735,1
2019-11-29,-1,0.30513814,-1
2019-12-02,1,0.97670424,1
2019-12-03,1,0.9250334,1
2019-12-04,1,0.96273464,1
2019-12-05,-1,0.094387524,-1
2019-12-06,-1,0.4542211,-1
2019-12-09,-1,0.06929744,-1
2019-12-10,-1,0.14584891,-1
2019-12-11,1,0.9944614,1
2019-12-12,1,0.9969958,1
2019-12-13,-1,0.14619814,-1
2019-12-16,1,0.97659415,1
2019-12-17,-1,0.10173278,-1
2019-12-18,1,0.87223613,1
2019-12-19,1,0.93847674,1
2019-12-20,1,0.95356387,1
2019-12-23,1,0.94678587,1
2019-12-24,-1,0.7354546,1
2019-12-26,1,0.9883553,1
2019-12-27,1,0.9674423,1
2019-12-30,-1,0.1051224,-1
2019-12-31,1,0.8573159,1
2020-01-02,-1,0.030318286,-1
2020-01-03,-1,0.007169988,-1
2020-01-06,1,0.705457,1
2020-01-07,-1,0.014135552,-1
2020-01-08,1,0.9381861,1
2020-01-09,1,0.5737366,1
2020-01-10,1,0.93264776,1
2020-01-13,1,0.92727685,1
2020-01-14,1,0.74902916,1
2020-01-15,-1,0.68615633,1
2020-01-16,1,0.8625371,1
2020-01-17,-1,0.047323514,-1
2020-01-20,1,0.35603604,-1
2020-01-21,-1,0.0066346447,-1
2020-01-22,-1,0.038805813,-1
2020-01-23,-1,0.011744501,-1
2020-01-24,-1,0.0074450984,-1
2020-01-27,-1,0.002893938,-1
2020-01-28,1,0.55766207,1
2020-01-29,-1,0.033679407,-1
2020-01-30,-1,0.02161551,-1
2020-01-31,-1,0.010465274,-1
2020-02-03,1,0.849471,1
2020-02-04,1,0.99848783,1
2020-02-05,1,0.95110345,1
2020-02-06,-1,0.8401959,1
2020-02-07,-1,0.038961653,-1
2020-02-10,1,0.88567835,1
2020-02-11,1,0.9614794,1
2020-02-12,1,0.98118603,1
2020-02-13,-1,0.06755704,-1
2020-02-14,-1,0.21567065,-1
2020-02-17,1,0.30714488,-1
2020-02-18,-1,0.03535649,-1
2020-02-19,1,0.9905346,1
2020-02-20,-1,0.05954362,-1
2020-02-21,-1,0.07336414,-1
2020-02-24,-1,0.010322471,-1
2020-02-25,-1,0.07530935,-1
2020-02-26,-1,0.04919206,-1
2020-02-27,-1,0.08933235,-1
2020-02-28,-1,0.0022382087,-1
2020-03-02,1,0.9706454,1
2020-03-03,-1,0.026439466,-1
2020-03-04,1,0.97657406,1
2020-03-05,-1,0.011792992,-1
2020-03-06,-1,0.48615813,-1
2020-03-09,-1,0.00079390616,-1
2020-03-10,1,0.9985247,1
2020-03-11,-1,0.009860111,-1
2020-03-12,-1,0.0019578042,-1
2020-03-13,1,0.9997173,1
2020-03-16,-1,0.0029812523,-1
2020-03-17,-1,0.9020899,1
2020-03-18,-1,0.0051784967,-1
2020-03-19,1,0.99903274,1
2020-03-20,1,0.9595602,1
2020-03-23,1,0.9395031,1
2020-03-24,1,0.9990264,1
2020-03-25,1,0.70759666,1
2020-03-26,1,0.9317751,1
2020-03-27,1,0.9298446,1
2020-03-30,-1,0.7763566,1
2020-03-31,-1,0.045982447,-1
2020-04-01,-1,0.006020765,-1
2020-04-02,1,0.6922893,1
2020-04-03,-1,0.012272241,-1
2020-04-06,1,0.9979201,1
2020-04-07,1,0.88404083,1
2020-04-08,1,0.9594247,1
2020-04-09,1,0.98515564,1
2020-04-10,1,0.7107026,1
2020-04-13,-1,0.88783014,1
2020-04-14,1,0.9688108,1
2020-04-15,-1,0.001955422,-1
2020-04-16,1,0.8029036,1
2020-04-17,1,0.5358267,1
2020-04-20,-1,0.043654367,-1
2020-04-21,-1,0.010033358,-1
2020-04-22,1,0.8378109,1
2020-04-23,1,0.873691,1
2020-04-24,1,0.7532911,1
2020-04-27,1,0.9719705,1
2020-04-28,1,0.80728364,1
2020-04-29,1,0.97968334,1
2020-04-30,-1,0.5696205,1
2020-05-01,-1,0.0020394595,-1
2020-05-04,-1,0.26982892,-1
2020-05-05,-1,0.16509174,-1
2020-05-06,-1,0.0104956515,-1
2020-05-07,1,0.9985415,1
2020-05-08,1,0.97453386,1
2020-05-11,1,0.81974643,1
2020-05-12,-1,0.022040721,-1
2020-05-13,-1,0.113562554,-1
2020-05-14,1,0.79021114,1
2020-05-15,-1,0.015501291,-1
2020-05-18,1,0.9980489,1
2020-05-19,1,0.821068,1
2020-05-20,1,0.9534727,1
2020-05-21,-1,0.060778305,-1
2020-05-22,-1,0.0556538,-1
