time,Actual Movement,Predictions,Predicted
2019-07-03 08:00:00,-1,0.032687657,-1
2019-07-03 10:00:00,1,0.9918098,1
2019-07-03 12:00:00,1,0.9999143,1
2019-07-03 14:00:00,-1,0.0015422227,-1
2019-07-03 16:00:00,-1,0.54165196,-1
2019-07-03 18:00:00,1,0.73534596,1
2019-07-03 20:00:00,-1,0.033842094,-1
2019-07-03 22:00:00,-1,0.04943923,-1
2019-07-04 00:00:00,1,0.9999939,1
2019-07-04 02:00:00,-1,0.77871484,1
2019-07-04 04:00:00,-1,0.07484653,-1
2019-07-04 06:00:00,1,0.9781464,1
2019-07-04 08:00:00,-1,0.18828747,-1
2019-07-04 10:00:00,-1,0.030668432,-1
2019-07-04 12:00:00,1,0.99872774,1
2019-07-04 14:00:00,-1,0.10868712,-1
2019-07-04 16:00:00,-1,0.28389296,-1
2019-07-04 18:00:00,-1,0.5945314,-1
2019-07-04 20:00:00,1,0.9953316,1
2019-07-04 22:00:00,-1,0.55492324,-1
2019-07-05 00:00:00,1,0.96758413,1
2019-07-05 02:00:00,-1,0.010745741,-1
2019-07-05 04:00:00,1,0.9514736,1
2019-07-05 06:00:00,-1,0.32303077,-1
2019-07-05 08:00:00,-1,0.007937495,-1
2019-07-05 10:00:00,-1,0.0038686027,-1
2019-07-05 12:00:00,-1,0.20658612,-1
2019-07-05 14:00:00,-1,0.000111171605,-1
2019-07-05 16:00:00,-1,4.9778486e-05,-1
2019-07-05 18:00:00,-1,0.015401568,-1
2019-07-05 20:00:00,1,0.9233727,1
2019-07-05 22:00:00,1,0.9817931,1
2019-07-08 00:00:00,1,0.983691,1
2019-07-08 02:00:00,-1,0.011601446,-1
2019-07-08 04:00:00,1,0.99857175,1
2019-07-08 06:00:00,1,0.9989197,1
2019-07-08 08:00:00,-1,0.009840016,-1
2019-07-08 10:00:00,1,0.99999344,1
2019-07-08 12:00:00,-1,0.0030224677,-1
2019-07-08 14:00:00,1,0.9998908,1
2019-07-08 16:00:00,-1,0.018688718,-1
2019-07-08 18:00:00,-1,0.83828723,1
2019-07-08 20:00:00,-1,0.0798372,-1
2019-07-08 22:00:00,1,0.92844284,1
2019-07-09 00:00:00,1,0.9822104,1
2019-07-09 02:00:00,-1,0.58230454,-1
2019-07-09 04:00:00,-1,0.03870001,-1
2019-07-09 06:00:00,1,0.9989641,1
2019-07-09 08:00:00,-1,0.00969803,-1
2019-07-09 10:00:00,-1,0.01297929,-1
2019-07-09 12:00:00,1,0.9886242,1
2019-07-09 14:00:00,1,0.9458313,1
2019-07-09 16:00:00,1,0.80170566,1
2019-07-09 18:00:00,1,0.96774477,1
2019-07-09 20:00:00,-1,0.3444931,-1
2019-07-09 22:00:00,-1,0.528703,-1
2019-07-10 00:00:00,-1,0.051282894,-1
2019-07-10 02:00:00,-1,0.021675318,-1
2019-07-10 04:00:00,1,0.9992078,1
2019-07-10 06:00:00,-1,0.038714126,-1
2019-07-10 08:00:00,1,0.9960912,1
2019-07-10 10:00:00,1,0.99999535,1
2019-07-10 12:00:00,-1,0.00797515,-1
2019-07-10 14:00:00,1,1.0,1
2019-07-10 16:00:00,1,0.9662335,1
2019-07-10 18:00:00,1,0.9978666,1
2019-07-10 20:00:00,-1,0.02518976,-1
2019-07-10 22:00:00,-1,0.08269089,-1
2019-07-11 00:00:00,1,0.9996283,1
2019-07-11 02:00:00,1,0.8186336,1
2019-07-11 04:00:00,1,0.9999523,1
2019-07-11 06:00:00,1,0.9563562,1
2019-07-11 08:00:00,-1,0.017830726,-1
2019-07-11 10:00:00,1,0.9818558,1
2019-07-11 12:00:00,-1,0.056252737,-1
2019-07-11 14:00:00,-1,0.020480959,-1
2019-07-11 16:00:00,-1,0.00025166862,-1
2019-07-11 18:00:00,1,0.8778362,1
2019-07-11 20:00:00,1,0.9433666,1
2019-07-11 22:00:00,-1,0.021044493,-1
2019-07-12 00:00:00,1,0.9457168,1
2019-07-12 02:00:00,1,0.9384671,1
2019-07-12 04:00:00,1,0.9994904,1
2019-07-12 06:00:00,1,0.99801135,1
2019-07-12 08:00:00,1,0.92454493,1
2019-07-12 10:00:00,-1,0.009053707,-1
2019-07-12 12:00:00,-1,0.016502997,-1
2019-07-12 14:00:00,-1,0.0022676145,-1
2019-07-12 16:00:00,1,0.9978866,1
2019-07-12 18:00:00,1,0.999998,1
2019-07-12 20:00:00,1,0.96214294,1
2019-07-12 22:00:00,-1,0.029290836,-1
2019-07-15 00:00:00,1,0.9036431,1
2019-07-15 02:00:00,1,0.9232744,1
2019-07-15 04:00:00,-1,0.015532589,-1
2019-07-15 06:00:00,1,0.8670257,1
2019-07-15 08:00:00,1,0.954511,1
2019-07-15 10:00:00,-1,0.040663246,-1
2019-07-15 12:00:00,1,0.9955265,1
2019-07-15 14:00:00,-1,0.001457512,-1
2019-07-15 16:00:00,-1,0.008332586,-1
2019-07-15 18:00:00,-1,0.015891403,-1
2019-07-15 20:00:00,-1,0.11735175,-1
2019-07-15 22:00:00,-1,0.03763087,-1
