,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,2024-01-22 00:00:00,open,short,0.57263,,,9999.9998,0.0,0.0
1,2024-01-22 01:00:00,hold,short,,,,9999.9998,-0.5002000000000559,0.15979999999993796
2,2024-01-22 02:00:00,hold,short,,,,9999.9998,-1.5604000000001168,0.14959999999987245
3,2024-01-22 03:00:00,hold,short,,,,9999.9998,-2.83060000000011,-0.16060000000016
4,2024-01-22 04:00:00,hold,short,,,,9999.9998,-3.4008000000001806,-0.10080000000021103
5,2024-01-22 05:00:00,hold,short,,,,9999.9998,-3.8810000000002165,0.14899999999976143
6,2024-01-22 06:00:00,hold,short,,,,9999.9998,-4.05120000000022,0.6387999999997519
7,2024-01-22 07:00:00,hold,short,,,,9999.9998,-3.8414000000002875,1.4085999999996894
8,2024-01-22 08:00:00,hold,short,,,,9999.9998,-3.4016000000002915,2.6483999999997083
9,2024-01-22 09:00:00,hold,short,,,,9999.9998,-3.4618000000003515,3.5581999999996747
10,2024-01-22 10:00:00,hold,short,,,,9999.9998,-3.532000000000366,4.287999999999683
11,2024-01-22 11:00:00,hold,short,,,,9999.9998,-2.9022000000003465,5.837799999999623
12,2024-01-22 12:00:00,hold,short,,,,9999.9998,-2.572400000000405,6.927599999999547
13,2024-01-22 13:00:00,hold,short,,,,9999.9998,-2.5026000000003905,7.497399999999507
14,2024-01-22 14:00:00,hold,short,,,,9999.9998,-2.352800000000407,8.127199999999526
15,2024-01-22 15:00:00,hold,short,,,,9999.9998,-2.353000000000407,9.186999999999475
16,2024-01-22 17:00:00,hold,short,,,,9999.9998,-2.953400000000452,10.84659999999936
17,2024-01-22 18:00:00,hold,short,,,,9999.9998,-3.293600000000459,11.566399999999302
18,2024-01-22 19:00:00,hold,short,,,,9999.9998,-2.8038000000004684,12.516199999999309
19,2024-01-22 20:00:00,hold,short,,,,9999.9998,-2.0040000000004454,14.02599999999932
20,2024-01-22 21:00:00,hold,short,,,,9999.9998,-0.814200000000421,15.71579999999929
21,2024-01-22 22:00:00,hold,short,,,,9999.9998,0.6755999999995703,17.655599999999232
22,2024-01-22 23:00:00,hold,short,,,,9999.9998,2.395399999999514,19.5653999999992
23,2024-01-23 00:00:00,hold,short,,,,9999.9998,1.6397999999999748,1.9397999999999418
24,2024-01-23 01:00:00,hold,short,,,,9999.9998,3.0195999999999117,4.029599999999867
25,2024-01-23 02:00:00,hold,short,,,,9999.9998,3.7593999999998746,5.649399999999822
26,2024-01-23 03:00:00,hold,short,,,,9999.9998,4.119199999999902,7.239199999999803
27,2024-01-23 04:00:00,hold,short,,,,9999.9998,4.288999999999905,8.598999999999831
28,2024-01-23 05:00:00,hold,short,,,,9999.9998,4.958799999999853,10.198799999999766
29,2024-01-23 06:00:00,hold,short,,,,9999.9998,5.498599999999838,11.358599999999704
30,2024-01-23 07:00:00,hold,short,,,,9999.9998,5.778399999999785,12.318399999999665
