,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,2024-01-22 00:00:00,open,long,97.741,,,9999.9998,0.0,0.0
1,2024-01-22 02:00:00,hold,long,,,,9999.9998,-22.100400000000363,21.89959999999941
2,2024-01-22 03:00:00,hold,long,,,,9999.9998,-39.90060000000009,34.599399999998944
3,2024-01-22 04:00:00,close,neutral,,,-50.0,9949.9996,-62.40079999999952,29.799199999998763
4,2024-01-23 08:00:00,open,short,97.258,,,9949.999399999999,0.0,0.0
5,2024-01-23 09:00:00,hold,short,,,,9949.999399999999,-25.200200000000955,6.59980000000025
6,2024-01-23 10:00:00,hold,short,,,,9949.999399999999,-39.90040000000151,23.199599999999933
7,2024-01-23 11:00:00,hold,short,,,,9949.999399999999,-47.10060000000178,38.099400000000024
8,2024-01-23 12:00:00,close,neutral,,,-50.0,9899.999199999998,-61.40080000000185,34.49919999999989
9,2024-01-24 20:00:00,open,long,97.12,,,9899.998999999998,0.0,0.0
10,2024-01-24 21:00:00,hold,long,,,,9899.998999999998,-12.200199999999988,0.2998000000000114
11,2024-01-24 22:00:00,hold,long,,,,9899.998999999998,-23.100400000000874,-3.4004000000006025
12,2024-01-24 23:00:00,hold,long,,,,9899.998999999998,-40.100600000001045,-11.200600000000899
13,2024-01-25 00:00:00,hold,long,,,,9899.998999999998,-22.300199999999897,-12.900200000000488
14,2024-01-25 01:00:00,hold,long,,,,9899.998999999998,-41.800400000000636,-16.100400000001557
15,2024-01-25 02:00:00,close,neutral,,,-50.0,9849.998799999998,-54.50060000000159,-17.40060000000208
16,2024-01-25 13:00:00,open,long,97.216,,,9849.998599999997,-54.50060000000159,-17.40060000000208
17,2024-01-25 14:00:00,close,neutral,,,-50.0,9799.998399999997,-56.700800000000726,-13.900800000000999
18,2024-01-25 15:00:00,open,long,97.337,,,9799.998199999996,-56.700800000000726,-13.900800000000999
19,2024-01-25 16:00:00,close,neutral,,,-50.0,9749.997999999996,-83.70100000000176,-12.10100000000093
20,2024-01-25 16:00:00,open,long,97.223,,,9749.997799999996,-83.70100000000176,-12.10100000000093
21,2024-01-25 17:00:00,close,neutral,,,-50.0,9699.997599999995,-103.60120000000157,-9.801200000001316
22,2024-01-26 01:00:00,open,short,97.227,,,9699.997399999995,0.0,0.0
23,2024-01-26 02:00:00,hold,short,,,,9699.997399999995,-6.800199999999784,9.999800000000853
24,2024-01-26 03:00:00,hold,short,,,,9699.997399999995,-9.600399999998944,19.999600000001706
25,2024-01-26 04:00:00,hold,short,,,,9699.997399999995,-18.500599999998805,25.899400000001457
26,2024-01-26 05:00:00,hold,short,,,,9699.997399999995,-32.20079999999885,23.39920000000231
27,2024-01-26 06:00:00,hold,short,,,,9699.997399999995,-49.000999999998065,12.399000000002367
28,2024-01-26 07:00:00,close,neutral,,,-50.0,9649.997199999994,-71.30119999999796,0.3988000000033338
29,2024-01-26 15:00:00,open,long,97.508,,,9649.996999999994,-71.30119999999796,0.3988000000033338
30,2024-01-26 16:00:00,close,neutral,,,-50.0,9599.996799999994,-77.00139999999818,7.098600000004061
31,2024-01-26 20:00:00,open,short,97.449,,,9599.996599999993,-77.00139999999818,7.098600000004061
32,2024-01-26 21:00:00,close,neutral,,,-50.0,9549.996399999993,-81.7015999999979,8.598400000004117
33,2024-01-29 01:00:00,open,short,97.459,,,9549.996199999992,0.0,0.0
34,2024-01-29 02:00:00,hold,short,,,,9549.996199999992,-10.600199999999454,1.5998000000005344
35,2024-01-29 03:00:00,hold,short,,,,9549.996199999992,-30.50039999999926,-2.3003999999996134
