,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,2024-01-23 01:00:00,open,short,0.65704,,,9999.9998,0.0,0.0
1,2024-01-23 02:00:00,hold,short,,,,9999.9998,-1.2402000000000188,0.06979999999990347
2,2024-01-23 03:00:00,hold,short,,,,9999.9998,-3.490400000000104,-0.37040000000009243
3,2024-01-23 04:00:00,hold,short,,,,9999.9998,-6.540600000000101,-1.5306000000001423
4,2024-01-23 05:00:00,hold,short,,,,9999.9998,-9.380800000000166,-2.550800000000163
5,2024-01-23 06:00:00,hold,short,,,,9999.9998,-12.531000000000263,-4.761000000000209
6,2024-01-23 07:00:00,hold,short,,,,9999.9998,-16.351200000000308,-7.611200000000228
7,2024-01-23 08:00:00,hold,short,,,,9999.9998,-20.541400000000337,-10.521400000000307
8,2024-01-23 09:00:00,hold,short,,,,9999.9998,-24.661600000000348,-13.201600000000322
9,2024-01-23 10:00:00,hold,short,,,,9999.9998,-27.611800000000358,-15.07180000000036
10,2024-01-23 11:00:00,hold,short,,,,9999.9998,-29.73200000000037,-16.392000000000348
11,2024-01-23 12:00:00,hold,short,,,,9999.9998,-31.532200000000394,-17.552200000000397
12,2024-01-23 13:00:00,hold,short,,,,9999.9998,-33.20240000000045,-18.06240000000041
13,2024-01-23 14:00:00,hold,short,,,,9999.9998,-35.13260000000044,-18.71260000000045
14,2024-01-23 15:00:00,hold,short,,,,9999.9998,-38.06280000000042,-20.472800000000543
15,2024-01-23 16:00:00,hold,short,,,,9999.9998,-40.273000000000465,-20.883000000000564
16,2024-01-23 17:00:00,hold,short,,,,9999.9998,-41.90320000000049,-20.013200000000637
17,2024-01-23 18:00:00,hold,short,,,,9999.9998,-42.07340000000049,-19.023400000000702
18,2024-01-23 19:00:00,hold,short,,,,9999.9998,-41.783600000000476,-17.113600000000734
19,2024-01-23 20:00:00,hold,short,,,,9999.9998,-41.3638000000005,-15.88380000000078
20,2024-01-23 21:00:00,hold,short,,,,9999.9998,-41.69400000000056,-15.164000000000838
21,2024-01-23 22:00:00,hold,short,,,,9999.9998,-42.42420000000057,-15.014200000000855
22,2024-01-23 23:00:00,hold,short,,,,9999.9998,-43.474400000000564,-15.57440000000086
23,2024-01-24 01:00:00,hold,short,,,,9999.9998,-2.73040000000001,-1.4104000000001333
24,2024-01-24 02:00:00,hold,short,,,,9999.9998,-4.280600000000062,-2.290600000000125
25,2024-01-24 03:00:00,hold,short,,,,9999.9998,-5.410800000000137,-2.610800000000223
26,2024-01-24 04:00:00,hold,short,,,,9999.9998,-6.001000000000227,-2.1810000000002927
27,2024-01-24 05:00:00,hold,short,,,,9999.9998,-6.121200000000236,-1.7312000000003422
28,2024-01-24 06:00:00,hold,short,,,,9999.9998,-6.541400000000323,-1.5014000000003898
29,2024-01-24 07:00:00,hold,short,,,,9999.9998,-7.131600000000413,-1.0316000000004193
30,2024-01-24 08:00:00,hold,short,,,,9999.9998,-8.10180000000044,-1.0418000000004848
31,2024-01-24 09:00:00,hold,short,,,,9999.9998,-10.042000000000492,-1.2420000000005738
32,2024-01-24 10:00:00,hold,short,,,,9999.9998,-12.56220000000057,-2.6622000000006616
33,2024-01-24 11:00:00,hold,short,,,,9999.9998,-16.45240000000063,-4.672400000000729
34,2024-01-24 12:00:00,hold,short,,,,9999.9998,-19.87260000000072,-7.0226000000008035
35,2024-01-24 13:00:00,hold,short,,,,9999.9998,-22.752800000000715,-9.242800000000804
36,2024-01-24 14:00:00,hold,short,,,,9999.9998,-25.80300000000071,-11.453000000000849
37,2024-01-24 15:00:00,hold,short,,,,9999.9998,-30.673200000000755,-13.913200000000867
38,2024-01-24 16:00:00,hold,short,,,,9999.9998,-35.7134000000008,-16.473400000000872
39,2024-01-24 17:00:00,hold,short,,,,9999.9998,-39.703600000000854,-18.553600000000955
40,2024-01-24 18:00:00,hold,short,,,,9999.9998,-43.14380000000085,-20.88380000000101
41,2024-01-24 19:00:00,hold,short,,,,9999.9998,-46.97400000000085,-23.784000000001022
42,2024-01-24 20:00:00,close,neutral,,,-50.0,9949.9996,-50.70420000000086,-25.334200000001072
43,2024-01-25 00:00:00,open,short,0.65737,,,9949.999399999999,0.0,0.0
44,2024-01-25 01:00:00,hold,short,,,,9949.999399999999,-0.6601999999999939,0.049799999999994495
45,2024-01-25 02:00:00,hold,short,,,,9949.999399999999,-1.0103999999999553,0.6296000000000195
46,2024-01-25 03:00:00,hold,short,,,,9949.999399999999,-1.3005999999999678,1.4094000000000224
