,time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
0,2024-01-22 00:00:00,0.64642,0.64703,0.64544,0.64612,4683,50,0,0.64703,0.64544,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,0.64544,0.6468,False,True,False,True,False,True
1,2024-01-22 01:00:00,0.64612,0.6466,0.64605,0.64654,1179,11,0,0.64703,0.64544,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.64605,0.6466,False,True,False,False,False,False
2,2024-01-22 02:00:00,0.64655,0.64662,0.64626,0.64645,1059,9,0,0.64703,0.64544,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,0.64626,0.64662,False,True,False,False,False,False
3,2024-01-22 03:00:00,0.64645,0.64663,0.64621,0.64631,1459,11,0,0.64703,0.64544,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,0.64621,0.64663,False,True,False,False,False,False
4,2024-01-22 04:00:00,0.6463,0.64638,0.64605,0.64611,1385,8,0,0.64703,0.64544,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,0.64605,0.64638,False,True,False,False,False,False
5,2024-01-22 05:00:00,0.64611,0.6463,0.64601,0.6462,1018,10,0,0.64663,0.64601,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.64601,0.6463,False,False,False,False,False,False
6,2024-01-22 06:00:00,0.6462,0.64622,0.64597,0.64601,1238,10,0,0.64663,0.64597,False,True,False,True,0.0,4.0,5.0,1.0,False,True,False,0.64601,0.64622,True,False,True,False,False,False
7,2024-01-22 07:00:00,0.64602,0.64623,0.64592,0.64603,1186,10,0,0.64663,0.64592,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.64601,0.64623,True,False,True,False,True,False
8,2024-01-22 08:00:00,0.64603,0.64618,0.64568,0.64602,1037,9,0,0.64638,0.64568,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,0.64601,0.64618,True,False,True,False,False,False
9,2024-01-22 09:00:00,0.64603,0.64671,0.64585,0.64668,2948,8,0,0.64671,0.64568,True,False,True,False,1.0,2.0,4.0,3.0,False,True,False,0.64585,0.64618,True,True,False,True,False,False
10,2024-01-22 10:00:00,0.64671,0.64694,0.64624,0.64672,3560,8,0,0.64694,0.64568,True,False,True,False,2.0,2.0,3.0,3.0,False,True,False,0.64624,0.64618,True,True,False,True,False,False
11,2024-01-22 11:00:00,0.64672,0.64675,0.64547,0.64627,2906,8,0,0.64694,0.64547,False,True,False,True,2.0,2.0,3.0,3.0,False,True,False,0.64624,0.64675,True,True,True,False,False,False
12,2024-01-22 12:00:00,0.64627,0.64703,0.64621,0.64696,2018,8,0,0.64703,0.64547,True,False,True,False,3.0,3.0,2.0,2.0,True,False,False,0.64621,0.64675,True,True,False,True,False,False
13,2024-01-22 13:00:00,0.64696,0.64716,0.64672,0.647,1795,8,0,0.64716,0.64547,True,False,True,False,4.0,4.0,1.0,1.0,True,False,False,0.64672,0.64675,True,True,False,True,False,False
14,2024-01-22 14:00:00,0.647,0.64714,0.64631,0.64666,2259,8,0,0.64716,0.64547,False,True,True,False,3.0,4.0,2.0,1.0,True,False,False,0.64631,0.64714,True,True,False,False,False,False
15,2024-01-22 15:00:00,0.64666,0.64704,0.64534,0.64549,3498,8,0,0.64716,0.64534,False,True,False,True,2.0,3.0,3.0,2.0,False,False,True,0.64631,0.64704,True,True,True,False,False,False
16,2024-01-22 16:00:00,0.64549,0.64689,0.64541,0.64685,3279,8,0,0.64716,0.64534,False,True,True,False,2.0,4.0,3.0,1.0,True,False,False,0.64541,0.64689,True,True,False,False,False,False
17,2024-01-22 17:00:00,0.64685,0.64704,0.64593,0.64638,3673,8,0,0.64716,0.64534,False,True,True,False,1.0,4.0,4.0,1.0,False,False,True,0.64593,0.64704,True,True,False,False,False,False
18,2024-01-22 18:00:00,0.64638,0.64681,0.6455,0.64553,2664,8,0,0.64714,0.64534,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.6455,0.64681,True,False,False,False,False,False
19,2024-01-22 19:00:00,0.64553,0.64582,0.64523,0.6456,1722,8,0,0.64704,0.64523,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.6455,0.64582,True,False,True,False,False,False
20,2024-01-22 20:00:00,0.6456,0.64571,0.64519,0.64526,2058,9,0,0.64704,0.64519,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.6455,0.64571,True,False,True,False,False,False
21,2024-01-22 21:00:00,0.64526,0.64559,0.64472,0.64478,1699,8,0,0.64704,0.64472,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,0.6455,0.64559,True,False,True,False,False,False
22,2024-01-22 22:00:00,0.64478,0.64483,0.64442,0.64444,1437,8,0,0.64681,0.64442,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,0.6455,0.64483,True,False,True,False,False,False
23,2024-01-22 23:00:00,0.64444,0.64471,0.64434,0.64467,694,10,0,0.64582,0.64434,False,True,False,True,0.0,0.0,5.0,5.0,False,True,False,0.6455,0.64471,True,False,True,False,False,False
24,2024-01-23 00:00:00,0.64462,0.64481,0.64442,0.64472,1508,15,0,0.64571,0.64434,False,True,True,False,0.0,1.0,5.0,4.0,False,True,False,0.64442,0.64481,True,False,False,False,False,False
25,2024-01-23 01:00:00,0.64472,0.64483,0.64452,0.64483,1190,12,0,0.64559,0.64434,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,0.64452,0.64483,True,False,False,False,False,False
26,2024-01-23 02:00:00,0.64483,0.64496,0.64464,0.64472,963,8,0,0.64496,0.64434,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,0.64464,0.64496,True,False,False,False,False,False
27,2024-01-23 03:00:00,0.64471,0.64487,0.64385,0.64386,1338,10,0,0.64496,0.64385,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.64464,0.64487,True,False,True,False,False,False
28,2024-01-23 04:00:00,0.64386,0.64397,0.64351,0.64383,2298,9,0,0.64496,0.64351,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.64464,0.64397,True,False,True,False,False,False
29,2024-01-23 05:00:00,0.64383,0.6439,0.64361,0.64364,1926,9,0,0.64496,0.64351,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,0.64361,0.6439,True,False,False,False,False,False
30,2024-01-23 06:00:00,0.64364,0.64383,0.64352,0.64359,1152,9,0,0.64496,0.64351,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,0.64352,0.64383,True,False,False,False,False,False
31,2024-01-23 07:00:00,0.64359,0.64369,0.64305,0.64308,1581,8,0,0.64487,0.64305,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,0.64352,0.64369,True,False,True,False,False,False
32,2024-01-23 08:00:00,0.64308,0.64339,0.64281,0.64285,2193,9,0,0.64397,0.64281,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,0.64352,0.64339,True,False,True,False,False,False
33,2024-01-23 09:00:00,0.64285,0.64365,0.64284,0.64348,3234,8,0,0.6439,0.64281,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,0.64284,0.64365,True,False,False,False,False,False
34,2024-01-23 10:00:00,0.64348,0.64412,0.64338,0.6437,3435,8,0,0.64412,0.64281,True,False,True,False,1.0,3.0,4.0,2.0,False,True,False,0.64338,0.64365,True,True,False,True,False,False
35,2024-01-23 11:00:00,0.6437,0.64467,0.64364,0.64417,2670,8,0,0.64467,0.64281,True,False,True,False,2.0,3.0,3.0,2.0,False,False,True,0.64364,0.64365,True,True,False,True,False,False
36,2024-01-23 12:00:00,0.64417,0.64508,0.64395,0.64502,2119,8,0,0.64508,0.64281,True,False,True,False,3.0,4.0,2.0,1.0,True,False,False,0.64395,0.64365,True,True,False,True,False,False
37,2024-01-23 13:00:00,0.64502,0.64509,0.64456,0.645,2227,8,0,0.64509,0.64284,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,0.64456,0.64365,False,True,False,True,False,False
38,2024-01-23 14:00:00,0.645,0.64529,0.64463,0.64469,2116,8,0,0.64529,0.64338,True,False,True,False,5.0,5.0,0.0,0.0,True,False,False,0.64463,0.64365,False,True,False,True,False,False
39,2024-01-23 15:00:00,0.64469,0.64516,0.64444,0.64456,2136,8,0,0.64529,0.64364,False,True,True,False,4.0,5.0,1.0,0.0,True,False,False,0.64444,0.64516,False,True,False,False,False,False
40,2024-01-23 16:00:00,0.64456,0.64661,0.64455,0.64597,3034,8,0,0.64661,0.64395,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,0.64455,0.64516,False,True,False,True,False,False
41,2024-01-23 17:00:00,0.64597,0.64741,0.64581,0.64639,3597,8,0,0.64741,0.64444,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,0.64581,0.64516,False,True,False,True,False,False
42,2024-01-23 18:00:00,0.64639,0.64649,0.64582,0.6464,2651,10,0,0.64741,0.64444,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,0.64582,0.64649,False,True,False,False,False,False
43,2024-01-23 19:00:00,0.6464,0.6466,0.64581,0.64625,1387,9,0,0.64741,0.64444,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.64581,0.6466,False,True,False,False,False,False
44,2024-01-23 20:00:00,0.64625,0.64661,0.64586,0.64652,1467,8,0,0.64741,0.64455,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.64586,0.64661,False,True,False,False,False,False
45,2024-01-23 21:00:00,0.64652,0.64669,0.64606,0.64661,1576,9,0,0.64741,0.64581,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,0.64606,0.64669,False,True,False,False,False,False
46,2024-01-23 22:00:00,0.64661,0.64684,0.64635,0.64643,868,9,0,0.64684,0.64581,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.64635,0.64684,False,False,False,False,False,False
47,2024-01-23 23:00:00,0.64643,0.64659,0.64616,0.64656,594,8,0,0.64684,0.64581,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.64616,0.64659,False,False,False,False,False,False
48,2024-01-24 00:00:00,0.64619,0.64647,0.64575,0.6461,888,18,0,0.64684,0.64575,False,True,False,True,0.0,4.0,5.0,1.0,False,True,False,0.64616,0.64647,True,False,True,False,False,False
49,2024-01-24 01:00:00,0.6461,0.64634,0.64586,0.6462,819,10,0,0.64684,0.64575,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.64586,0.64634,True,False,False,False,False,False
50,2024-01-24 02:00:00,0.64621,0.64625,0.64579,0.6461,1008,10,0,0.64684,0.64575,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.64579,0.64625,True,False,False,False,False,False
51,2024-01-24 03:00:00,0.6461,0.64612,0.64556,0.64557,1238,8,0,0.64659,0.64556,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.64579,0.64612,True,False,True,False,False,False
