time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
2024-01-22 00:00:00,170.501,170.737,170.36,170.593,4314,118,0,170.737,170.36,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,170.36,170.649,False,True,False,True,False,True
2024-01-22 01:00:00,170.593,170.706,170.481,170.53,2434,16,0,170.737,170.36,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,170.481,170.706,False,True,False,False,False,False
2024-01-22 02:00:00,170.53,170.621,170.445,170.583,3322,10,0,170.737,170.36,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,170.445,170.621,False,True,False,False,False,False
2024-01-22 03:00:00,170.583,170.605,170.262,170.338,3709,10,0,170.737,170.262,False,True,False,True,2.0,4.0,3.0,1.0,True,False,False,170.445,170.605,True,True,True,False,False,False
2024-01-22 04:00:00,170.338,170.464,170.24,170.258,2784,6,0,170.737,170.24,False,True,False,True,1.0,3.0,4.0,2.0,False,True,False,170.445,170.464,True,True,True,False,False,False
2024-01-22 05:00:00,170.258,170.424,170.251,170.35,3318,12,0,170.706,170.24,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,170.251,170.424,True,False,False,False,False,False
2024-01-22 06:00:00,170.35,170.391,170.268,170.291,2431,10,0,170.621,170.24,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,170.268,170.391,True,False,False,False,False,False
2024-01-22 07:00:00,170.289,170.56,170.278,170.508,2397,9,0,170.605,170.24,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,170.278,170.56,True,False,False,False,False,False
2024-01-22 08:00:00,170.508,170.58,170.444,170.548,4602,10,0,170.58,170.24,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,170.444,170.58,True,False,False,False,False,False
2024-01-22 09:00:00,170.535,170.542,170.346,170.381,6117,9,0,170.58,170.251,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,170.346,170.542,False,False,False,False,False,False
2024-01-22 10:00:00,170.378,170.706,170.378,170.637,7617,8,0,170.706,170.268,True,False,True,False,1.0,5.0,4.0,0.0,True,False,False,170.378,170.542,False,True,False,True,False,False
2024-01-22 11:00:00,170.636,170.885,170.635,170.675,5755,6,0,170.885,170.278,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,170.635,170.542,False,True,False,True,False,False
2024-01-22 12:00:00,170.674,170.69,170.392,170.42,4005,6,0,170.885,170.346,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,170.392,170.69,False,True,False,False,False,False
2024-01-22 13:00:00,170.42,170.438,170.261,170.323,4236,6,0,170.885,170.261,False,True,False,True,2.0,4.0,3.0,1.0,True,False,False,170.392,170.438,True,True,True,False,False,False
2024-01-22 14:00:00,170.323,170.416,170.223,170.232,4992,6,0,170.885,170.223,False,True,False,True,2.0,3.0,3.0,2.0,False,False,True,170.392,170.416,True,True,True,False,False,False
2024-01-22 15:00:00,170.232,170.265,170.084,170.252,5650,7,0,170.885,170.084,False,True,False,True,1.0,2.0,4.0,3.0,False,True,False,170.392,170.265,True,True,True,False,False,False
2024-01-22 16:00:00,170.252,170.292,170.097,170.156,5523,6,0,170.69,170.084,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,170.097,170.292,True,False,False,False,False,False
2024-01-22 17:00:00,170.156,170.223,170.039,170.086,6118,8,0,170.438,170.039,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,170.097,170.223,True,False,True,False,False,False
2024-01-22 18:00:00,170.088,170.339,169.992,170.317,3887,9,0,170.416,169.992,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,170.097,170.339,True,False,True,False,True,False
2024-01-22 19:00:00,170.321,170.406,170.303,170.382,3109,7,0,170.406,169.992,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,170.303,170.406,True,False,False,False,False,False
2024-01-22 20:00:00,170.384,170.513,170.373,170.418,2195,11,0,170.513,169.992,True,False,True,False,1.0,3.0,4.0,2.0,False,True,False,170.373,170.406,True,True,False,True,False,False
2024-01-22 21:00:00,170.417,170.447,170.265,170.366,2564,6,0,170.513,169.992,False,True,True,False,1.0,3.0,4.0,2.0,False,True,False,170.265,170.447,True,True,False,False,False,False
2024-01-22 22:00:00,170.366,170.451,170.344,170.381,3168,8,0,170.513,169.992,False,True,True,False,1.0,4.0,4.0,1.0,False,False,True,170.344,170.451,True,True,False,False,False,False
2024-01-22 23:00:00,170.381,170.465,170.375,170.446,1662,7,0,170.513,170.265,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,170.375,170.465,False,True,False,False,False,False
2024-01-23 00:00:00,170.348,170.368,170.156,170.253,2685,28,0,170.513,170.156,False,True,False,True,1.0,4.0,4.0,1.0,False,False,True,170.375,170.368,True,True,True,False,False,False
