,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,2024-01-22 00:00:00,open,short,0.94555,,,9999.9998,0.0,0.0
1,2024-01-22 01:00:00,hold,short,,,,9999.9998,-0.7101999999999884,0.059799999999948984
2,2024-01-22 02:00:00,hold,short,,,,9999.9998,-1.5403999999999858,-0.33040000000005243
3,2024-01-22 03:00:00,hold,short,,,,9999.9998,-2.310600000000034,-0.7906000000000684
4,2024-01-22 04:00:00,hold,short,,,,9999.9998,-3.450800000000064,-1.3608000000000278
5,2024-01-22 05:00:00,hold,short,,,,9999.9998,-4.4910000000001045,-2.2209999999999996
6,2024-01-22 06:00:00,hold,short,,,,9999.9998,-5.531200000000146,-3.1412000000000315
7,2024-01-22 08:00:00,hold,short,,,,9999.9998,-8.001600000000119,-4.901600000000016
8,2024-01-22 10:00:00,hold,short,,,,9999.9998,-11.092000000000155,-5.922000000000038
9,2024-01-22 11:00:00,hold,short,,,,9999.9998,-11.702200000000154,-5.052200000000001
10,2024-01-22 12:00:00,hold,short,,,,9999.9998,-11.962400000000192,-4.6723999999999535
11,2024-01-22 13:00:00,hold,short,,,,9999.9998,-11.932600000000217,-4.372599999999986
12,2024-01-22 14:00:00,hold,short,,,,9999.9998,-12.012800000000187,-4.032799999999979
13,2024-01-22 15:00:00,hold,short,,,,9999.9998,-12.323000000000219,-3.143000000000032
14,2024-01-22 16:00:00,hold,short,,,,9999.9998,-12.873200000000269,-2.3231999999999893
15,2024-01-22 17:00:00,hold,short,,,,9999.9998,-14.163400000000282,-2.4033999999999582
16,2024-01-22 18:00:00,hold,short,,,,9999.9998,-15.493600000000335,-2.963599999999963
17,2024-01-22 19:00:00,hold,short,,,,9999.9998,-16.42380000000032,-3.403799999999959
18,2024-01-22 20:00:00,hold,short,,,,9999.9998,-17.22400000000034,-3.843999999999955
19,2024-01-22 21:00:00,hold,short,,,,9999.9998,-18.094200000000377,-3.9141999999999695
20,2024-01-22 22:00:00,hold,short,,,,9999.9998,-18.38440000000039,-3.904400000000015
21,2024-01-22 23:00:00,hold,short,,,,9999.9998,-18.574600000000412,-3.8546000000000205
22,2024-01-23 00:00:00,hold,short,,,,9999.9998,-0.4201999999999759,0.13980000000002898
23,2024-01-23 01:00:00,hold,short,,,,9999.9998,-0.6503999999999284,0.36959999999998144
24,2024-01-23 02:00:00,hold,short,,,,9999.9998,-0.6905999999999684,0.5993999999999339
25,2024-01-23 03:00:00,hold,short,,,,9999.9998,-0.7507999999999173,1.399199999999957
26,2024-01-23 04:00:00,hold,short,,,,9999.9998,-0.33099999999994134,2.438999999999998
27,2024-01-23 05:00:00,hold,short,,,,9999.9998,0.5388000000000961,3.7587999999999857
28,2024-01-23 06:00:00,hold,short,,,,9999.9998,1.458600000000128,5.088600000000039
29,2024-01-23 07:00:00,hold,short,,,,9999.9998,2.4084000000001344,6.7384000000000785
30,2024-01-23 08:00:00,hold,short,,,,9999.9998,3.5282000000001443,8.26820000000011
31,2024-01-23 09:00:00,hold,short,,,,9999.9998,3.638000000000199,9.758000000000102
32,2024-01-23 10:00:00,hold,short,,,,9999.9998,3.297800000000192,10.257800000000158
33,2024-01-23 11:00:00,hold,short,,,,9999.9998,3.0076000000001795,11.05760000000018
34,2024-01-23 12:00:00,hold,short,,,,9999.9998,3.0674000000001285,11.987400000000166
35,2024-01-23 13:00:00,hold,short,,,,9999.9998,3.6472000000001534,13.467200000000203
36,2024-01-23 14:00:00,hold,short,,,,9999.9998,4.06700000000013,15.167000000000238
37,2024-01-23 15:00:00,hold,short,,,,9999.9998,4.896800000000127,17.096800000000226
38,2024-01-23 16:00:00,hold,short,,,,9999.9998,4.346600000000077,18.08660000000027
39,2024-01-23 17:00:00,hold,short,,,,9999.9998,4.576400000000029,19.786400000000306
40,2024-01-23 18:00:00,hold,short,,,,9999.9998,5.636199999999979,21.76620000000029
41,2024-01-23 19:00:00,hold,short,,,,9999.9998,7.005999999999961,23.61600000000031
42,2024-01-23 20:00:00,hold,short,,,,9999.9998,7.815799999999939,25.38580000000036
43,2024-01-23 21:00:00,hold,short,,,,9999.9998,8.495599999999953,26.71560000000041
44,2024-01-23 22:00:00,hold,short,,,,9999.9998,9.36539999999999,27.975400000000448
45,2024-01-23 23:00:00,hold,short,,,,9999.9998,10.215200000000008,29.235200000000486
46,2024-01-24 00:00:00,hold,short,,,,9999.9998,1.2098000000000444,1.9998000000000018
47,2024-01-24 01:00:00,hold,short,,,,9999.9998,2.399600000000069,3.589599999999982
48,2024-01-24 02:00:00,hold,short,,,,9999.9998,3.669400000000062,5.2093999999999365
