,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,2024-01-22 08:00:00,open,short,0.85768,,,9999.9998,0.0,0.0
1,2024-01-22 09:00:00,hold,short,,,,9999.9998,-0.5901999999999794,0.13980000000002898
2,2024-01-22 10:00:00,hold,short,,,,9999.9998,-1.0403999999999298,0.14959999999998347
3,2024-01-22 11:00:00,hold,short,,,,9999.9998,-1.4505999999999513,0.3394000000000069
4,2024-01-22 12:00:00,hold,short,,,,9999.9998,-1.5007999999999457,1.3491999999999624
5,2024-01-22 13:00:00,hold,short,,,,9999.9998,-0.6309999999999083,2.658999999999996
6,2024-01-22 14:00:00,hold,short,,,,9999.9998,0.4888000000001016,4.548799999999943
7,2024-01-22 15:00:00,hold,short,,,,9999.9998,2.0486000000001074,6.748599999999923
8,2024-01-22 16:00:00,hold,short,,,,9999.9998,3.078400000000083,8.868399999999934
9,2024-01-22 17:00:00,hold,short,,,,9999.9998,4.578200000000029,10.91819999999993
10,2024-01-22 18:00:00,hold,short,,,,9999.9998,5.788000000000073,12.857999999999983
11,2024-01-22 19:00:00,hold,short,,,,9999.9998,6.907800000000083,14.717799999999956
12,2024-01-22 20:00:00,hold,short,,,,9999.9998,7.917600000000039,15.997599999999904
13,2024-01-22 21:00:00,hold,short,,,,9999.9998,8.597400000000054,17.08739999999994
14,2024-01-22 22:00:00,hold,short,,,,9999.9998,9.52720000000004,18.397199999999973
15,2024-01-22 23:00:00,hold,short,,,,9999.9998,10.717000000000064,19.95699999999998
16,2024-01-23 00:00:00,hold,short,,,,9999.9998,1.2497999999999734,2.0097999999999563
17,2024-01-23 01:00:00,hold,short,,,,9999.9998,2.5295999999999212,3.9195999999999236
18,2024-01-23 02:00:00,hold,short,,,,9999.9998,4.089399999999927,5.819399999999936
19,2024-01-23 03:00:00,hold,short,,,,9999.9998,5.569199999999963,7.799199999999917
20,2024-01-23 04:00:00,hold,short,,,,9999.9998,7.158999999999944,9.75899999999988
21,2024-01-23 05:00:00,hold,short,,,,9999.9998,8.748799999999925,11.648799999999827
22,2024-01-23 06:00:00,hold,short,,,,9999.9998,10.208599999999942,13.38859999999979
23,2024-01-23 07:00:00,hold,short,,,,9999.9998,11.608399999999898,15.018399999999811
24,2024-01-23 08:00:00,hold,short,,,,9999.9998,13.028199999999876,16.92819999999978
25,2024-01-23 09:00:00,hold,short,,,,9999.9998,14.207999999999835,18.717999999999737
26,2024-01-23 10:00:00,hold,short,,,,9999.9998,15.597799999999838,20.73779999999976
27,2024-01-23 11:00:00,hold,short,,,,9999.9998,17.427599999999835,23.177599999999757
28,2024-01-23 12:00:00,hold,short,,,,9999.9998,19.627399999999813,26.087399999999725
29,2024-01-23 13:00:00,hold,short,,,,9999.9998,21.957199999999755,28.86719999999973
30,2024-01-23 14:00:00,hold,short,,,,9999.9998,24.236999999999703,31.926999999999683
31,2024-01-23 15:00:00,hold,short,,,,9999.9998,26.24679999999966,34.93679999999964
32,2024-01-23 16:00:00,hold,short,,,,9999.9998,27.586599999999667,37.12659999999967
33,2024-01-23 17:00:00,hold,short,,,,9999.9998,29.336399999999696,40.146399999999694
34,2024-01-23 18:00:00,hold,short,,,,9999.9998,31.056199999999638,42.76619999999965
35,2024-01-23 19:00:00,hold,short,,,,9999.9998,32.49599999999963,45.0459999999996
36,2024-01-23 20:00:00,hold,short,,,,9999.9998,34.32579999999963,47.40579999999963
37,2024-01-23 21:00:00,hold,short,,,,9999.9998,36.39559999999965,49.955599999999684
38,2024-01-23 22:00:00,hold,short,,,,9999.9998,38.78539999999965,52.62539999999964
39,2024-01-23 23:00:00,hold,short,,,,9999.9998,40.915199999999615,55.195199999999595
40,2024-01-24 00:00:00,hold,short,,,,9999.9998,2.0497999999999963,2.6498000000000412
41,2024-01-24 01:00:00,hold,short,,,,9999.9998,4.149599999999987,5.00960000000007
