,time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
0,2024-01-22 00:00:00,1.1020699999999999,1.10332,1.10123,1.10202,4462,136,0,1.10366,1.10123,False,True,False,True,2.0,4.0,3.0,1.0,True,False,False,1.10235,1.10332,True,True,True,False,False,False
1,2024-01-22 01:00:00,1.10192,1.10337,1.10192,1.10293,1243,12,0,1.10366,1.10123,False,True,True,False,1.0,4.0,4.0,1.0,False,False,True,1.10192,1.10337,True,True,False,False,False,False
2,2024-01-22 02:00:00,1.10293,1.10333,1.10282,1.10313,1059,10,0,1.10354,1.10123,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.10282,1.10333,True,False,False,False,False,False
3,2024-01-22 03:00:00,1.10313,1.10326,1.10256,1.10303,1381,11,0,1.10347,1.10123,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.10256,1.10326,True,False,False,False,False,False
4,2024-01-22 04:00:00,1.10303,1.10362,1.1029,1.10346,1237,11,0,1.10362,1.10123,True,False,True,False,1.0,4.0,4.0,1.0,False,False,True,1.1029,1.10326,True,True,False,True,False,False
5,2024-01-22 05:00:00,1.10346,1.10377,1.10336,1.10373,818,10,0,1.10377,1.10192,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,1.10336,1.10326,False,True,False,True,False,False
6,2024-01-22 06:00:00,1.10373,1.10394,1.10358,1.10392,648,12,0,1.10394,1.10256,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,1.10358,1.10326,False,True,False,True,False,False
7,2024-01-22 07:00:00,1.10393,1.1044100000000001,1.10374,1.1042399999999999,865,11,0,1.1044100000000001,1.10256,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,1.10374,1.10326,False,True,False,True,False,False
8,2024-01-22 08:00:00,1.1042399999999999,1.10476,1.10365,1.10377,1348,11,0,1.10476,1.1029,True,False,True,False,5.0,5.0,0.0,0.0,True,False,False,1.10365,1.10326,False,True,False,True,False,False
9,2024-01-22 09:00:00,1.10389,1.10437,1.10291,1.1036299999999999,2962,5,0,1.10476,1.10291,False,True,True,False,4.0,5.0,1.0,0.0,True,False,False,1.10291,1.10437,False,True,False,False,False,False
10,2024-01-22 10:00:00,1.10368,1.10379,1.10227,1.10262,4216,5,0,1.10476,1.10227,False,True,False,True,3.0,4.0,2.0,1.0,True,False,False,1.10291,1.10379,True,True,True,False,False,False
11,2024-01-22 11:00:00,1.10262,1.10265,1.10144,1.10243,3653,6,0,1.10476,1.10144,False,True,False,True,2.0,3.0,3.0,2.0,False,False,True,1.10291,1.10265,True,True,True,False,False,False
12,2024-01-22 12:00:00,1.10243,1.10367,1.10233,1.10365,2466,6,0,1.10476,1.10144,False,True,True,False,1.0,3.0,4.0,2.0,False,True,False,1.10233,1.10367,True,True,False,False,False,False
13,2024-01-22 13:00:00,1.10365,1.10394,1.10337,1.10384,2293,7,0,1.10437,1.10144,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.10337,1.10394,True,False,False,False,False,False
14,2024-01-22 14:00:00,1.10384,1.10481,1.10372,1.10469,2944,6,0,1.10481,1.10144,True,False,True,False,1.0,3.0,4.0,2.0,False,True,False,1.10372,1.10394,True,True,False,True,False,False
15,2024-01-22 15:00:00,1.10469,1.10535,1.10383,1.1039,3881,6,0,1.10535,1.10144,True,False,True,False,2.0,4.0,3.0,1.0,True,False,False,1.10383,1.10394,True,True,False,True,False,False
16,2024-01-22 16:00:00,1.1039,1.10529,1.10381,1.10529,3656,5,0,1.10535,1.10233,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.10381,1.10529,False,True,False,False,False,False
17,2024-01-22 17:00:00,1.10528,1.10603,1.10477,1.10557,3677,6,0,1.10603,1.10337,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,1.10477,1.10529,False,True,False,True,False,False
