time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
2024-01-22 00:00:00,0.86813,0.86902,0.86694,0.86804,3947,27,0,0.86969,0.86694,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.86816,0.86902,True,False,True,False,True,False
2024-01-22 01:00:00,0.86804,0.86882,0.86785,0.86849,1348,2,0,0.86961,0.86694,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,0.86785,0.86882,True,False,False,False,False,False
2024-01-22 02:00:00,0.86849,0.86888,0.86797,0.86805,1751,2,0,0.86916,0.86694,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,0.86797,0.86888,True,False,False,False,False,False
2024-01-22 03:00:00,0.86805,0.86812,0.86764,0.86795,1909,2,0,0.86902,0.86694,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,0.86764,0.86812,True,False,False,False,False,False
2024-01-22 04:00:00,0.86795,0.86816,0.86763,0.8677,1334,2,0,0.86902,0.86694,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.86763,0.86816,True,False,False,False,False,False
2024-01-22 05:00:00,0.8677,0.86828,0.86769,0.86821,1101,2,0,0.86888,0.86763,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.86769,0.86828,False,False,False,False,False,False
2024-01-22 06:00:00,0.86821,0.86829,0.86799,0.86808,867,2,0,0.86888,0.86763,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.86799,0.86829,False,False,False,False,False,False
2024-01-22 07:00:00,0.8681,0.86854,0.86801,0.8682,1159,2,0,0.86854,0.86763,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.86801,0.86854,False,False,False,False,False,False
2024-01-22 08:00:00,0.8682,0.86843,0.86781,0.86821,1549,2,0,0.86854,0.86763,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.86781,0.86843,False,False,False,False,False,False
2024-01-22 09:00:00,0.86821,0.86899,0.86766,0.86879,3872,2,0,0.86899,0.86766,True,False,True,False,1.0,5.0,4.0,0.0,True,False,False,0.86766,0.86843,False,True,False,True,False,True
2024-01-22 10:00:00,0.86881,0.86914,0.86776,0.86868,5365,2,0,0.86914,0.86766,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,0.86776,0.86843,False,True,False,True,False,False
2024-01-22 11:00:00,0.86869,0.86871,0.86656,0.86774,3787,2,0,0.86914,0.86656,False,True,False,True,2.0,4.0,3.0,1.0,True,False,False,0.86776,0.86871,True,True,True,False,False,False
2024-01-22 12:00:00,0.86775,0.86863,0.86772,0.86848,2870,2,0,0.86914,0.86656,False,True,True,False,2.0,4.0,3.0,1.0,True,False,False,0.86772,0.86863,True,True,False,False,False,False
2024-01-22 13:00:00,0.86849,0.86875,0.86811,0.86821,2805,2,0,0.86914,0.86656,False,True,True,False,2.0,4.0,3.0,1.0,True,False,False,0.86811,0.86875,True,True,False,False,False,False
2024-01-22 14:00:00,0.86821,0.86837,0.86729,0.86811,3224,2,0,0.86914,0.86656,False,True,True,False,1.0,4.0,4.0,1.0,False,False,True,0.86729,0.86837,True,True,False,False,False,False
2024-01-22 15:00:00,0.86814,0.86895,0.86707,0.8674,3837,2,0,0.86895,0.86656,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.86707,0.86895,True,False,False,False,False,False
