,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,2024-01-22 00:00:00,open,short,0.86804,,,9999.9998,0.0,0.0
1,2024-01-22 01:00:00,hold,short,,,,9999.9998,-0.7802000000000029,0.18980000000002348
2,2024-01-22 02:00:00,hold,short,,,,9999.9998,-1.6203999999999548,0.25960000000003797
3,2024-01-22 03:00:00,hold,short,,,,9999.9998,-1.7005999999999237,0.659400000000105
4,2024-01-22 04:00:00,hold,short,,,,9999.9998,-1.8207999999999327,1.0692000000001265
5,2024-01-22 05:00:00,hold,short,,,,9999.9998,-2.0609999999999506,1.419000000000199
6,2024-01-22 06:00:00,hold,short,,,,9999.9998,-2.311199999999923,1.4688000000001935
7,2024-01-22 07:00:00,hold,short,,,,9999.9998,-2.811399999999868,1.498600000000279
8,2024-01-22 08:00:00,hold,short,,,,9999.9998,-3.2015999999998694,1.7284000000003426
9,2024-01-22 10:00:00,hold,short,,,,9999.9998,-5.251999999999866,2.3880000000004475
10,2024-01-22 11:00:00,hold,short,,,,9999.9998,-5.922199999999814,3.8678000000004844
11,2024-01-22 12:00:00,hold,short,,,,9999.9998,-6.5123999999997935,4.187600000000471
12,2024-01-22 13:00:00,hold,short,,,,9999.9998,-7.222599999999781,4.1174000000004565
13,2024-01-22 14:00:00,hold,short,,,,9999.9998,-7.552799999999722,4.867200000000485
14,2024-01-22 15:00:00,hold,short,,,,9999.9998,-8.462999999999688,5.837000000000511
15,2024-01-22 16:00:00,hold,short,,,,9999.9998,-9.433199999999603,6.486800000000551
16,2024-01-22 17:00:00,hold,short,,,,9999.9998,-10.943399999999615,6.366600000000542
17,2024-01-22 18:00:00,hold,short,,,,9999.9998,-12.93359999999955,5.8464000000005765
18,2024-01-22 19:00:00,hold,short,,,,9999.9998,-13.953799999999571,5.766200000000607
19,2024-01-22 20:00:00,hold,short,,,,9999.9998,-15.203999999999544,5.346000000000631
20,2024-01-22 21:00:00,hold,short,,,,9999.9998,-16.954199999999464,4.665800000000617
21,2024-01-22 22:00:00,hold,short,,,,9999.9998,-18.114399999999403,3.9456000000006743
22,2024-01-22 23:00:00,hold,short,,,,9999.9998,-19.14459999999938,3.315400000000655
23,2024-01-23 00:00:00,hold,short,,,,9999.9998,-1.1301999999999643,-0.5501999999999394
24,2024-01-23 01:00:00,hold,short,,,,9999.9998,-2.330399999999943,-1.5003999999999458
25,2024-01-23 02:00:00,hold,short,,,,9999.9998,-3.630599999999911,-2.1405999999999197
26,2024-01-23 03:00:00,hold,short,,,,9999.9998,-4.670799999999841,-2.0607999999998396
27,2024-01-23 04:00:00,hold,short,,,,9999.9998,-4.840999999999845,-1.0909999999998132
28,2024-01-23 05:00:00,hold,short,,,,9999.9998,-4.621199999999847,0.23880000000024015
29,2024-01-23 06:00:00,hold,short,,,,9999.9998,-3.6613999999997753,1.7686000000002715
30,2024-01-23 07:00:00,hold,short,,,,9999.9998,-2.4215999999997564,4.278400000000284
31,2024-01-23 08:00:00,hold,short,,,,9999.9998,-0.6217999999997326,7.308200000000372
32,2024-01-23 09:00:00,hold,short,,,,9999.9998,0.44800000000028284,10.37800000000039
33,2024-01-23 10:00:00,hold,short,,,,9999.9998,0.5878000000003119,11.96780000000037
34,2024-01-23 11:00:00,hold,short,,,,9999.9998,-0.14239999999969655,12.487600000000446
35,2024-01-23 12:00:00,hold,short,,,,9999.9998,-1.4825999999997044,12.597400000000501
36,2024-01-23 13:00:00,hold,short,,,,9999.9998,-3.04279999999971,12.047200000000561
37,2024-01-23 14:00:00,hold,short,,,,9999.9998,-4.652999999999711,11.357000000000593
38,2024-01-23 15:00:00,hold,short,,,,9999.9998,-5.803199999999695,11.0868000000006
39,2024-01-23 16:00:00,hold,short,,,,9999.9998,-9.323399999999662,10.466600000000646
40,2024-01-23 17:00:00,hold,short,,,,9999.9998,-14.083599999999649,8.176400000000632
41,2024-01-23 18:00:00,hold,short,,,,9999.9998,-18.073799999999586,5.62620000000069
42,2024-01-23 19:00:00,hold,short,,,,9999.9998,-22.103999999999566,2.576000000000693
43,2024-01-23 20:00:00,hold,short,,,,9999.9998,-25.784199999999583,-0.1941999999992463
44,2024-01-23 21:00:00,hold,short,,,,9999.9998,-29.644399999999557,-2.614399999999224
45,2024-01-23 22:00:00,hold,short,,,,9999.9998,-32.73459999999948,-5.104599999999216
46,2024-01-23 23:00:00,hold,short,,,,9999.9998,-35.45479999999942,-7.044799999999158
47,2024-01-24 00:00:00,hold,short,,,,9999.9998,-2.3801999999999377,-1.1401999999999188
48,2024-01-24 01:00:00,hold,short,,,,9999.9998,-4.2603999999999305,-2.4003999999998467
49,2024-01-24 02:00:00,hold,short,,,,9999.9998,-6.000599999999894,-3.7405999999998545
50,2024-01-24 03:00:00,hold,short,,,,9999.9998,-7.840799999999847,-5.020799999999802
51,2024-01-24 04:00:00,hold,short,,,,9999.9998,-9.74099999999986,-6.34099999999979
52,2024-01-24 05:00:00,hold,short,,,,9999.9998,-11.561199999999792,-7.561199999999788
53,2024-01-24 06:00:00,hold,short,,,,9999.9998,-13.231399999999741,-8.571399999999743
54,2024-01-24 07:00:00,hold,short,,,,9999.9998,-14.741599999999753,-9.481599999999709
55,2024-01-24 08:00:00,hold,short,,,,9999.9998,-16.0217999999997,-9.861799999999645
56,2024-01-24 09:00:00,hold,short,,,,9999.9998,-17.501999999999626,-9.351999999999634
57,2024-01-24 10:00:00,hold,short,,,,9999.9998,-17.49219999999956,-7.5621999999995655
58,2024-01-24 11:00:00,hold,short,,,,9999.9998,-16.362399999999486,-4.432399999999488
59,2024-01-24 12:00:00,hold,short,,,,9999.9998,-13.962599999999417,-0.9125999999994092
60,2024-01-24 13:00:00,hold,short,,,,9999.9998,-11.372799999999437,2.9872000000006054
61,2024-01-24 14:00:00,hold,short,,,,9999.9998,-8.542999999999438,7.017000000000694
62,2024-01-24 15:00:00,hold,short,,,,9999.9998,-4.863199999999422,14.276800000000737
63,2024-01-24 16:00:00,hold,short,,,,9999.9998,-0.4233999999994227,21.696600000000718
64,2024-01-24 17:00:00,hold,short,,,,9999.9998,3.576400000000581,27.44640000000075
65,2024-01-24 18:00:00,hold,short,,,,9999.9998,7.166200000000563,32.56620000000076
66,2024-01-24 19:00:00,hold,short,,,,9999.9998,12.016000000000584,38.546000000000745
67,2024-01-24 20:00:00,hold,short,,,,9999.9998,16.555800000000573,44.56580000000077
68,2024-01-24 21:00:00,hold,short,,,,9999.9998,20.70560000000056,49.61560000000077
69,2024-01-24 22:00:00,hold,short,,,,9999.9998,25.31540000000056,55.055400000000766
70,2024-01-24 23:00:00,hold,short,,,,9999.9998,29.75520000000056,60.24520000000079
71,2024-01-25 00:00:00,hold,short,,,,9999.9998,5.059800000000064,5.999800000000005
72,2024-01-25 01:00:00,hold,short,,,,9999.9998,10.009600000000074,11.50960000000002
73,2024-01-25 02:00:00,hold,short,,,,9999.9998,13.54940000000006,16.489400000000003
74,2024-01-25 03:00:00,hold,short,,,,9999.9998,16.699200000000047,20.469199999999987
75,2024-01-25 04:00:00,hold,short,,,,9999.9998,20.139000000000046,24.819000000000063
76,2024-01-25 05:00:00,hold,short,,,,9999.9998,23.628800000000037,28.878800000000126
77,2024-01-25 06:00:00,hold,short,,,,9999.9998,26.988600000000066,32.69860000000017
78,2024-01-25 07:00:00,hold,short,,,,9999.9998,30.248400000000107,36.50840000000015
79,2024-01-25 08:00:00,hold,short,,,,9999.9998,33.57820000000016,40.82820000000014
80,2024-01-25 09:00:00,hold,short,,,,9999.9998,37.678000000000154,46.268000000000136
81,2024-01-25 10:00:00,hold,short,,,,9999.9998,41.39780000000021,51.547800000000194
82,2024-01-25 11:00:00,hold,short,,,,9999.9998,45.43760000000025,56.42760000000019
83,2024-01-25 12:00:00,hold,short,,,,9999.9998,48.92740000000025,61.5974000000002
84,2024-01-25 13:00:00,hold,short,,,,9999.9998,51.977200000000245,65.52720000000019
85,2024-01-25 14:00:00,hold,short,,,,9999.9998,54.507000000000275,69.12700000000024
86,2024-01-25 16:00:00,hold,short,,,,9999.9998,57.11660000000039,76.31660000000026
87,2024-01-25 17:00:00,hold,short,,,,9999.9998,57.196400000000466,79.07640000000025
88,2024-01-25 18:00:00,hold,short,,,,9999.9998,56.77620000000049,79.94620000000029
89,2024-01-25 19:00:00,hold,short,,,,9999.9998,56.62600000000051,81.27600000000034
90,2024-01-25 20:00:00,hold,short,,,,9999.9998,56.815800000000536,82.71580000000033
91,2024-01-25 21:00:00,hold,short,,,,9999.9998,56.85560000000058,83.65560000000038
92,2024-01-25 22:00:00,hold,short,,,,9999.9998,57.07540000000058,84.73540000000045
93,2024-01-25 23:00:00,hold,short,,,,9999.9998,57.66520000000056,85.95520000000045
94,2024-01-26 00:00:00,hold,short,,,,9999.9998,0.6698000000000595,1.9098000000000783
95,2024-01-26 01:00:00,hold,short,,,,9999.9998,1.3496000000000734,3.329600000000166
96,2024-01-26 02:00:00,hold,short,,,,9999.9998,1.7594000000000949,4.429400000000156
97,2024-01-26 03:00:00,hold,short,,,,9999.9998,2.219200000000111,5.969200000000141
98,2024-01-26 04:00:00,hold,short,,,,9999.9998,3.079000000000194,7.659000000000221
99,2024-01-26 05:00:00,hold,short,,,,9999.9998,4.388800000000227,9.318800000000216
100,2024-01-26 06:00:00,hold,short,,,,9999.9998,5.208600000000271,10.758600000000213
101,2024-01-26 07:00:00,hold,short,,,,9999.9998,6.008400000000293,12.368400000000213
102,2024-01-26 08:00:00,hold,short,,,,9999.9998,6.038200000000378,13.7882000000003
103,2024-01-26 09:00:00,hold,short,,,,9999.9998,5.568000000000408,14.168000000000347
104,2024-01-26 10:00:00,hold,short,,,,9999.9998,5.657800000000442,16.687800000000426
105,2024-01-26 11:00:00,hold,short,,,,9999.9998,7.327600000000503,20.307600000000495
106,2024-01-26 12:00:00,hold,short,,,,9999.9998,10.287400000000577,25.3074000000005
107,2024-01-26 13:00:00,hold,short,,,,9999.9998,14.87720000000056,31.487200000000573
108,2024-01-26 14:00:00,hold,short,,,,9999.9998,18.327000000000623,36.60700000000059
109,2024-01-26 15:00:00,hold,short,,,,9999.9998,21.406800000000707,42.28680000000061
110,2024-01-26 16:00:00,hold,short,,,,9999.9998,25.926600000000786,48.74660000000063
111,2024-01-26 17:00:00,hold,short,,,,9999.9998,29.84640000000082,54.866400000000645
