time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
2024-01-22 00:00:00,148.143,148.237,148.122,148.207,623,30,0,148.306,148.081,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,148.122,148.237,False,False,False,False,False,False
2024-01-22 01:00:00,148.207,148.258,148.078,148.124,2274,2,0,148.258,148.078,False,True,False,True,0.0,4.0,5.0,1.0,False,True,False,148.122,148.258,True,False,True,False,True,False
2024-01-22 02:00:00,148.124,148.229,148.011,148.089,4980,2,0,148.258,148.011,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,148.122,148.229,True,False,True,False,False,False
2024-01-22 03:00:00,148.088,148.107,147.777,147.862,5892,2,0,148.258,147.777,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,148.122,148.107,True,False,True,False,False,False
2024-01-22 04:00:00,147.861,147.97,147.73,147.746,4518,2,0,148.258,147.73,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,148.122,147.97,True,False,True,False,False,False
2024-01-22 05:00:00,147.747,147.952,147.74,147.916,3952,2,0,148.258,147.73,False,True,True,False,0.0,1.0,5.0,4.0,False,True,False,147.74,147.952,True,False,False,False,False,False
2024-01-22 06:00:00,147.916,147.94,147.835,147.841,2746,2,0,148.229,147.73,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,147.835,147.94,True,False,False,False,False,False
2024-01-22 07:00:00,147.841,148.122,147.833,148.055,3902,2,0,148.122,147.73,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,147.833,148.122,True,False,False,False,False,False
2024-01-22 08:00:00,148.054,148.114,147.978,148.084,4535,2,0,148.122,147.73,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,147.978,148.114,True,False,False,False,False,False
2024-01-22 09:00:00,148.083,148.133,147.916,148.037,5277,2,0,148.133,147.74,True,False,True,False,1.0,5.0,4.0,0.0,True,False,False,147.916,148.114,False,True,False,True,False,True
2024-01-22 10:00:00,148.039,148.301,147.997,148.241,6246,2,0,148.301,147.833,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,147.997,148.114,False,True,False,True,False,False
2024-01-22 11:00:00,148.242,148.274,148.054,148.112,4658,2,0,148.301,147.833,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,148.054,148.274,False,True,False,False,False,False
2024-01-22 12:00:00,148.113,148.144,147.975,148.016,3966,2,0,148.301,147.916,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,147.975,148.144,False,True,False,False,False,False
2024-01-22 13:00:00,148.014,148.027,147.854,147.884,3928,2,0,148.301,147.854,False,True,False,True,2.0,4.0,3.0,1.0,True,False,False,147.975,148.027,True,True,True,False,False,False
2024-01-22 14:00:00,147.884,147.913,147.707,147.787,5030,2,0,148.301,147.707,False,True,False,True,1.0,3.0,4.0,2.0,False,True,False,147.975,147.913,True,True,True,False,False,False
2024-01-22 15:00:00,147.788,147.89,147.624,147.687,6826,2,0,148.274,147.624,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,147.975,147.89,True,False,True,False,False,False
2024-01-22 16:00:00,147.688,147.955,147.687,147.844,6721,2,0,148.144,147.624,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,147.687,147.955,True,False,False,False,False,False
2024-01-22 17:00:00,147.844,147.933,147.729,147.846,5950,2,0,148.027,147.624,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,147.729,147.933,True,False,False,False,False,False
2024-01-22 18:00:00,147.847,148.017,147.844,147.954,4249,2,0,148.017,147.624,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,147.844,148.017,True,False,False,False,False,False
2024-01-22 19:00:00,147.954,148.04,147.905,147.985,3028,2,0,148.04,147.624,True,False,True,False,1.0,4.0,4.0,1.0,False,False,True,147.905,148.017,True,True,False,True,False,False
2024-01-22 20:00:00,147.986,148.145,147.985,148.091,2890,2,0,148.145,147.687,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,147.985,148.017,False,True,False,True,False,False
2024-01-22 21:00:00,148.09,148.134,148.002,148.033,2449,2,0,148.145,147.729,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,148.002,148.134,False,True,False,False,False,False
2024-01-22 22:00:00,148.033,148.125,148.016,148.044,3053,2,0,148.145,147.844,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,148.016,148.125,False,True,False,False,False,False
2024-01-22 23:00:00,148.045,148.142,148.034,148.137,1224,2,0,148.145,147.905,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,148.034,148.142,False,True,False,False,False,False
2024-01-23 00:00:00,148.065,148.077,147.923,147.977,879,6,0,148.145,147.923,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,147.923,148.077,False,True,False,False,False,False
2024-01-23 01:00:00,147.977,148.15,147.97,148.149,1571,2,0,148.15,147.923,True,False,True,False,1.0,5.0,4.0,0.0,True,False,False,147.97,148.077,False,True,False,True,False,False
2024-01-23 02:00:00,148.149,148.226,148.056,148.12,3542,2,0,148.226,147.923,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,148.056,148.077,False,True,False,True,False,False
2024-01-23 03:00:00,148.115,148.165,148.068,148.103,3786,2,0,148.226,147.923,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,148.068,148.165,False,True,False,False,False,False
2024-01-23 04:00:00,148.103,148.268,148.075,148.219,4544,2,0,148.268,147.923,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,148.075,148.165,False,True,False,True,False,False
2024-01-23 05:00:00,148.219,148.549,147.851,147.895,7569,2,0,148.549,147.851,True,False,False,True,4.0,4.0,1.0,1.0,True,False,False,148.075,148.165,True,True,True,True,True,True
2024-01-23 06:00:00,147.897,148.208,147.859,147.945,4486,2,0,148.549,147.851,False,True,True,False,3.0,4.0,2.0,1.0,True,False,False,147.859,148.208,True,True,False,False,False,False
