,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,2024-01-22 01:00:00,open,short,148.124,,,9999.9998,0.0,0.0
1,2024-01-22 02:00:00,hold,short,,,,9999.9998,-10.500200000001819,11.299799999999955
2,2024-01-22 03:00:00,hold,short,,,,9999.9998,-8.800400000002227,45.9996000000008
3,2024-01-22 04:00:00,hold,short,,,,9999.9998,6.599399999997409,85.39940000000135
4,2024-01-22 05:00:00,close,neutral,,,100.0,10099.9996,23.799199999997114,123.79919999999996
5,2024-01-22 09:00:00,open,long,148.037,,,10099.999399999999,23.799199999997114,123.79919999999996
6,2024-01-22 10:00:00,close,neutral,,,100.0,10199.999199999998,19.79899999999791,150.1989999999981
7,2024-01-23 05:00:00,open,long,147.895,,,10199.998999999998,0.0,0.0
8,2024-01-23 06:00:00,hold,long,,,,10199.998999999998,-3.6002000000001364,31.299799999998818
9,2024-01-23 07:00:00,hold,long,,,,10199.998999999998,-7.00040000000216,48.89959999999759
10,2024-01-23 08:00:00,close,neutral,,,-50.0,10149.998799999998,-99.00060000000376,76.59939999999628
11,2024-01-23 08:00:00,open,short,147.127,,,10149.998599999997,-99.00060000000376,76.59939999999628
12,2024-01-23 09:00:00,close,neutral,,,-50.0,10099.998399999997,-163.8008000000034,86.09919999999616
13,2024-01-24 01:00:00,open,short,148.246,,,10099.998199999996,0.0,0.0
14,2024-01-24 02:00:00,hold,short,,,,10099.998199999996,-1.8002000000000682,20.099800000002183
15,2024-01-24 03:00:00,hold,short,,,,10099.998199999996,4.699599999999704,47.09960000000321
16,2024-01-24 04:00:00,hold,short,,,,10099.998199999996,3.899400000001568,70.19940000000551
17,2024-01-24 05:00:00,close,neutral,,,100.0,10199.997999999996,14.199200000002433,119.69920000000596
18,2024-01-25 08:00:00,open,long,147.723,,,10199.997799999996,0.0,0.0
19,2024-01-25 09:00:00,hold,long,,,,10199.997799999996,-19.000200000002614,2.7997999999991587
20,2024-01-25 10:00:00,hold,long,,,,10199.997799999996,-26.50040000000432,14.59959999999866
21,2024-01-25 11:00:00,hold,long,,,,10199.997799999996,-41.10060000000582,11.699399999996182
22,2024-01-25 12:00:00,close,neutral,,,-50.0,10149.997599999995,-62.00080000000614,5.199199999993566
23,2024-01-25 13:00:00,open,short,147.514,,,10149.997399999995,-62.00080000000614,5.199199999993566
24,2024-01-25 14:00:00,close,neutral,,,-50.0,10099.997199999994,-86.80100000000519,6.998999999993634
